SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
AARTIIND,aartiindustries,AI45,Jun 2021 - Sep 2021,30-10-2021,964.1,1106.8,909.8,0.14801369152577526
AARTISURF,aartisurfactantslimited,ASL08,Dec 2021 - Mar 2022,26-05-2022,688.45,817.0,613.95,0.1867237998402207
AARVI,aarviencon,AE19,Sep 2020 - Dec 2020,,46.65,57.6,43.15,0.23472668810289396
ABCAPITAL,adityabirlacapital,ABC9,Sep 2020 - Dec 2020,,88.7,134.35,88.7,0.5146561443066515
ABCAPITAL,adityabirlacapital,ABC9,Sep 2019 - Dec 2019,05-02-2019,81.85,104.9,78.5,0.281612706169823
ABB,abbindia,ABB,Jun 2019 - Sep 2019,13-11-2019,1497.65,1497.65,1260.15,-0.15858177811905316
ACC,acc,ACC06,Sep 2020 - Dec 2020,,1765.75,1981.65,1697.05,0.12227098966444859
ACCURACY,accuracyshipping,AS26,Dec 2020 - Mar 2021,30-06-2021,72.55,142.7,72.55,0.966919365954514
ADANIGREEN,adanigreenenergylimited,ADANI54145,Dec 2019 - Mar 2020,04-05-2020,209.55,463.6,209.55,1.2123598186590312
ADANIGREEN,adanigreenenergylimited,ADANI54145,Dec 2018 - Mar 2019,15-05-2019,37.5,52.0,36.6,0.38666666666666666
ADANIPORTS,adaniportsspecialeconomiczone,MPS,Jun 2019 - Sep 2019,11-11-2019,387.9,392.05,361.95,-0.06689868522815157
ADFFOODS,adffoodsindustries,AF30,Sep 2019 - Dec 2019,12-02-2019,230.6,263.2,208.05,0.14137033824804854
AGARIND,agarwalindustrialcorporation,AIC03,Mar 2019 - Jun 2019,14-08-2019,117.8,136.05,111.05,0.15492359932088298
AIRAN,airan,A09,Dec 2019 - Mar 2020,20-06-2020,13.9,13.95,11.6,-0.16546762589928063
AJANTPHARM,ajantapharma,AP22,Sep 2020 - Dec 2020,05-02-2020,1197.1,1512.85,1039.2,0.26376242586250104
AKASH,akashinfraprojects,AI76,Dec 2019 - Mar 2020,,87.0,247.25,87.0,1.8419540229885059
AKG,akgexim,AE20,Sep 2021 - Dec 2021,13-02-2021,95.0,110.8,26.5,-0.7210526315789474
ALKEM,alkemlaboratories,AL05,Mar 2022 - Jun 2022,05-08-2022,3112.8,3319.75,2910.05,0.06648355178617316
ALLCARGO,allcargologistics,AGL02,Dec 2019 - Mar 2020,30-06-2020,79.2,130.6,79.2,0.6489898989898989
ALLCARGO,allcargologistics,AGL02,Jun 2019 - Sep 2019,08-11-2019,101.75,118.3,92.15,0.16265356265356262
ALLSEC,allsectechnologies,ALL01,Mar 2019 - Jun 2019,22-07-2019,304.6,309.45,260.7,-0.14412344057780707
ALPSINDUS,alpsindustries,AI12,Sep 2018 - Dec 2018,13-02-2018,4.95,4.95,2.25,-0.5454545454545455
AMIORG,amiorganics,AO05,Dec 2021 - Mar 2022,16-05-2022,981.75,1083.05,852.0,-0.13216195569136746
AMJLAND,amjland,PPP,Mar 2019 - Jun 2019,27-07-2019,16.8,19.7,15.45,0.17261904761904753
ARTEMISMED,artemismedicareservices,ARTEM54291,Dec 2021 - Mar 2022,11-05-2022,41.6,55.9,37.85,0.34374999999999994
ANDHRSUGAR,andhrasugars,AS18,Jun 2019 - Sep 2019,,300.5,364.35,277.85,0.2124792013311149
ANSALHSG,ansalhousing,AHC,Jun 2018 - Sep 2018,14-11-2018,11.25,16.1,9.35,0.4311111111111112
ANSALAPI,ansalpropertiesinfrastructure,API07,Jun 2021 - Sep 2021,12-11-2021,13.95,17.05,10.95,0.22222222222222235
ANSALAPI,ansalpropertiesinfrastructure,API07,Dec 2020 - Mar 2021,29-06-2021,8.1,10.3,7.95,0.2716049382716051
APOLLOHOSP,apollohospitalsenterprises,AHE,Dec 2019 - Mar 2020,25-06-2020,1437.5,1831.55,1319.65,0.27412173913043475
APOLLOHOSP,apollohospitalsenterprises,AHE,Dec 2018 - Mar 2019,30-05-2019,1203.0,1483.95,1203.0,0.2335411471321696
APOLLOTYRE,apollotyres,AT14,Mar 2019 - Jun 2019,31-07-2019,157.5,189.2,147.05,0.2012698412698412
APTECHT,aptech,A11,Sep 2021 - Dec 2021,19-01-2022,398.95,401.0,291.85,-0.2684546935706228
AGLSL,artemisgloballifescience,AGL03,Dec 2017 - Mar 2018,09-05-2018,98.05,101.7,80.2,-0.18204997450280463
ARVIND,arvind,A18,Mar 2022 - Jun 2022,01-08-2022,99.45,112.95,92.6,0.13574660633484162
ASHAPURMIN,ashapuraminechem,AM07,Dec 2018 - Mar 2019,30-05-2019,24.85,28.8,16.8,-0.323943661971831
ASHIANA,ashianahousing,AH07,Jun 2020 - Sep 2020,12-11-2020,80.75,114.0,78.8,0.4117647058823529
ASHOKA,ashokabuildcon,AB,Sep 2021 - Dec 2021,05-02-2021,103.95,116.75,78.9,-0.24098124098124094
ASIANTILES,asiangranitoindia,AGI04,Jun 2019 - Sep 2019,12-11-2019,225.1,254.7,204.1,0.13149711239449133
