URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/ba/BA06,plantationsteacoffee,ba,BA06,,508136
https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/bcpowercontrols/PC13,cablespowerothers,bcpowercontrols,PC13,BCP,537766
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/bnanjienterprises/BNE,constructioncontractingcivil,bnanjienterprises,BNE,,526594
https://www.moneycontrol.com/india/stockpricequote/financegeneral/bpcapital/BPC01,financegeneral,bpcapital,BPC01,,536965
https://www.moneycontrol.com/india/stockpricequote/constructionrealestate/brightrealestate/RR10,constructionrealestate,brightrealestate,RR10,,543543
https://www.moneycontrol.com/india/stockpricequote/bapackaging/bapackagingindia/BAM01,bapackaging,bapackagingindia,BAM01,,523186
https://www.moneycontrol.com/india/stockpricequote/bbtriplewall/bbtriplewallcontainers/BTC,bbtriplewall,bbtriplewallcontainers,BTC,BBTCL,543668
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/b2bsoftwaretechnologies/RFS,computerssoftwaremediumsmall,b2bsoftwaretechnologies,RFS,,531268
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/babaarts/GM01,mediaentertainment,babaarts,GM01,,532380
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bacilpharma/BP,pharmaceuticals,bacilpharma,BP,,524516
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01,pharmaceuticals,bafnapharmaceuticals,BP01,BAFNAPH,532989
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/bagfilmsmedia/BAG,mediaentertainment,bagfilmsmedia,BAG,BAGFILMS,532507
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/baidfinserv/BLF,financeleasinghirepurchase,baidfinserv,BLF,,511724
https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10,auto23wheelers,bajajauto,BA10,BAJAJ-AUTO,532977
https://www.moneycontrol.com/india/stockpricequote/personalcare/bajajconsumercare/BC02,personalcare,bajajconsumercare,BC02,BAJAJCON,533229
https://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE,domesticappliances,bajajelectricals,BE,BAJAJELEC,500031
https://www.moneycontrol.com/india/stockpricequote/bajajfinance/bajajfinance/BAF,bajajfinance,bajajfinance,BAF,BAJFINANCE,500034
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04,financeinvestments,bajajfinserv,BF04,BAJAJFINSV,532978
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/bajajhealthcare/BHL,hospitalsmedicalservices,bajajhealthcare,BHL,BAJAJHCARE,539872
https://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthansugar/BH06,sugar,bajajhindusthansugar,BH06,BAJAJHIND,500032
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,financeinvestments,bajajholdingsinvestment,BHI,BAJAJHLDNG,500490
https://www.moneycontrol.com/india/stockpricequote/packaging/bajajsteelindustries/BSI01,packaging,bajajsteelindustries,BSI01,,507944
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajrangfinance/BF,financeinvestments,bajrangfinance,BF,,511139
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/balpharma/BP02,pharmaceuticals,balpharma,BP02,BALPHARMA,524824
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/balatechnoglobal/BTG,financeleasinghirepurchase,balatechnoglobal,BTG,,511395
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/balatechnoindustries/BTI02,textilesgeneral,balatechnoindustries,BTI02,,514199
https://www.moneycontrol.com/india/stockpricequote/chemicals/balajiamines/BA05,chemicals,balajiamines,BA05,BALAMINES,530999
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/balajitelefilms/BT06,mediaentertainment,balajitelefilms,BT06,BALAJITELE,532382
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/balasorealloys/BA9,steelmediumsmall,balasorealloys,BA9,ISPATALLOY,513142
https://www.moneycontrol.com/india/stockpricequote/trading/balaxipharmaceuticals/TAR,trading,balaxipharmaceuticals,TAR,BALAXI,
https://www.moneycontrol.com/india/stockpricequote/trading/balgopalcommercial/BC18,trading,balgopalcommercial,BC18,,539834
https://www.moneycontrol.com/india/stockpricequote/paper/balkrishnapapermills/NPM01,paper,balkrishnapapermills,NPM01,BALKRISHNA,539251
https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,tyres,balkrishnaindustries,BI03,BALKRISIND,502355
https://www.moneycontrol.com/india/stockpricequote/paper/ballarpurindustries/BI12,paper,ballarpurindustries,BI12,BALLARPUR,500102
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/balmerlawrieinvestment/BLI01,financeinvestments,balmerlawrieinvestment,BLI01,,532485
https://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,diversified,balmerlawriecompany,BLC,BALMLAWRIE,523319
https://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM,sugar,balrampurchinimills,BCM,BALRAMCHIN,500038
https://www.moneycontrol.com/india/stockpricequote/machinetools/baluforgeindustries/BAL01,machinetools,baluforgeindustries,BAL01,,531112
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/balurghattechnologies/BT08,transportlogistics,balurghattechnologies,BT08,BALURTRANS,520127
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/bambinoagroindustries/BAI02,foodprocessing,bambinoagroindustries,BAI02,,519295
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bampslsecurities/BAM,financeinvestments,bampslsecurities,BAM,,531591
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/banarasbeads/BB03,miscellaneous,banarasbeads,BB03,BANARBEADS,526849
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/banasfinance/BFL02,financeinvestments,banasfinance,BFL02,,509053
https://www.moneycontrol.com/india/stockpricequote/financeinvestment/banasfinancere/BFR,financeinvestment,banasfinancere,BFR,,750719
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bancoproductsindia/BPI,autoancillaries,bancoproductsindia,BPI,BANCOINDIA,500039
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/bandarampharmapacktech/SM02,hospitalsmedicalservices,bandarampharmapacktech,SM02,,524602
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09,banksprivatesector,bandhanbank,BB09,BANDHANBNK,541153
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/bangoverseas/BO02,textilesgeneral,bangoverseas,BO02,BANG,532946
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bangalorefortfarms/BFF01,miscellaneous,bangalorefortfarms,BFF01,,539120
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB,bankspublicsector,bankofbaroda,BOB,BANKBARODA,532134
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI,bankspublicsector,bankofindia,BOI,BANKINDIA,532149
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05,bankspublicsector,bankmaharashtra,BM05,MAHABANK,532525
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bankabioloo/BB08,miscellaneous,bankabioloo,BB08,BANKA,
https://www.moneycontrol.com/india/stockpricequote/bankbees/nipponindiaetfniftybankbees/BAM02,bankbees,nipponindiaetfniftybankbees,BAM02,BANKBEES,590106
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/bannariammanspinningmills/BAS01,textilesgeneral,bannariammanspinningmills,BAS01,BASML,532674
https://www.moneycontrol.com/india/stockpricequote/textilespinning/bannariammanspinningmillsre/BAS02,textilespinning,bannariammanspinningmillsre,BAS02,,750668
https://www.moneycontrol.com/india/stockpricequote/sugar/bannariammansugars/BS07,sugar,bannariammansugars,BS07,BANARISUG,500041
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/bansalroofingproducts/BRP01,steelmediumsmall,bansalroofingproducts,BRP01,,538546
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bansisonsteaindustries/BTI,plantationsteacoffee,bansisonsteaindustries,BTI,,519353
https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/banswarasyntex/BS01,textilesspinningsyntheticblended,banswarasyntex,BS01,BANSWRAS,503722
https://www.moneycontrol.com/india/stockpricequote/cementmajor/barakvallycements/BVC,cementmajor,barakvallycements,BVC,BVCL,532916
https://www.moneycontrol.com/india/stockpricequote/consumerfood/barbequenationhospitality/BNH,consumerfood,barbequenationhospitality,BNH,BARBEQUE,543283
https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/barodaextrusion/BE01,metalsnonferrous,barodaextrusion,BE01,,513502
https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/barodarayoncorporation/BRC,textilesmanmade,barodarayoncorporation,BRC,BARODARAYN,500270
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/baroninfotech/BI17,computerssoftwaremediumsmall,baroninfotech,BI17,,532336
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bartronicsindia/BI21,miscellaneous,bartronicsindia,BI21,BARTRONICS,532694
