URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ccconstructions/CCC01,constructioncontractingcivil,ccconstructions,CCC01,CANDC,532813
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/cmahendraexports/ME05,diamondcuttingjewellerypreciousmetals,cmahendraexports,ME05,CMAHENDRA,533304
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/coxkingsfinancialservice/CKFSL54264,miscellaneous,coxkingsfinancialservice,CKFSL54264,CKFSL,542641
https://www.moneycontrol.com/india/stockpricequote/software/ceinfosystemsmapmyindia/CIS02,software,ceinfosystemsmapmyindia,CIS02,MAPMYINDIA,543425
https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/cablecorporationindia/CCI04,cablespowerothers,cablecorporationindia,CCI04,CCI,500077
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cadsysindia/CI51,computerssoftwaremediumsmall,cadsysindia,CI51,CADSYS,
https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/cairnindia/CI37,oildrillingandexploration,cairnindia,CI37,CAIRN,532792
https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/calcomvision/CV,consumergoodselectronic,calcomvision,CV,,517236
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/californiasoftware/CS15,computerssoftwaremediumsmall,californiasoftware,CS15,CALSOFT,532386
https://www.moneycontrol.com/india/stockpricequote/refineries/calsrefineries/CR03,refineries,calsrefineries,CR03,,526652
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cambridgetechnologyenterprises/CTE,computerssoftwaremediumsmall,cambridgetechnologyenterprises,CTE,CTE,532801
https://www.moneycontrol.com/india/stockpricequote/dyespigments/camex/C96,dyespigments,camex,C96,,524440
https://www.moneycontrol.com/india/stockpricequote/chemicals/camlinfinesciences/CFC03,chemicals,camlinfinesciences,CFC03,CAMLINFINE,532834
https://www.moneycontrol.com/india/stockpricequote/footwear/campusactivewear/CA07,footwear,campusactivewear,CA07,CAMPUS,543523
https://www.moneycontrol.com/india/stockpricequote/cams/computeragemanagementservices/CAM,cams,computeragemanagementservices,CAM,CAMS,543232
