URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/dhindia/DHW,electrodesgraphite,dhindia,DHW,,517514
https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/dpwires/W01,consumergoodselectronic,dpwires,W01,DPWIRES,
https://www.moneycontrol.com/india/stockpricequote/computershardware/dlinkindia/DLI01,computershardware,dlinkindia,DLI01,DLINKINDIA,533146
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dpabhushan/DPA01,miscellaneous,dpabhushan,DPA01,DPABHUSHAN,
https://www.moneycontrol.com/india/stockpricequote/packagingpackagingmaterials/dkenterprisesglobal/DE07,packagingpackagingmaterials,dkenterprisesglobal,DE07,DKEGL,
https://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,personalcare,daburindia,DI,DABUR,500096
https://www.moneycontrol.com/india/stockpricequote/chemicals/daiichikarkaria/DIK,chemicals,daiichikarkaria,DIK,DAICHIKARK,526821
https://www.moneycontrol.com/india/stockpricequote/dyespigments/daikaffilchemicalsindia/DCI01,dyespigments,daikaffilchemicalsindia,DCI01,,530825
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/dalalstreetinvestments/DSI,financeinvestments,dalalstreetinvestments,DSI,,501148
https://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/OCL,cementmajor,dalmiabharat,OCL,DALBHARAT,542216
https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/dalmiaindustrialdevelopment/DID,textilesreadymadeapparels,dalmiaindustrialdevelopment,DID,,539900
https://www.moneycontrol.com/india/stockpricequote/sugar/dalmiabharatsugarindustries/DCB,sugar,dalmiabharatsugarindustries,DCB,DALMIASUG,500097
https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/damodarindustries/DT,textilesspinningsyntheticblended,damodarindustries,DT,DAMODARIND,521220
https://www.moneycontrol.com/india/stockpricequote/dangeedums/dangeedums/DD,dangeedums,dangeedums,DD,DANGEE,
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/danlawtechnologiesindia/DTI01,computerssoftwaremediumsmall,danlawtechnologiesindia,DTI01,,532329
https://www.moneycontrol.com/india/stockpricequote/danubeind/danubeindustries/DI28,danubeind,danubeindustries,DI28,,540361
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dapsadvertising/DA02,miscellaneous,dapsadvertising,DA02,,543651
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/darjeelingropewaycompanylimited/DRC,financeinvestments,darjeelingropewaycompanylimited,DRC,,539770
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/darshanorna/DO04,diamondcuttingjewellerypreciousmetals,darshanorna,DO04,,539884
https://www.moneycontrol.com/india/stockpricequote/infrastructure/datainfrastructuretrust/DIT03,infrastructure,datainfrastructuretrust,DIT03,,543225
https://www.moneycontrol.com/india/stockpricequote/infrastructure/datainfrastructuretrustre/DIT04,infrastructure,datainfrastructuretrustre,DIT04,,750697
https://www.moneycontrol.com/india/stockpricequote/aerospacedefence/datapatternsindia/DPI01,aerospacedefence,datapatternsindia,DPI01,DATAPATTNS,543428
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/datamaticsglobalservices/DGS01,computerssoftwaremediumsmall,datamaticsglobalservices,DGS01,DATAMATICS,532528
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/datasoftapplicationsoftwareindia/DAS,computerssoftwaremediumsmall,datasoftapplicationsoftwareindia,DAS,,526443
https://www.moneycontrol.com/india/stockpricequote/aquaculture/datiwaremaritimeinfra/RAF,aquaculture,datiwaremaritimeinfra,RAF,,519413
https://www.moneycontrol.com/india/stockpricequote/daulatsec/daulatsecurities/DSL,daulatsec,daulatsecurities,DSL,,530171
https://www.moneycontrol.com/india/stockpricequote/sugar/davangeresugarcompanyre/DSC02,sugar,davangeresugarcompanyre,DSC02,,750715
https://www.moneycontrol.com/india/stockpricequote/sugar/davangeresugarcompany/DSC01,sugar,davangeresugarcompany,DSC01,,543267
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/dazzelconfindive/DC07,financeinvestments,dazzelconfindive,DC07,,531270
https://www.moneycontrol.com/india/stockpricequote/financegeneral/dbinternationalstockbrokers/DBI,financegeneral,dbinternationalstockbrokers,DBI,DBSTOCKBRO,530393
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,mediaentertainment,dbcorp,C13,DBCORP,533151
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dbrealty/DR,constructioncontractingrealestate,dbrealty,DR,DBREALTY,533160
https://www.moneycontrol.com/india/stockpricequote/sugar/dhampurbioorganics/DBO,sugar,dhampurbioorganics,DBO,DBOL,543593
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01,banksprivatesector,dcbbank,DCB01,DCBBANK,532772
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dci/DCI16041,miscellaneous,dci,DCI16041,DCI,
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/devotedconstructionlimited/DCL54200,miscellaneous,devotedconstructionlimited,DCL54200,,542002
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/dcm/DCM,textilesspinningcottonblended,dcm,DCM,DCM,502820
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/dcmfinancial/DCM01,financeleasinghirepurchase,dcmfinancial,DCM01,DCMFINSERV,511611
