URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/textilesweaving/elandapparel/ML10,textilesweaving,elandapparel,ML10,ELAND,532820
https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/e2enetworks/EN,itservicesconsulting,e2enetworks,EN,E2E,
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/earumpharmaceuticals/EP,pharmaceuticals,earumpharmaceuticals,EP,,542724
https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/eastbuildtech/CB01,constructioncontractinghousing,eastbuildtech,CB01,,507917
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/eastcoaststeel/ECS,steelmediumsmall,eastcoaststeel,ECS,ESTCSTSTEL,520081
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/eastindiasecurities/EIS01,financeinvestments,eastindiasecurities,EIS01,,541053
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/eastwestholdings/BBA,financeinvestments,eastwestholdings,BBA,,540006
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/easterngases/EG02,miscellaneous,easterngases,EG02,,540790
https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/easternsilkindustries/ESI06,textilessyntheticsilk,easternsilkindustries,ESI06,EASTSILK,590022
https://www.moneycontrol.com/india/stockpricequote/sugar/easternsugarindustries/ESI01,sugar,easternsugarindustries,ESI01,EASTSUGIND,507528
https://www.moneycontrol.com/india/stockpricequote/rubber/easterntreads/ET,rubber,easterntreads,ET,,531346
https://www.moneycontrol.com/india/stockpricequote/electricequipment/easunreyrolle/ER,electricequipment,easunreyrolle,ER,EASUNREYRL,532751
https://www.moneycontrol.com/india/stockpricequote/easyfincorp/easyfincorp/KLF,easyfincorp,easyfincorp,KLF,,511074
https://www.moneycontrol.com/india/stockpricequote/travelservices/easytripplanners/ETP01,travelservices,easytripplanners,ETP01,EASEMYTRIP,543272
https://www.moneycontrol.com/india/stockpricequote/electricals/eceindustries/ECE,electricals,eceindustries,ECE,ECEIND,532491
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06,computerssoftwaremediumsmall,eclerxservices,eS06,ECLERX,532927
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/easuncapitalmarketslimited/EASUN54290,miscellaneous,easuncapitalmarketslimited,EASUN54290,,542906
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/ecofriendlyfoodprocessingpark/EFF,foodprocessing,ecofriendlyfoodprocessingpark,EFF,,534839
https://www.moneycontrol.com/india/stockpricequote/computershardware/ecorecycling/IS10,computershardware,ecorecycling,IS10,,530643
https://www.moneycontrol.com/india/stockpricequote/engineering/ecoboardindustries/EI16,engineering,ecoboardindustries,EI16,WESTERNBIO,523732
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/econotradeindia/ETI01,financeinvestments,econotradeindia,ETI01,,538708
https://www.moneycontrol.com/india/stockpricequote/packaging/ecoplast/E01,packaging,ecoplast,E01,,526703
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/ecsbiztech/ECS02,computerssoftwaretraining,ecsbiztech,ECS02,,540063
https://www.moneycontrol.com/india/stockpricequote/financegeneral/edelweissfinancialservices/EC01,financegeneral,edelweissfinancialservices,EC01,EDELWEISS,532922
https://www.moneycontrol.com/india/stockpricequote/edelweissetf/edelweissetfbank/EET,edelweissetf,edelweissetfbank,EET,EBANK,
https://www.moneycontrol.com/india/stockpricequote/edelweissnifty/edelweissniftyexchangetradedscheme/ENE,edelweissnifty,edelweissniftyexchangetradedscheme,ENE,NIFTYEES,539142
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/educompsolutions/ES8,computerssoftwaretraining,educompsolutions,ES8,EDUCOMP,532696
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/eduexelinfotainment/TGF01,mediaentertainment,eduexelinfotainment,TGF01,,526483
https://www.moneycontrol.com/india/stockpricequote/trading/edynamicssolutions/ES,trading,edynamicssolutions,ES,,535694
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/effingotextiletrading/MTM,textilesgeneral,effingotextiletrading,MTM,,512207
https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM,autolcvshcvs,eichermotors,EM,EICHERMOT,505200
https://www.moneycontrol.com/india/stockpricequote/diversified/eicl/EIC,diversified,eicl,EIC,,526560
https://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID,sugar,eidparryindia,EID,EIDPARRY,500125
https://www.moneycontrol.com/india/stockpricequote/diamondjewellery/eightyjewellers/EJ01,diamondjewellery,eightyjewellers,EJ01,,543518
https://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH,hotels,eih,EIH,EIHOTEL,500840
https://www.moneycontrol.com/india/stockpricequote/eihre/eihre/ER01,eihre,eihre,ER01,,750647
https://www.moneycontrol.com/india/stockpricequote/hotels/eihassociatedhotels/EIH01,hotels,eihassociatedhotels,EIH01,EIHAHOTELS,523127
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/eikolifesciences/NI19,miscellaneous,eikolifesciences,NI19,,540204
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/eimcoeleconindia/EEI,engineeringheavy,eimcoeleconindia,EEI,EIMCOELECO,523708
https://www.moneycontrol.com/india/stockpricequote/trading/ejectamarketing/AMM,trading,ejectamarketing,AMM,,538653
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ekamleasingfinancecompany/ELF01,financeinvestments,ekamleasingfinancecompany,ELF01,,530581
https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/ekennissoftwareservice/ESS01,itservicesconsulting,ekennissoftwareservice,ESS01,,543475
https://www.moneycontrol.com/india/stockpricequote/diversified/ekienergyservices/EES,diversified,ekienergyservices,EES,,543284
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/elforge/ELF,castingsforgings,elforge,ELF,ELFORGE,531144
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/elangoindustries/EI15,steelmediumsmall,elangoindustries,EI15,,513452
https://www.moneycontrol.com/india/stockpricequote/chemicals/elantasbeckindia/EBI,chemicals,elantasbeckindia,EBI,DRBECK,500123
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/elcidinvestments/EIL,financeinvestments,elcidinvestments,EIL,,503681
https://www.moneycontrol.com/india/stockpricequote/eldecohousing/eldecohousingindustries/EH01,eldecohousing,eldecohousingindustries,EH01,ELDEHSG,523329
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/elderhealthcare/EH02,pharmaceuticals,elderhealthcare,EH02,,524830
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/elderpharmaceuticals/EP9,pharmaceuticals,elderpharmaceuticals,EP9,ELDERPHARM,532322
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/elderprojects/EP01,pharmaceuticals,elderprojects,EP01,,524788
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/eleconengineeringcompany/EEC,engineeringheavy,eleconengineeringcompany,EEC,ELECON,505700
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/electronicsmartindia/EMI,miscellaneous,electronicsmartindia,EMI,EMIL,543626
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/electrosteelcastings/EC02,castingsforgings,electrosteelcastings,EC02,ELECTCAST,500128
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/electrosteelsteels/EI13,steelmediumsmall,electrosteelsteels,EI13,ELECTROSL,533264
https://www.moneycontrol.com/india/stockpricequote/engineering/electrothermindia/EI02,engineering,electrothermindia,EI02,ELECTHERM,526608
https://www.moneycontrol.com/india/stockpricequote/elegantflori/elegantfloricultureagrotechindia/EFA,elegantflori,elegantfloricultureagrotechindia,EFA,,526473
https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/elegantmarblegraniteindustries/EMG,ceramicsgranite,elegantmarblegraniteindustries,EMG,,526705
https://www.moneycontrol.com/india/stockpricequote/compressors/elgiequipments/EE01,compressors,elgiequipments,EE01,ELGIEQUIP,522074
https://www.moneycontrol.com/india/stockpricequote/tyres/elgirubbercompany/ERC01,tyres,elgirubbercompany,ERC01,ELGIRUBCO,590023
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/eliteconinternational/KJA,financeinvestments,eliteconinternational,KJA,,539533
https://www.moneycontrol.com/india/stockpricequote/financegeneral/elixircapital/ACM03,financegeneral,elixircapital,ACM03,,531278
https://www.moneycontrol.com/india/stockpricequote/chemicals/ellenbarrieindustrialgases/EIG01,chemicals,ellenbarrieindustrialgases,EIG01,,590087
https://www.moneycontrol.com/india/stockpricequote/paper/ellorapaper/EP07,paper,ellorapaper,EP07,,502374
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/elnettechnologies/ET03,constructioncontractingcivil,elnettechnologies,ET03,ELNET,517477
https://www.moneycontrol.com/india/stockpricequote/electricequipment/elprointernational/EI03,electricequipment,elprointernational,EI03,ELPROINTL,504000
https://www.moneycontrol.com/india/stockpricequote/machinetools/emaindia/EMA,machinetools,emaindia,EMA,,522027
https://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06,personalcare,emami,E06,EMAMILTD,531162
https://www.moneycontrol.com/india/stockpricequote/paper/emamipapermills/EPM01,paper,emamipapermills,EPM01,EMAMIPAP,533208
