URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/fmecinternationalfinancialservices/FMI01,financeinvestments,fmecinternationalfinancialservices,FMI01,,539552
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/fabinolifesciences/FLS,pharmaceuticalsdrugs,fabinolifesciences,FLS,,543444
https://www.moneycontrol.com/india/stockpricequote/miningminerals/facoralloys/FA,miningminerals,facoralloys,FA,,532656
https://www.moneycontrol.com/india/stockpricequote/steellarge/facorsteels/FS06,steellarge,facorsteels,FS06,,532657
https://www.moneycontrol.com/india/stockpricequote/financegeneral/factenterprise/FE02,financegeneral,factenterprise,FE02,,511668
https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/fairchemorganics/FO01,specialitychemicals,fairchemorganics,FO01,FAIRCHEMOR,543252
https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/fairdealfilaments/FF,textilesspinningsyntheticblended,fairdealfilaments,FF,,514474
https://www.moneycontrol.com/india/stockpricequote/tyres/falcontyres/FT,tyres,falcontyres,FT,FALCONTYRE,509527
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/familycarehospitals/PO01,hospitalsmedicalservices,familycarehospitals,PO01,,516110
https://www.moneycontrol.com/india/stockpricequote/trading/farmaxindia/FRI,trading,farmaxindia,FRI,FARMAXIND,590094
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/fasttrackentertainment/FTE01,mediaentertainment,fasttrackentertainment,FTE01,,532084
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/fazethree/FTE,textilesspinningcottonblended,fazethree,FTE,FAZE3Q,530079
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/fazethreeautofab/AFT02,textilesgeneral,fazethreeautofab,AFT02,,532459
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fcssoftwaresolutions/FCS,computerssoftwaremediumsmall,fcssoftwaresolutions,FCS,FCSSOFT,532666
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC,pharmaceuticals,fdc,FDC,FDC,531599
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/feindia/FEI,financeinvestments,feindia,FEI,,530863
https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/fedderselectricengineering/FL,consumergoodswhitegoods,fedderselectricengineering,FL,FEDDERELEC,500139
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB,banksprivatesector,federalbank,FB,FEDERALBNK,500469
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/federalmogulgoetze/FMG,autoancillaries,federalmogulgoetze,FMG,FMGOETZE,505744
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/felixindustries/FI20,miscellaneous,felixindustries,FI20,FELIX,
https://www.moneycontrol.com/india/stockpricequote/plastics/fenoplast/F,plastics,fenoplast,F,,526689
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fermentabiotech/DIL03,pharmaceuticals,fermentabiotech,DIL03,,506414
https://www.moneycontrol.com/india/stockpricequote/miningminerals/ferroalloyscorporation/FAC,miningminerals,ferroalloyscorporation,FAC,FERROALLOY,500141
https://www.moneycontrol.com/india/stockpricequote/fertilisers/fertiliserschemicalstravancore/FCT,fertilisers,fertiliserschemicalstravancore,FCT,FACT,590024
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ferventsynergies/FPS,pharmaceuticals,ferventsynergies,FPS,,533896
https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/fgp/FGP,glassglassproducts,fgp,FGP,FGPIND,500142
https://www.moneycontrol.com/india/stockpricequote/plastics/fiberwebindia/PVD,plastics,fiberwebindia,PVD,FIBERWEB,507910
https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/fidelsoftech/FS09,itservicesconsulting,fidelsoftech,FS09,FIDEL,
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/fiemindustries/FIE,autoancillaries,fiemindustries,FIE,FIEMIND,532768
https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/filatexfashions/FF08,textileshosieryknitwear,filatexfashions,FF08,,532022
https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/filatexindia/FI06,textilesmanmade,filatexindia,FI06,FILATEX,526227
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/filmcitymedia/FM,mediaentertainment,filmcitymedia,FM,,531486
https://www.moneycontrol.com/india/stockpricequote/engineering/filtraconsultantsengineers/FCE,engineering,filtraconsultantsengineers,FCE,,539098
