URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/engineering/ggengineering/E10,engineering,ggengineering,E10,,540614
https://www.moneycontrol.com/india/stockpricequote/packaging/gkpprintingpackaging/PP29,packaging,gkpprintingpackaging,PP29,,542666
https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/grinfraprojects/I09,constructioninfrastructure,grinfraprojects,I09,GRINFRA,543317
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/gtechinfotraining/GS11,computerssoftwaremediumsmall,gtechinfotraining,GS11,,532139
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gabrielindia/GI02,autoancillaries,gabrielindia,GI02,GABRIEL,505714
https://www.moneycontrol.com/india/stockpricequote/chemicals/gagangases/GG,chemicals,gagangases,GG,,524624
https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/gaganpolycotindia/GPI01,textilesprocessing,gaganpolycotindia,GPI01,,531196
https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI,oildrillingandexploration,gailindia,GAI,GAIL,532155
https://www.moneycontrol.com/india/stockpricequote/financegeneral/gajanansecuritiesservices/GSS,financegeneral,gajanansecuritiesservices,GSS,,538609
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gajrabevelgears/GBG,autoancillaries,gajrabevelgears,GBG,,505711
https://www.moneycontrol.com/india/stockpricequote/printingstationery/galaglobalproductsltd/GPC,printingstationery,galaglobalproductsltd,GPC,,539228
https://www.moneycontrol.com/india/stockpricequote/galacticocorp/galacticocorporateservices/GCS,galacticocorp,galacticocorporateservices,GCS,,542802
https://www.moneycontrol.com/india/stockpricequote/financegeneral/galadafinance/GF15,financegeneral,galadafinance,GF15,,538881
https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/galadapowertelecommunications/GPT,cablespowerothers,galadapowertelecommunications,GPT,GALPOWTEL,504697
https://www.moneycontrol.com/india/stockpricequote/galaxyagrico/galaxyagricoexports/GAE03,galaxyagrico,galaxyagricoexports,GAE03,,531911
https://www.moneycontrol.com/india/stockpricequote/bearings/galaxybearings/GB,bearings,galaxybearings,GB,,526073
