URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/packaging/hktradeinternational/TI16,packaging,hktradeinternational,TI16,,539337
https://www.moneycontrol.com/india/stockpricequote/otheragricultureproducts/halderventurelimited/HALDE53985,otheragricultureproducts,halderventurelimited,HALDE53985,,539854
https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/haldynglass/HGG,glassglassproducts,haldynglass,HGG,,515147
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/hanjerfibres/HF,textilesspinningcottonblended,hanjerfibres,HF,,514308
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hanmanfit/PFA01,miscellaneous,hanmanfit,PFA01,,538731
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hanungtoystextiles/HTT,miscellaneous,hanungtoystextiles,HTT,HANUNG,532770
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/happiestmindstechnologiesltd/HMT01,computerssoftware,happiestmindstechnologiesltd,HMT01,HAPPSTMNDS,543227
https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/hardcastlewaudmanufacturingcompany/HWM,paintsvarnishes,hardcastlewaudmanufacturingcompany,HWM,,509597
https://www.moneycontrol.com/india/stockpricequote/aluminium/hardwynindia/GI34,aluminium,hardwynindia,GI34,HARDWYN,541276
https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/hariaapparels/HA05,textilesreadymadeapparels,hariaapparels,HA05,,538081
https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/hariaexports/HE,textilesreadymadeapparels,hariaexports,HE,HARIAEXPO,512604
https://www.moneycontrol.com/india/stockpricequote/ironsteel/hariompipeindustries/HPI02,ironsteel,hariompipeindustries,HPI02,HARIOMPIPE,543517
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/haritaseatingsystems/HSS02,autoancillaries,haritaseatingsystems,HSS02,HARITASEAT,590043
https://www.moneycontrol.com/india/stockpricequote/shipping/hariyanashipbreakers/HSB,shipping,hariyanashipbreakers,HSB,,526931
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/harmonycapitalservices/HCS,financeinvestments,harmonycapitalservices,HCS,,530055
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/harrisonsmalyalam/HM02,plantationsteacoffee,harrisonsmalyalam,HM02,HARRMALAYA,500467
https://www.moneycontrol.com/india/stockpricequote/engineeringindustrialequipments/harshaengineersinternational/HEI,engineeringindustrialequipments,harshaengineersinternational,HEI,HARSHA,543600
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/haryanacapfin/HC11,financeinvestments,haryanacapfin,HC11,,532855
https://www.moneycontrol.com/india/stockpricequote/chemicals/haryanaleatherchemicals/HLC01,chemicals,haryanaleatherchemicals,HLC01,,524080
https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/haryanasheetglass/HSG,glassglassproducts,haryanasheetglass,HSG,HARYANSHET,515143
https://www.moneycontrol.com/india/stockpricequote/textilesweaving/haryanatexprintsoverseas/ITO,textilesweaving,haryanatexprintsoverseas,ITO,,514296
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/hastifinance/HF9,financeleasinghirepurchase,hastifinance,HF9,,531387
