URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/ipowersolutions/IPS01,computerssoftware,ipowersolutions,IPS01,,512405
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/ibinfotechenterprises/IB,foodprocessing,ibinfotechenterprises,IB,,519463
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ibmfnifty/IBMFN9937,miscellaneous,ibmfnifty,IBMFN9937,IBMFNIFTY,
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/icds/ICD,financeleasinghirepurchase,icds,ICD,ICDSLTD,511194
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icemakerefrigeration/IMR,miscellaneous,icemakerefrigeration,IMR,ICEMAKE,
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,banksprivatesector,icicibank,ICI02,ICICIBANK,532174
https://www.moneycontrol.com/india/stockpricequote/icicilombard/icicilombardgeneralinsurancecompany/ILG,icicilombard,icicilombardgeneralinsurancecompany,ILG,ICICIGI,540716
https://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01,financegeneral,iciciprudentiallifeinsurancecompany,IPL01,ICICIPRULI,540133
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icicisecuritiesltd/ISL04,miscellaneous,icicisecuritiesltd,ISL04,ISEC,541179
https://www.moneycontrol.com/india/stockpricequote/etf/iciciprudentialnifty5yrbenchmarkgsecetf/IPN01,etf,iciciprudentialnifty5yrbenchmarkgsecetf,IPN01,ICICI5GSEC,
https://www.moneycontrol.com/india/stockpricequote/icicialplv/iciciprudentialniftyalphalowvolatility30etf/IPA01,icicialplv,iciciprudentialniftyalphalowvolatility30etf,IPA01,ICICIALPLV,543219
https://www.moneycontrol.com/india/stockpricequote/etf/iciciprudentialniftyautoetf/IPN,etf,iciciprudentialniftyautoetf,IPN,ICICIAUTO,543450
https://www.moneycontrol.com/india/stockpricequote/icicibankn/iciciprudentialniftybanketf/IPB01,icicibankn,iciciprudentialniftybanketf,IPB01,ICICIBANKN,542730
https://www.moneycontrol.com/india/stockpricequote/icicibankp/iciciprudentialniftyprivatebanketf/ICICI11386,icicibankp,iciciprudentialniftyprivatebanketf,ICICI11386,ICICIBANKP,
