URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/jjfinancecorporation/JJF,financeleasinghirepurchase,jjfinancecorporation,JJF,,523062
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01,constructioncontractingcivil,jkumarinfraprojects,KI01,JKIL,532940
https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/jrfoods/JRF,edibleoilssolventextraction,jrfoods,JRF,,530915
https://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03,cementmajor,jkcement,JKC03,JKCEMENT,532644
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jtapariaprojects/JTP,financeinvestments,jtapariaprojects,JTP,,538539
https://www.moneycontrol.com/india/stockpricequote/financegeneral/jacksoninvestments/JI12,financegeneral,jacksoninvestments,JI12,,538422
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jaganlitechlamps/JLL,autoancillaries,jaganlitechlamps,JLL,,530711
https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/jagatjitindustries/JI01,breweriesdistilleries,jagatjitindustries,JI01,JAGAJITIND,507155
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/jagjananitextiles/JT02,textilesgeneral,jagjananitextiles,JT02,,532825
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jagranprakashan/JP12,mediaentertainment,jagranprakashan,JP12,JAGRAN,532705
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/jagsonairlines/JA,transportlogistics,jagsonairlines,JA,,520139
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/jagsonpalfinanceleasing/JFL01,financeleasinghirepurchase,jagsonpalfinanceleasing,JFL01,,530601
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jagsonpalpharmaceuticals/JP02,pharmaceuticals,jagsonpalpharmaceuticals,JP02,JAGSNPHARM,507789
https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/jaibalajiindustries/JBI,steelspongeiron,jaibalajiindustries,JBI,JAIBALAJI,532976
https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08,steelgpgcsheets,jaicorp,JC08,JAICORPLTD,512237
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/jaihindsynthetics/JHS,textilesgeneral,jaihindsynthetics,JHS,,514312
https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/jaimatarolledglass/JMR,glassglassproducts,jaimatarolledglass,JMR,,523467
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/jaimataindsutries/JMI,textilesspinningcottonblended,jaimataindsutries,JMI,,514392
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jaihindprojects/JP03,constructioncontractingcivil,jaihindprojects,JP03,JAIHINDPRO,531339
https://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02,plastics,jainirrigationsystems,JIS02,JISLJALEQS,500219
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jainmarmoindustries/JMI02,miscellaneous,jainmarmoindustries,JMI02,,539119
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jainstudio/JS04,mediaentertainment,jainstudio,JS04,JAINSTUDIO,532033
https://www.moneycontrol.com/india/stockpricequote/ferromanganese/jainamferroalloys/JFA03,ferromanganese,jainamferroalloys,JFA03,JAINAM,
https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/jaincoprojectsindia/JPI,constructioncontractinghousing,jaincoprojectsindia,JPI,,526865
https://www.moneycontrol.com/india/stockpricequote/domesticappliances/jaipanindustries/JI07,domesticappliances,jaipanindustries,JI07,,505840
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02,infrastructuregeneral,jaiprakashassociates,JA02,JPASSOCIAT,532532
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/jaiprakashpowerventures/JHP01,powergenerationdistribution,jaiprakashpowerventures,JHP01,JPPOWER,532627
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/jalantransolutions/JT03,transportlogistics,jalantransolutions,JT03,JALAN,
https://www.moneycontrol.com/india/stockpricequote/hotels/jameshotels/JH,hotels,jameshotels,JH,,526558
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/jameswarrentea/JWT,plantationsteacoffee,jameswarrentea,JWT,,538564
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI,autoancillaries,jamnaautoindustries,JAI,JAMNAAUTO,520051
https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jamshrirealty/JSR,textilescompositemills,jamshrirealty,JSR,,502901
https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/jarigoldtextiles/JTL,textilesspinningsyntheticblended,jarigoldtextiles,JTL,,512329
https://www.moneycontrol.com/india/stockpricequote/plastics/jaschindustries/JI04,plastics,jaschindustries,JI04,JASCHIND,500220
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jashdealmark/JD02,miscellaneous,jashdealmark,JD02,,540394
https://www.moneycontrol.com/india/stockpricequote/diversified/jashengineering/JE04,diversified,jashengineering,JE04,JASH,
https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/jataliaglobalventures/SRO01,vanaspatioils,jataliaglobalventures,SRO01,,519319
https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/jattashankarindustries/JPY,textilesprocessing,jattashankarindustries,JPY,,514318
https://www.moneycontrol.com/india/stockpricequote/plastics/jausspolymers/JP06,plastics,jausspolymers,JP06,,526001
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jaybharatmaruti/JBM,autoancillaries,jaybharatmaruti,JBM,JAYBARMARU,520066
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jayenergysenergies/JES,financeinvestments,jayenergysenergies,JES,,526523
https://www.moneycontrol.com/india/stockpricequote/retailing/jayjalaramtechnologies/JJT,retailing,jayjalaramtechnologies,JJT,KORE,
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jaymaheshinfraventures/JMI01,constructioncontractingcivil,jaymaheshinfraventures,JMI01,,590132
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jayushin/JU,autoancillaries,jayushin,JU,,513252
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/jayabharatcredit/JC06,financeleasinghirepurchase,jayabharatcredit,JC06,,501311
https://www.moneycontrol.com/india/stockpricequote/chemicals/jayantagroorganics/JAO,chemicals,jayantagroorganics,JAO,JAYAGROGN,524330
https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/jayantinfratech/JI15,constructioninfrastructure,jayantinfratech,JI15,,543544
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jayantmercantileco/JMC01,financeinvestments,jayantmercantileco,JMC01,,512129
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/jayaswalnecoindustries/JNI02,castingsforgings,jayaswalnecoindustries,JNI02,JAYNECOIND,522285
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/jayatmaenterprises/JS9,textilesgeneral,jayatmaenterprises,JS9,,539005
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/jayatmaindustries/SS04,textilesspinningcottonblended,jayatmaindustries,SS04,,531323
https://www.moneycontrol.com/india/stockpricequote/plastics/jayavantproducts/JP07,plastics,jayavantproducts,JP07,,531382
https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/jaybharattextilesandrealestate/JTA,textilesspinningsyntheticblended,jaybharattextilesandrealestate,JTA,,512233
https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/jaykayenterprises/JKS,textilesmanmade,jaykayenterprises,JKS,JKSYNTHETC,500306
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaypeeinfratech/JI09,infrastructuregeneral,jaypeeinfratech,JI09,JPINFRATEC,533207
https://www.moneycontrol.com/india/stockpricequote/chemicals/jayshreechemicals/JC03,chemicals,jayshreechemicals,JC03,,506520
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/jayshreeteaindustries/JTI,plantationsteacoffee,jayshreeteaindustries,JTI,JAYSREETEA,509715
https://www.moneycontrol.com/india/stockpricequote/dyespigments/jaysynthdyestuff/JD01,dyespigments,jaysynthdyestuff,JD01,JAYDYSTUF,506910
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,pharmaceuticals,jbchemicalspharmaceuticals,JBC01,JBCHEPHARM,506943
https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/jbfindustries/JBF,textilesmanmade,jbfindustries,JBF,JBFIND,514034
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jbmauto/JBM03,autoancillaries,jbmauto,JBM03,JBMA,532605
https://www.moneycontrol.com/india/stockpricequote/jcl/januscorporationlimited/JANUS54292,jcl,januscorporationlimited,JANUS54292,,542924
https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jct/JCT,textilescompositemills,jct,JCT,JCT,500223
https://www.moneycontrol.com/india/stockpricequote/electricals/jctelectronics/JCT01,electricals,jctelectronics,JCT01,JCTEL,500222
https://www.moneycontrol.com/india/stockpricequote/dyespigments/jdorgochem/JDO,dyespigments,jdorgochem,JDO,JDORGOCHEM,524592
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/jeenasikholifecare/JSL02,pharmaceuticalsdrugs,jeenasikholifecare,JSL02,JSLL,
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/jeevanscientifictechnology/JST,computerssoftware,jeevanscientifictechnology,JST,,538837
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jenburktpharma/JP08,pharmaceuticals,jenburktpharma,JP08,,524731
https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/jensonnicholson/JN,paintsvarnishes,jensonnicholson,JN,JENSONICOL,523592
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/jetairways/JA01,transportlogistics,jetairways,JA01,JETAIRWAYS,532617
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jetfreightlogistics/JFL04,miscellaneous,jetfreightlogistics,JFL04,JETFREIGHT,543420
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jetinfraventure/JI13,constructioncontractingcivil,jetinfraventure,JI13,,538794
https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/jetknitwears/JK,textilesreadymadeapparels,jetknitwears,JK,JETKNIT,
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/jetkinginfotrain/JI08,computerssoftwaretraining,jetkinginfotrain,JI08,,517063
https://www.moneycontrol.com/india/stockpricequote/consumerfood/jetmallspicesmasala/JSM,consumerfood,jetmallspicesmasala,JSM,,543286
https://www.moneycontrol.com/india/stockpricequote/sugar/jeyporesugarcompany/JSC,sugar,jeyporesugarcompany,JSC,JEYPORE,590054
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/jfllifesciences/JLS,pharmaceuticalsdrugs,jfllifesciences,JLS,JFLLIFE,
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/jhandewalasfoodsltd/JF05,foodprocessing,jhandewalasfoodsltd,JF05,,540850
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jhavericreditscapital/JCC,financeinvestments,jhavericreditscapital,JCC,,531550
https://www.moneycontrol.com/india/stockpricequote/personalcare/jhssvendgaardlaboratories/JHS01,personalcare,jhssvendgaardlaboratories,JHS01,JHS,532771
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/jhunjhunuinvestments/JI06,computerssoftwaremediumsmall,jhunjhunuinvestments,JI06,,505504
https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/jigarcables/JC01,cablespowerothers,jigarcables,JC01,,540651
https://www.moneycontrol.com/india/stockpricequote/trading/jikindustries/JIK,trading,jikindustries,JIK,JIKIND,511618
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jyotinternationalmarketing/JYOTI54254,miscellaneous,jyotinternationalmarketing,JYOTI54254,,542544
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/jinaamsdress/JD03,textilesgeneral,jinaamsdress,JD03,,542653
https://www.moneycontrol.com/india/stockpricequote/steellarge/jindalstainlesshisar/JSH,steellarge,jindalstainlesshisar,JSH,JSLHISAR,539597
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jindalcapital/JC04,financeinvestments,jindalcapital,JC04,,530405
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/jindalcotex/JC,textilesspinningcottonblended,jindalcotex,JC,JINDCOT,533103
https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/jindaldrillingindustries/JDI,oildrillingandexploration,jindaldrillingindustries,JDI,JINDRILL,511034
https://www.moneycontrol.com/india/stockpricequote/hotels/jindalhotels/JH02,hotels,jindalhotels,JH02,,507981
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/jindalleasefin/JL01,financeleasinghirepurchase,jindalleasefin,JL01,,539947
https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/jindalphoto/JP11,consumergoodselectronic,jindalphoto,JP11,JINDALPHOT,532624
https://www.moneycontrol.com/india/stockpricequote/financegeneral/jindalpolyinvestmentfinancecompany/JPI02,financegeneral,jindalpolyinvestmentfinancecompany,JPI02,JPOLYINVST,536773
https://www.moneycontrol.com/india/stockpricequote/packaging/jindalpolyfilms/JPF01,packaging,jindalpolyfilms,JPF01,JINDALPOLY,500227
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/jindalsaw/JS08,steeltubespipes,jindalsaw,JS08,JINDALSAW,500378
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/jindalstainless/JSL01,steelmediumsmall,jindalstainless,JSL01,JSL,532508
https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/jindalsteelpower/JSP,steelspongeiron,jindalsteelpower,JSP,JINDALSTEL,532286
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/jindalworldwide/JW01,textilesgeneral,jindalworldwide,JW01,JINDWORLD,531543
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jainirrigationsystems/JISLD57000,miscellaneous,jainirrigationsystems,JISLD57000,JISLDVREQS,570004
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jitfinfralogistics/JIT01,miscellaneous,jitfinfralogistics,JIT01,JITFINFRA,540311
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jiyaecoproducts/JEP,miscellaneous,jiyaecoproducts,JEP,JIYAECO,539225
https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/jjexporters/JJE,textilessyntheticsilk,jjexporters,JJE,,530049
https://www.moneycontrol.com/india/stockpricequote/fertilisers/jkagrigenetics/JKA03,fertilisers,jkagrigenetics,JKA03,,536493
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/jammukashmirbank/JKB,banksprivatesector,jammukashmirbank,JKB,J&KBANK,532209
https://www.moneycontrol.com/india/stockpricequote/cementmajor/jklakshmicement/JKL01,cementmajor,jklakshmicement,JKL01,JKLAKSHMI,500380
https://www.moneycontrol.com/india/stockpricequote/paper/jkpaper/JKP01,paper,jkpaper,JKP01,JKPAPER,532162
https://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01,tyres,jktyreindustries,JKT01,JKTYRE,530007
https://www.moneycontrol.com/india/stockpricequote/personalcare/jlmorisonindia/JLM,personalcare,jlmorisonindia,JLM,,506522
https://www.moneycontrol.com/india/stockpricequote/retail/jlainfravilleshoppers/JIS04,retail,jlainfravilleshoppers,JIS04,,538765
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jmfinancial/JMF,financeinvestments,jmfinancial,JMF,JMFINANCIL,523405
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jmcprojectsindia/JMC,constructioncontractingcivil,jmcprojectsindia,JMC,JMCPROJECT,522263
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jmdventures/AF25,mediaentertainment,jmdventures,AF25,,511092
https://www.moneycontrol.com/india/stockpricequote/plastics/jmgcorporation/IA03,plastics,jmgcorporation,IA03,,523712
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jmjfintech/ME15,financeinvestments,jmjfintech,ME15,,538834
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jmtauto/JMT02,autoancillaries,jmtauto,JMT02,JMTAUTOLTD,513691
https://www.moneycontrol.com/india/stockpricequote/chemicals/jocil/J01,chemicals,jocil,J01,JOCIL,
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/johncockerillindia/CMI02,engineeringheavy,johncockerillindia,CMI02,FLATPROD,500147
https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL,consumergoodswhitegoods,johnsoncontrolshitachiairconditioningindia,HHL,JCHAC,523398
https://www.moneycontrol.com/india/stockpricequote/trading/johnsonpharmacare/RWT,trading,johnsonpharmacare,RWT,,532154
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/joindrecapital/JC05,financeinvestments,joindrecapital,JC05,,531861
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/jointecaeducationsolutions/JES01,computerssoftwaretraining,jointecaeducationsolutions,JES01,,534659
https://www.moneycontrol.com/india/stockpricequote/plastics/jollyplasticindustries/JPI01,plastics,jollyplasticindustries,JPI01,,507968
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jonjuaoverseas/JO,miscellaneous,jonjuaoverseas,JO,,542446
https://www.moneycontrol.com/india/stockpricequote/teacoffee/joonktolleeteaindustriesre/JTI02,teacoffee,joonktolleeteaindustriesre,JTI02,,750694
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/joonktolleeteaindustries/JTI03,plantationsteacoffee,joonktolleeteaindustries,JTI03,,538092
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/jostsengineerscompany/JEC,engineeringheavy,jostsengineerscompany,JEC,,505750
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/joyrealty/JR01,constructioncontractingrealestate,joyrealty,JR01,,508929
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jptsecurities/JPT,financeinvestments,jptsecurities,JPT,,530985
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/jriindustriesinfrastructure/JRR,steelmediumsmall,jriindustriesinfrastructure,JRR,,506016
https://www.moneycontrol.com/india/stockpricequote/jslindustries/jslindustries/JSL,jslindustries,jslindustries,JSL,,504080
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/jswenergy/JE01,powergenerationdistribution,jswenergy,JE01,JSWENERGY,533148
