URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/kkfincorp/KII01,financeinvestments,kkfincorp,KII01,,503669
https://www.moneycontrol.com/india/stockpricequote/krrailengine/krrailenginerring/GCI02,krrailengine,krrailenginerring,GCI02,,514360
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kpenergy/KEL04,miscellaneous,kpenergy,KEL04,,539686
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaaryafacilitiesservices/KFS05,miscellaneous,kaaryafacilitiesservices,KFS05,,540756
https://www.moneycontrol.com/india/stockpricequote/trading/kabracommercial/KC16,trading,kabracommercial,KC16,,539393
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kabradrugs/KD,pharmaceuticals,kabradrugs,KD,,524322
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/kabraextrusiontechnik/KET,engineeringheavy,kabraextrusiontechnik,KET,KABRAEXTRU,524109
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kabsonsindustries/KI12,miscellaneous,kabsonsindustries,KI12,,524675
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/kailashautofinance/KAF,financeleasinghirepurchase,kailashautofinance,KAF,,511357
https://www.moneycontrol.com/india/stockpricequote/packaging/kairacancompany/KCC01,packaging,kairacancompany,KCC01,,504840
https://www.moneycontrol.com/india/stockpricequote/packaging/kaisercorporation/KP09,packaging,kaisercorporation,KP09,,531780
https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06,ceramicsgranite,kajariaceramics,KC06,KAJARIACER,500233
https://www.moneycontrol.com/india/stockpricequote/cementmini/kakatiyacements/KC01,cementmini,kakatiyacements,KC01,KAKATCEM,500234
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/kakatiyatextiles/KT,textilesspinningcottonblended,kakatiyatextiles,KT,,521054
https://www.moneycontrol.com/india/stockpricequote/engineering/kalindeerailnirmanengineers/KRN,engineering,kalindeerailnirmanengineers,KRN,KALINDEE,522259
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/kallamtextiles/KSM,textilesspinningcottonblended,kallamtextiles,KSM,,530201
https://www.moneycontrol.com/india/stockpricequote/textilespinning/kallamtextilesre/KTR,textilespinning,kallamtextilesre,KTR,,750717
https://www.moneycontrol.com/india/stockpricequote/trading/kalpacommercial/KC15,trading,kalpacommercial,KC15,,539014
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT,powertransmissionequipment,kalpatarupowertransmission,KPT,KALPATPOWR,522287
https://www.moneycontrol.com/india/stockpricequote/paper/kalptarupapers/KP13,paper,kalptarupapers,KP13,,590036
https://www.moneycontrol.com/india/stockpricequote/diamondjewellery/kalyanjewellersindia/KJI01,diamondjewellery,kalyanjewellersindia,KJI01,KALYANKJIL,543278
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/kalyanicommercials/KC18,autoancillaries,kalyanicommercials,KC18,KALYANI,
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/kalyaniforge/KF02,castingsforgings,kalyaniforge,KF02,KALYANIFRG,513509
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/kalyaniinvestmentcompany/KIC04,financeinvestments,kalyaniinvestmentcompany,KIC04,KICL,533302
https://www.moneycontrol.com/india/stockpricequote/steelrolling/kalyanisteels/KS01,steelrolling,kalyanisteels,KS01,KSL,500235
https://www.moneycontrol.com/india/stockpricequote/cementmajor/kalyanpurcements/KCL01,cementmajor,kalyanpurcements,KCL01,,502150
https://www.moneycontrol.com/india/stockpricequote/petrochemicals/kamaholdings/SRF03,petrochemicals,kamaholdings,SRF03,,532468
https://www.moneycontrol.com/india/stockpricequote/textilesweaving/kamadgirifashion/KS02,textilesweaving,kamadgirifashion,KS02,,514322
https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/kamanwalahousingconstruction/KHC01,constructioncontractinghousing,kamanwalahousingconstruction,KHC01,,511131
https://www.moneycontrol.com/india/stockpricequote/hotels/kamathotelsindia/KHI,hotels,kamathotelsindia,KHI,KAMATHOTEL,526668
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kamdhenu/KI24,steelmediumsmall,kamdhenu,KI24,KAMDHENU,532741
https://www.moneycontrol.com/india/stockpricequote/cementmini/kameshwariindustries/KIL03,cementmini,kameshwariindustries,KIL03,,531825
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/kananiindustries/KI26,diamondcuttingjewellerypreciousmetals,kananiindustries,KI26,KANANIIND,506184
https://www.moneycontrol.com/india/stockpricequote/chemicals/kanchikarpooram/KK01,chemicals,kanchikarpooram,KK01,,538896
https://www.moneycontrol.com/india/stockpricequote/textilescottonblended/kancoenterprises/KE08,textilescottonblended,kancoenterprises,KE08,,590084
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/kancoteaindustries/KTI05,plantationsteacoffee,kancoteaindustries,KTI05,,541005
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/kandagirispinningmills/KSM01,textilesspinningcottonblended,kandagirispinningmills,KSM01,KANDAGIRI,521242
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kandarpdigismartbpo/KDS,miscellaneous,kandarpdigismartbpo,KDS,KANDARP,
https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/kanelindustries/KOE02,edibleoilssolventextraction,kanelindustries,KOE02,KANELOIL,500236
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kanikainfocomglobal/KIG,computerssoftwaremediumsmall,kanikainfocomglobal,KIG,,532367
https://www.moneycontrol.com/india/stockpricequote/steelrolling/kanishksteelindustries/KSI01,steelrolling,kanishksteelindustries,KSI01,,513456
https://www.moneycontrol.com/india/stockpricequote/chemicals/kanoriachemicalsindustries/KCI01,chemicals,kanoriachemicalsindustries,KCI01,KANORICHEM,506525
https://www.moneycontrol.com/india/stockpricequote/packaging/kanpurplastipacks/KP02,packaging,kanpurplastipacks,KP02,KANPRPLA,507779
https://www.moneycontrol.com/india/stockpricequote/kanpurplastipa/kanpurplastipacklimited/KANPR89014,kanpurplastipa,kanpurplastipacklimited,KANPR89014,,890143
https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,paintsvarnishes,kansainerolacpaints,KNP,KANSAINER,500165
https://www.moneycontrol.com/india/stockpricequote/financegeneral/kanungofinanciers/KF18,financegeneral,kanungofinanciers,KF18,,540515
https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/kapilcotex/KCL02,textilesprocessing,kapilcotex,KCL02,,512036
https://www.moneycontrol.com/india/stockpricequote/financegeneral/kapilrajfinancelimited/KRF01,financegeneral,kapilrajfinancelimited,KRF01,,539679
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kappacpharma/KP03,pharmaceuticals,kappacpharma,KP03,,506938
https://www.moneycontrol.com/india/stockpricequote/kapstonservice/kapstonservices/KFM,kapstonservice,kapstonservices,KFM,KAPSTON,
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/karmobiles/KM06,autoancillaries,karmobiles,KM06,,590053
https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/karanwoosin/KWS,textilessyntheticsilk,karanwoosin,KWS,,526115
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/karmaenergy/KE9,powergenerationdistribution,karmaenergy,KE9,KARMAENG,533451
https://www.moneycontrol.com/india/stockpricequote/printingstationery/karmaindustries/KI29,printingstationery,karmaindustries,KI29,,512585
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,banksprivatesector,karnatakabank,KB04,KTKBANK,532652
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/karnavatifinance/KF09,financeinvestments,karnavatifinance,KF09,,538928
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/karnimatacoldstorage/KCS01,miscellaneous,karnimatacoldstorage,KCS01,,537784
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/kartikinvestmentstrust/KIT,financeinvestments,kartikinvestmentstrust,KIT,,501151
