URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH,financeinvestments,ltfinanceholdings,LFH,L&TFH,533519
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/larsentoubroinfotech/LI12,computerssoftware,larsentoubroinfotech,LI12,LTI,540005
https://www.moneycontrol.com/india/stockpricequote/lttechnology/lttechnologyservices/LTS,lttechnology,lttechnologyservices,LTS,LTTS,540115
https://www.moneycontrol.com/india/stockpricequote/financeinvestment/ltfinanceholdingsre/LFH01,financeinvestment,ltfinanceholdingsre,LFH01,L&TFH-RE,750652
https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/laopalarg/LOR,glassglassproducts,laopalarg,LOR,LAOPALA,526947
https://www.moneycontrol.com/india/stockpricequote/machinetools/latimmetalindustries/DMC02,machinetools,latimmetalindustries,DMC02,,505693
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lactoseindia/LI,pharmaceuticals,lactoseindia,LI,,524202
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ladamaffordablehousing/LAH,miscellaneous,ladamaffordablehousing,LAH,,540026
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/ladderupfinance/LF01,financeleasinghirepurchase,ladderupfinance,LF01,,530577
https://www.moneycontrol.com/india/stockpricequote/chemicals/laffanspetrochemicals/LP,chemicals,laffanspetrochemicals,LP,,524522
https://www.moneycontrol.com/india/stockpricequote/lagnamspintex/lagnamspintex/LS01,lagnamspintex,lagnamspintex,LS01,LAGNAM,
https://www.moneycontrol.com/india/stockpricequote/trading/lahotioverseas/LO01,trading,lahotioverseas,LO01,,531842
https://www.moneycontrol.com/india/stockpricequote/hotels/lakelandhotels/LHL,hotels,lakelandhotels,LHL,,532124
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/lakhotiapolyesters/LP09,textilesgeneral,lakhotiapolyesters,LP09,,535387
https://www.moneycontrol.com/india/stockpricequote/electricequipment/lakshmielectricalcontrolsystems/LEC,electricequipment,lakshmielectricalcontrolsystems,LEC,LAKSELECON,504258
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/lakshmienergyfoods/LEF,foodprocessing,lakshmienergyfoods,LEF,LAKSHMIEFL,519570
https://www.moneycontrol.com/india/stockpricequote/financegeneral/lakshmifinanceindustrialcorporation/LFI01,financegeneral,lakshmifinanceindustrialcorporation,LFI01,LFIC,
https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/lakshmiautomaticloomworks/LAL,textilesmachinery,lakshmiautomaticloomworks,LAL,,505302
https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/lakshmimachineworks/LMW,textilesmachinery,lakshmimachineworks,LMW,LAXMIMACH,500252
https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/lakshmimillscompany/LMC,textilescompositemills,lakshmimillscompany,LMC,LAKSHMIMIL,502958
https://www.moneycontrol.com/india/stockpricequote/fasteners/lakshmiprecisionscrews/LPS,fasteners,lakshmiprecisionscrews,LPS,LAKPRE,506079
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/lakshmivilasbank/LVB,banksprivatesector,lakshmivilasbank,LVB,LAKSHVILAS,534690
