URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mkproteins/P09,miscellaneous,mkproteins,P09,MKPL,
https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM,autocarsjeeps,mahindramahindra,MM,M&M,500520
https://www.moneycontrol.com/india/stockpricequote/mmfinancial/mahindramahindrafinancialservices/MMF04,mmfinancial,mahindramahindrafinancialservices,MMF04,M&MFIN,532720
https://www.moneycontrol.com/india/stockpricequote/mmfsre/mahindramahindrafinancialservicesre/MMF06,mmfsre,mahindramahindrafinancialservicesre,MMF06,M&MFIN-RE,750640
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/maajagdambetradelinks/MJT,financeinvestments,maajagdambetradelinks,MJT,,511082
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/maaghadvertisingmarketingservices/MAM,miscellaneous,maaghadvertisingmarketingservices,MAM,,543624
https://www.moneycontrol.com/india/stockpricequote/aluminium/maanaluminium/MA03,aluminium,maanaluminium,MA03,MAANALU,532906
https://www.moneycontrol.com/india/stockpricequote/hotels/maccharlesindia/MCI,hotels,maccharlesindia,MCI,,507836
https://www.moneycontrol.com/india/stockpricequote/hotels/machotels/MH05,hotels,machotels,MH05,,541973
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/machinoplastics/MP,autoancillaries,machinoplastics,MP,,523248
https://www.moneycontrol.com/india/stockpricequote/trading/macktradingco/MTC01,trading,macktradingco,MTC01,,501471
https://www.moneycontrol.com/india/stockpricequote/machinetools/macpowercncmachines/MCM03,machinetools,macpowercncmachines,MCM03,MACPOWER,
https://www.moneycontrol.com/india/stockpricequote/trading/macrointernationalexports/MIE,trading,macrointernationalexports,MIE,,512600
https://www.moneycontrol.com/india/stockpricequote/constructionresidentialcommercialcomplexes/macrotechdevelopers/MD03,constructionresidentialcommercialcomplexes,macrotechdevelopers,MD03,LODHA,543287
https://www.moneycontrol.com/india/stockpricequote/madhavcopper/madhavcopper/MC07,madhavcopper,madhavcopper,MC07,MCL,
https://www.moneycontrol.com/india/stockpricequote/madhavinfrapr/madhavinfraprojects/MIP,madhavinfrapr,madhavinfraprojects,MIP,,539894
https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/madhavmarblesgranites/MMG,ceramicsgranite,madhavmarblesgranites,MMG,MADHAV,515093
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/madhuconprojects/MP16,constructioncontractingcivil,madhuconprojects,MP16,MADHUCON,531497
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/madhurcapitalfinance/MCF,financeinvestments,madhurcapitalfinance,MCF,,511638
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/madhurindustries/MI54,miscellaneous,madhurindustries,MI54,MADHURFOOD,519279
https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/madhusudanindustries/MI10,vanaspatioils,madhusudanindustries,MI10,MADSUDIND,515059
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/madhusudansecurities/MI01,financeinvestments,madhusudansecurities,MI01,,511000
https://www.moneycontrol.com/india/stockpricequote/diversified/madhyabharatagroproducts/MBA,diversified,madhyabharatagroproducts,MBA,MBAPL,
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/madhyapradeshtodaymedia/MPT01,mediaentertainment,madhyapradeshtodaymedia,MPT01,MPTODAY,
https://www.moneycontrol.com/india/stockpricequote/fertilisers/madrasfertilizers/MF15,fertilisers,madrasfertilizers,MF15,MADRASFERT,590134
https://www.moneycontrol.com/india/stockpricequote/etf/miraeassetnifty100esgsectorleadersetf/MAN03,etf,miraeassetnifty100esgsectorleadersetf,MAN03,MAESGETF,
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/maestrosmedilinesystems/MMS01,financeinvestments,maestrosmedilinesystems,MMS01,,501209
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/maestroselectronicstelecommunicationssystems/MET01,miscellaneous,maestroselectronicstelecommunicationssystems,MET01,,538401
https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/mafatlalindustries/MI02,textilescompositemills,mafatlalindustries,MI02,MAFATLAIND,500264
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mafiatrends/MT16,miscellaneous,mafiatrends,MT16,,543613
https://www.moneycontrol.com/india/stockpricequote/sugar/magadhsugarenergy/MSE01,sugar,magadhsugarenergy,MSE01,MAGADSUGAR,540650
https://www.moneycontrol.com/india/stockpricequote/magellanic/magellaniccloud/SIP06,magellanic,magellaniccloud,SIP06,,538891
https://www.moneycontrol.com/india/stockpricequote/dyespigments/magnacolors/TCI03,dyespigments,magnacolors,TCI03,,524270
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/magnaelectrocastings/MEC,castingsforgings,magnaelectrocastings,MEC,,517449
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/magnanimoustradefinance/MTF01,financeinvestments,magnanimoustradefinance,MTF01,,512377
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/magnumfincap/MF01,financeleasinghirepurchase,magnumfincap,MF01,,530347
https://www.moneycontrol.com/india/stockpricequote/paper/magnumventures/MV04,paper,magnumventures,MV04,MAGNUM,532896
https://www.moneycontrol.com/india/stockpricequote/plastics/magnusplastics/MP01,plastics,magnusplastics,MP01,,530797
https://www.moneycontrol.com/india/stockpricequote/financegeneral/maharashtracorporation/MIL02,financegeneral,maharashtracorporation,MIL02,,505523
https://www.moneycontrol.com/india/stockpricequote/chemicals/maharashtrapolybutenes/MP20,chemicals,maharashtrapolybutenes,MP20,,524232
https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/maharashtrascooters/MS01,auto23wheelers,maharashtrascooters,MS01,MAHSCOOTER,500266
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/maharashtraseamless/MS02,steeltubespipes,maharashtraseamless,MS02,MAHSEAMLES,500265
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/maharashtraapexcorporation/MAC02,financeleasinghirepurchase,maharashtraapexcorporation,MAC02,MAHAPEXLTD,523384
https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/maharajashreeumaidmills/MSU,textilescompositemills,maharajashreeumaidmills,MSU,,530059
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/mahaanfoods/MF02,foodprocessing,mahaanfoods,MF02,,519612
https://www.moneycontrol.com/india/stockpricequote/financeinvestment/maharashtracorporationre/MCR,financeinvestment,maharashtracorporationre,MCR,,750720
https://www.moneycontrol.com/india/stockpricequote/rubber/mahalaxmirubtech/MR02,rubber,mahalaxmirubtech,MR02,MHLXMIRU,514450
https://www.moneycontrol.com/india/stockpricequote/mahalaxmism/mahalaxmiseamless/MS03,mahalaxmism,mahalaxmiseamless,MS03,,513460
https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/mahamayasteelindustries/MSI11,steelcrhrstrips,mahamayasteelindustries,MSI11,MAHASTEEL,513554
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mahanindustries/MI47,financeleasinghirepurchase,mahanindustries,MI47,,531515
https://www.moneycontrol.com/india/stockpricequote/refineries/mahanagargas/MG02,refineries,mahanagargas,MG02,MGL,539957
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/mahaniveshindia/MIL12,financeinvestments,mahaniveshindia,MIL12,,530441
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mahasagartravels/MT01,miscellaneous,mahasagartravels,MT01,,526795
https://www.moneycontrol.com/india/stockpricequote/mahaveerinfo/mahaveerinfoway/MI55,mahaveerinfo,mahaveerinfoway,MI55,,539383
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indoamericanadvancepharmaceuitcals/IAA,pharmaceuticals,indoamericanadvancepharmaceuitcals,IAA,,531689
https://www.moneycontrol.com/india/stockpricequote/trading/mahavirimpex/MI26,trading,mahavirimpex,MI26,,531664
https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/mahavirindustries/SWI01,electrodesgraphite,mahavirindustries,SWI01,,531648
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/maheshagriimplementst/MAI03,steelmediumsmall,maheshagriimplementst,MAI03,,506041
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/maheshwarilogistics/ML03,miscellaneous,maheshwarilogistics,ML03,MAHESHWARI,
https://www.moneycontrol.com/india/stockpricequote/dyespigments/mahickrachemicals/MC08,dyespigments,mahickrachemicals,MC08,MAHICKRA,
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19,castingsforgings,mahindracieautomotive,MF19,MAHINDCIE,532756
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mahindracomposites/MCL04,autoancillaries,mahindracomposites,MCL04,,524138
https://www.moneycontrol.com/india/stockpricequote/plastics/mahindraepcirrigation/EPC,plastics,mahindraepcirrigation,EPC,,523754
https://www.moneycontrol.com/india/stockpricequote/hotels/mahindraholidaysresortsindia/MHR,hotels,mahindraholidaysresortsindia,MHR,MHRIL,533088
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/mahindralifespacedevelopers/MLD,constructioncontractingcivil,mahindralifespacedevelopers,MLD,MAHLIFE,532313
https://www.moneycontrol.com/india/stockpricequote/diversified/mahindralogistics/ML04,diversified,mahindralogistics,ML04,MAHLOG,540768
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/mahindrauginesteelcompany/MUS,steelmediumsmall,mahindrauginesteelcompany,MUS,MAHINDUGIN,504823
https://www.moneycontrol.com/india/stockpricequote/packaging/mahipindustries/MI48,packaging,mahipindustries,MI48,,542503
https://www.moneycontrol.com/india/stockpricequote/etf/miraeassethangsengtechetf/MAH,etf,miraeassethangsengtechetf,MAH,MAHKTECH,543414
https://www.moneycontrol.com/india/stockpricequote/miningminerals/maithanalloys/MA04,miningminerals,maithanalloys,MA04,MAITHANALL,590078
https://www.moneycontrol.com/india/stockpricequote/maitri/maitrienterprises/PA02,maitri,maitrienterprises,PA02,,513430
https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/majesticauto/MA01,auto23wheelers,majesticauto,MA01,MAJESAUTO,500267
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/majesticresearchservicessolutions/MRS,miscellaneous,majesticresearchservicessolutions,MRS,,539229
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/makerslaboratories/ML,pharmaceuticals,makerslaboratories,ML,,506919
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/makerslaboratoriesre/MLR,pharmaceuticalsdrugs,makerslaboratoriesre,MLR,,750706
https://www.moneycontrol.com/india/stockpricequote/engineering/maksenergysolutionsindia/MES,engineering,maksenergysolutionsindia,MES,MAKS,
https://www.moneycontrol.com/india/stockpricequote/trading/malabartradingcompany/MTC02,trading,malabartradingcompany,MTC02,,501473
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mallcomindia/MI59,miscellaneous,mallcomindia,MI59,MALLCOM,539400
https://www.moneycontrol.com/india/stockpricequote/paper/malupapermills/MPM03,paper,malupapermills,MPM03,MALUPAPER,532728
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/malwacottonspgmills/MCS01,textilesspinningcottonblended,malwacottonspgmills,MCS01,MALWACOTT,502995
https://www.moneycontrol.com/india/stockpricequote/etf/miraeassetniftymidcap150etf/MAN05,etf,miraeassetniftymidcap150etf,MAN05,MAM150ETF,
https://www.moneycontrol.com/india/stockpricequote/etf/miraeassetniftyindiamanufacturingetf/MAN02,etf,miraeassetniftyindiamanufacturingetf,MAN02,MAMFGETF,543454
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/manindustriesindia/MII,steeltubespipes,manindustriesindia,MII,MANINDS,513269
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/maninfraconstruction/MI37,constructioncontractingcivil,maninfraconstruction,MI37,MANINFRA,533169
https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/manmadespinnersindia/MMS,textilesspinningsyntheticblended,manmadespinnersindia,MMS,,531714
https://www.moneycontrol.com/india/stockpricequote/man50etf/man50etf/MAN506353,man50etf,man50etf,MAN506353,MAN50ETF,
https://www.moneycontrol.com/india/stockpricequote/steelrolling/manaksia/M16,steelrolling,manaksia,M16,MANAKSIA,532932
https://www.moneycontrol.com/india/stockpricequote/aluminium/manaksiaaluminiumcompany/MAC03,aluminium,manaksiaaluminiumcompany,MAC03,MANAKALUCO,539045
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/manaksiacoatedmetalsindustries/MCM02,steelmediumsmall,manaksiacoatedmetalsindustries,MCM02,MANAKCOAT,539046
https://www.moneycontrol.com/india/stockpricequote/steellarge/manaksiasteels/MS27,steellarge,manaksiasteels,MS27,MANAKSTEEL,539044
https://www.moneycontrol.com/india/stockpricequote/petrochemicals/manalipetrochemicals/MP02,petrochemicals,manalipetrochemicals,MP02,MANALIPETC,500268
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/manappuramfinance/MGF01,financeleasinghirepurchase,manappuramfinance,MGF01,MANAPPURAM,531213
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/manasproperties/MP17,miscellaneous,manasproperties,MP17,,540402
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/manavinfraprojects/MIP01,constructioncontractingcivil,manavinfraprojects,MIP01,MANAV,
https://www.moneycontrol.com/india/stockpricequote/etf/miraeassetniftyfinancialservicesetf/MAN01,etf,miraeassetniftyfinancialservicesetf,MAN01,MAFSETF,543323
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mangalcreditfincorp/TML,financeleasinghirepurchase,mangalcreditfincorp,TML,,505850
https://www.moneycontrol.com/india/stockpricequote/cementmajor/mangalamcement/MC03,cementmajor,mangalamcement,MC03,MANGLMCEM,502157
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/mangalamdrugsorganics/MDO,pharmaceuticals,mangalamdrugsorganics,MDO,MANGALAM,532637
https://www.moneycontrol.com/india/stockpricequote/mangalamglobal/mangalamglobalenterprise/MGEL14874,mangalamglobal,mangalamglobalenterprise,MGEL14874,MGEL,
https://www.moneycontrol.com/india/stockpricequote/financegeneral/mangalamindustrialfinance/MIF02,financegeneral,mangalamindustrialfinance,MIF02,,537800
https://www.moneycontrol.com/india/stockpricequote/chemicals/mangalamorganics/DP06,chemicals,mangalamorganics,DP06,MANORG,514418
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mangalamseeds/MS18,miscellaneous,mangalamseeds,MS18,,539275
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mangalamtimberproducts/MTP,miscellaneous,mangalamtimberproducts,MTP,MANGTIMBER,516007
https://www.moneycontrol.com/india/stockpricequote/ironsteel/mangalamworldwide/MW01,ironsteel,mangalamworldwide,MW01,MWL,
https://www.moneycontrol.com/india/stockpricequote/fertilisers/mangalorechemicalsfertilisers/MCF01,fertilisers,mangalorechemicalsfertilisers,MCF01,MANGCHEFER,530011
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/mangalyasofttech/MST,computerssoftwaremediumsmall,mangalyasofttech,MST,,530243
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/manipalfinancecorporation/MFC01,financeleasinghirepurchase,manipalfinancecorporation,MFC01,,507938
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/manjeeraconstructions/MC21,constructioncontractingrealestate,manjeeraconstructions,MC21,MANJEERA,533078
https://www.moneycontrol.com/india/stockpricequote/packaging/manjushreetechnopack/MT14,packaging,manjushreetechnopack,MT14,MANJUSHREE,532950
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/manomaytexindia/MTI05,miscellaneous,manomaytexindia,MTI05,,540396
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/manoramaindustries/MI45,foodprocessing,manoramaindustries,MI45,MANORAMA,541974
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/manpasandbeverages/MB04,foodprocessing,manpasandbeverages,MB04,MANPASAND,539207
https://www.moneycontrol.com/india/stockpricequote/financehousing/manrajhousingfinance/MHF03,financehousing,manrajhousingfinance,MHF03,,530537
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mansifinancechennai/MFC02,financeleasinghirepurchase,mansifinancechennai,MFC02,,511758
https://www.moneycontrol.com/india/stockpricequote/engineering/manugraphindustries/MI08,engineering,manugraphindustries,MI08,MANUGRAPH,505324
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/manxt50/MANXT17181,miscellaneous,manxt50,MANXT17181,MANXT50,
https://www.moneycontrol.com/india/stockpricequote/chemicals/maproindustries/MIL08,chemicals,maproindustries,MIL08,,509762
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/maraloverseas/MO,textilesspinningcottonblended,maraloverseas,MO,MARALOVER,521018
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/marathonnextgenrealty/MNR,constructioncontractingrealestate,marathonnextgenrealty,MNR,MARATHON,503101
https://www.moneycontrol.com/india/stockpricequote/marblecityind/marblecityindia/PG02,marblecityind,marblecityindia,PG02,,531281
https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/mardiasamyoungcapillarytubesco/MSC,metalsnonferrous,mardiasamyoungcapillarytubesco,MSC,,513544
https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/marg/M17,constructioncontractinghousing,marg,M17,MARG,530543
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/margprojectsinfrastructure/MPI05,constructioncontractingcivil,margprojectsinfrastructure,MPI05,,513648
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/margtechnoprojects/MTP02,miscellaneous,margtechnoprojects,MTP02,,540254
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/margofinance/IFL,financeleasinghirepurchase,margofinance,IFL,,500206
https://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,personalcare,marico,M13,MARICO,531642
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/maricokayaenterprises/MKE01,miscellaneous,maricokayaenterprises,MKE01,MAKE,538503
