URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/n2ntechnologies/VM03,financeinvestments,n2ntechnologies,VM03,,512279
https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/naapbooks/N11,itservicesconsulting,naapbooks,N11,,543351
https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/naclindustries/NA04,pesticidesagrochemicals,naclindustries,NA04,NACLIND,524709
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/nagadhunserigroup/NDG,plantationsteacoffee,nagadhunserigroup,NDG,NDGL,
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nagarjunaagritech/NA03,miscellaneous,nagarjunaagritech,NA03,,531832
https://www.moneycontrol.com/india/stockpricequote/fertilisers/nagarjunafertiliserschemicals/NFC,fertilisers,nagarjunafertiliserschemicals,NFC,NAGAFERT,539917
https://www.moneycontrol.com/india/stockpricequote/refineries/nagarjunaoilrefinery/NOR,refineries,nagarjunaoilrefinery,NOR,NAGAROIL,534184
https://www.moneycontrol.com/india/stockpricequote/miningminerals/nagpurpowerindustries/NPI04,miningminerals,nagpurpowerindustries,NPI04,,532362
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/nagreekacapitalinfrastructure/NCI,financeinvestments,nagreekacapitalinfrastructure,NCI,NAGREEKCAP,532895
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/nagreekaexports/NE,textilesspinningcottonblended,nagreekaexports,NE,NAGREEKEXP,521109
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/naharcapitalfinancialservices/NCF,financeinvestments,naharcapitalfinancialservices,NCF,NAHARCAP,532952
https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/naharindustrialenterprises/NIE,textilescompositemills,naharindustrialenterprises,NIE,NAHARINDUS,519136
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/naharpolyfilms/NIH,textilesspinningcottonblended,naharpolyfilms,NIH,NAHARPOLY,523391
https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/naharspinningmills/NSM,textileshosieryknitwear,naharspinningmills,NSM,NAHARSPING,500296
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/naisargikagritechindia/NAI,miscellaneous,naisargikagritechindia,NAI,,531365
https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/nakoda/NTI,textilesprocessing,nakoda,NTI,NAKODA,521030
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nakodagroupindustries/NGo,foodprocessing,nakodagroupindustries,NGo,NGIL,541418
https://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC,aluminium,nationalaluminiumcompany,NAC,NATIONALUM,532234
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/nalinleasefinance/NLF,financeleasinghirepurchase,nalinleasefinance,NLF,,531212
https://www.moneycontrol.com/india/stockpricequote/financegeneral/nalwasonsinvestment/NSI02,financegeneral,nalwasonsinvestment,NSI02,NSIL,532256
https://www.moneycontrol.com/india/stockpricequote/financegeneral/namsecurities/NS13,financegeneral,namsecurities,NS13,,538395
https://www.moneycontrol.com/india/stockpricequote/diamondjewellery/nanavativentures/NV02,diamondjewellery,nanavativentures,NV02,,543522
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nandanautotech/PI05,miscellaneous,nandanautotech,PI05,,526349
https://www.moneycontrol.com/india/stockpricequote/textilesdenim/nandandenim/NE06,textilesdenim,nandandenim,NE06,NDL,532641
https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/nandanicreation/NC09,textilesreadymadeapparels,nandanicreation,NC09,JAIPURKURT,
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/narayanahrudayalaya/NH,hospitalsmedicalservices,narayanahrudayalaya,NH,NH,539551
https://www.moneycontrol.com/india/stockpricequote/steellarge/narayanisteels/NS10,steellarge,narayanisteels,NS10,,540080
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/narbadagemsjewellery/NGJ01,diamondcuttingjewellerypreciousmetals,narbadagemsjewellery,NGJ01,,519455
https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/narendraproperties/NP13,constructioncontractinghousing,narendraproperties,NP13,,531416
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/narmadaagrobase/NA,foodprocessing,narmadaagrobase,NA,NARMADA,543643
https://www.moneycontrol.com/india/stockpricequote/chemicals/narmadagelatines/NG02,chemicals,narmadagelatines,NG02,SHAWGELTIN,526739
https://www.moneycontrol.com/india/stockpricequote/plastics/narmadamacplastdripirrigationsystems/NMD,plastics,narmadamacplastdripirrigationsystems,NMD,,517431
https://www.moneycontrol.com/india/stockpricequote/financegeneral/natcoeconomicals/NE08,financegeneral,natcoeconomicals,NE08,,539595
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/natcopharma/NP07,pharmaceuticals,natcopharma,NP07,NATCOPHARM,524816
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nathbiogenes/NBG,pharmaceuticals,nathbiogenes,NBG,NATHBIOGEN,537291
https://www.moneycontrol.com/india/stockpricequote/paper/nathindustrieslimited/RPP,paper,nathindustrieslimited,RPP,,502587
https://www.moneycontrol.com/india/stockpricequote/paper/nathpulppapermills/NPP,paper,nathpulppapermills,NPP,NATHPULP,502407
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/nationalfittings/ITP01,castingsforgings,nationalfittings,ITP01,,531289
https://www.moneycontrol.com/india/stockpricequote/steelrolling/nationalgeneralindustries/NGI03,steelrolling,nationalgeneralindustries,NGI03,,531651
