URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/opchains/C14,miscellaneous,opchains,C14,,539116
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/oasissecurities/OS01,financeinvestments,oasissecurities,OS01,,512489
https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/oasistradelink/OT06,edibleoilssolventextraction,oasistradelink,OT06,,538547
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR,constructioncontractingrealestate,oberoirealty,OR,OBEROIRLTY,533273
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/objectoneinformationsystems/OIS,computerssoftwaremediumsmall,objectoneinformationsystems,OIS,,535657
https://www.moneycontrol.com/india/stockpricequote/packaging/oceanagroindia/OAI,packaging,oceanagroindia,OAI,,519491
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/oceanaabiotekindustries/OBI,foodprocessing,oceanaabiotekindustries,OBI,,538019
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/oceanicfoods/OF03,miscellaneous,oceanicfoods,OF03,,540405
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/oclironsteel/OCL03,steelmediumsmall,oclironsteel,OCL03,OISL,533008
https://www.moneycontrol.com/india/stockpricequote/octalcredit/octalcreditcapital/OCC01,octalcredit,octalcreditcapital,OCC01,,538894
https://www.moneycontrol.com/india/stockpricequote/octavius/octaviusplantations/OP03,octavius,octaviusplantations,OP03,,542938
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/octawaretechnologies/OT08,computerssoftware,octawaretechnologies,OT08,,540416
https://www.moneycontrol.com/india/stockpricequote/cementmajor/odishacementlimited/DBE,cementmajor,odishacementlimited,DBE,DALMIABHA,533309
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/odysseycorporation/OFS,financeleasinghirepurchase,odysseycorporation,OFS,,531996
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/odysseytechnologies/OT01,computerssoftwaremediumsmall,odysseytechnologies,OT01,,530175
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/oilcountrytubular/OCT,steeltubespipes,oilcountrytubular,OCT,OILCOUNTUB,500313
https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,oildrillingandexploration,oilindia,OI13,OIL,533106
https://www.moneycontrol.com/india/stockpricequote/plastics/okplayindia/OKP,plastics,okplayindia,OKP,,526415
https://www.moneycontrol.com/india/stockpricequote/software/olatechsolutions/OS05,software,olatechsolutions,OS05,,543578
https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/olectragreentech/GI29,telecommunicationsservice,olectragreentech,GI29,OLECTRA,532439
https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/olympiaindustries/OI02,textilesprocessing,olympiaindustries,OI02,,521105
https://www.moneycontrol.com/india/stockpricequote/printingstationery/olympiccards/OC04,printingstationery,olympiccards,OC04,,534190
https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/olympicoilindustries/OOI,edibleoilssolventextraction,olympicoilindustries,OOI,,507609
https://www.moneycontrol.com/india/stockpricequote/engineering/ominfra/OMM02,engineering,ominfra,OMM02,OMINFRAL,531092
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/omanshenterprises/OE04,miscellaneous,omanshenterprises,OE04,,538537
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/omaxautos/OA,autoancillaries,omaxautos,OA,OMAXAUTO,520021
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/omaxe/O02,constructioncontractingrealestate,omaxe,O02,OMAXE,532880
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/omegaagseedspunjab/OAS,miscellaneous,omegaagseedspunjab,OAS,,519479
https://www.moneycontrol.com/india/stockpricequote/omegainttech/omegainteractivetechnologies/OIT01,omegainttech,omegainteractivetechnologies,OIT01,,511644
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/omfurnindia/OI14,miscellaneous,omfurnindia,OI14,OMFURN,
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/omkaroverseas/OO,miscellaneous,omkaroverseas,OO,,531496
https://www.moneycontrol.com/india/stockpricequote/chemicals/omkarpharmachem/OPL,chemicals,omkarpharmachem,OPL,,532167
https://www.moneycontrol.com/india/stockpricequote/chemicals/omkarspecialitychemicals/OSC01,chemicals,omkarspecialitychemicals,OSC01,OMKARCHEM,533317
