URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH,personalcare,proctergamblehygienehealthcare,PGH,PGHH,500459
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pbfilms/F01,mediaentertainment,pbfilms,F01,,539352
https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/peanalytics/A21,itservicesconsulting,peanalytics,A21,PROPEQUITY,
https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/pmtelelinnks/PMT01,steelcrhrstrips,pmtelelinnks,PMT01,,513403
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/paceecommerceventures/PCV,miscellaneous,paceecommerceventures,PCV,,543637
https://www.moneycontrol.com/india/stockpricequote/pacheliind/pacheliindustrialfinance/DI09,pacheliind,pacheliindustrialfinance,DI09,,523862
https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/pacificindustries/PI02,ceramicsgranite,pacificindustries,PI02,PACIFICIND,523483
https://www.moneycontrol.com/india/stockpricequote/steellarge/pactindustries/PI41,steellarge,pactindustries,PI41,,538963
https://www.moneycontrol.com/india/stockpricequote/padamcotton/padamcottonyarns/PCY,padamcotton,padamcottonyarns,PCY,,531395
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/padmalayatelefilms/PT06,mediaentertainment,padmalayatelefilms,PT06,PADMALAYAT,532350
https://www.moneycontrol.com/india/stockpricequote/chemicals/padmanabhindustries/NI06,chemicals,padmanabhindustries,NI06,,526905
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/pae/PAE05,autoancillaries,pae,PAE05,PAEL,517230
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/pagariaenergy/WN,computerssoftwaremediumsmall,pagariaenergy,WN,,531396
https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/pageindustries/PI35,textilesreadymadeapparels,pageindustries,PI35,PAGEIND,532827
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/paisalodigitalltd/SEI03,financeinvestments,paisalodigitalltd,SEI03,PAISALO,532900
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/palcreditcapital/PAL02,financeleasinghirepurchase,palcreditcapital,PAL02,PALCREDIT,511306
https://www.moneycontrol.com/india/stockpricequote/financegeneral/palashsecurities/PS19,financegeneral,palashsecurities,PS19,PALASHSECU,540648
https://www.moneycontrol.com/india/stockpricequote/palcometals/palcometals/PM08,palcometals,palcometals,PM08,,539121
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/palmjewels/PJ02,diamondcuttingjewellerypreciousmetals,palmjewels,PJ02,,541444
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/palredtechnologies/FS05,computerssoftwaremediumsmall,palredtechnologies,FS05,PALREDTEC,532521
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/palsoftinfosystems/ACF03,computerssoftwaremediumsmall,palsoftinfosystems,ACF03,,511597
