URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/qgofinancelimited/PC21,financeinvestments,qgofinancelimited,PC21,,538646
https://www.moneycontrol.com/india/stockpricequote/medicalequipmentsuppliesaccessories/qmsmedicalalliedservices/QMA,medicalequipmentsuppliesaccessories,qmsmedicalalliedservices,QMA,QMSMEDI,
https://www.moneycontrol.com/india/stockpricequote/qnifty/quantumnifty50etf/QIF,qnifty,quantumnifty50etf,QIF,QNIFTY,590110
https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/quadproites/QI01,itservicesconsulting,quadproites,QI01,QUADPRO,
https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/quadrantteleventures/HFC01,telecommunicationsservice,quadrantteleventures,HFC01,,511116
https://www.moneycontrol.com/india/stockpricequote/diversified/qualityroindustries/QRI,diversified,qualityroindustries,QRI,,543460
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/quantumbuildtech/QBT,computerssoftwaremediumsmall,quantumbuildtech,QBT,,538596
https://www.moneycontrol.com/india/stockpricequote/packaging/quantumdigitalvision/QDV,packaging,quantumdigitalvision,QDV,,530281
https://www.moneycontrol.com/india/stockpricequote/quantumgold/quantumgoldfundexchangetradedfundetf/QGF,quantumgold,quantumgoldfundexchangetradedfundetf,QGF,QGOLDHALF,590099
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/quantumsoftech/QS,computerssoftwaremediumsmall,quantumsoftech,QS,,
https://www.moneycontrol.com/india/stockpricequote/trading/quasarindia/QI,trading,quasarindia,QI,,538452
https://www.moneycontrol.com/india/stockpricequote/engineering/quesscorp/QC,engineering,quesscorp,QC,QUESS,539978
https://www.moneycontrol.com/india/stockpricequote/questcapital/questcapitalmarkets/BNK,questcapital,questcapitalmarkets,BNK,,500069
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/questfinancialservices/QFS,financeinvestments,questfinancialservices,QFS,,539962
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/questsoftech/QS02,computerssoftwaremediumsmall,questsoftech,QS02,,535719
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/quickhealtechnologies/QHT,computerssoftware,quickhealtechnologies,QHT,QUICKHEAL,539678
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/quintdigitalmedia/GM03,miscellaneous,quintdigitalmedia,GM03,,539515
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/quintegrasolutions/QS01,computerssoftwaremediumsmall,quintegrasolutions,QS01,QUINTEGRA,532866
