URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/rbguptafinancials/RBG,financeinvestments,rbguptafinancials,RBG,,532024
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/relianceetfbanking/RMF02,financeinvestments,relianceetfbanking,RMF02,RELBANK,533888
https://www.moneycontrol.com/india/stockpricequote/retfgold/relianceetfgold/RMF,retfgold,relianceetfgold,RMF,RELGOLD,533891
https://www.moneycontrol.com/india/stockpricequote/retfniftyb/relianceetfniftybees/RMF03,retfniftyb,relianceetfniftybees,RMF03,RELNIFTY,537484
https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/rjbiotech/B07,pesticidesagrochemicals,rjbiotech,B07,,536456
https://www.moneycontrol.com/india/stockpricequote/diversified/rmdripsprinklerssystems/DSS04,diversified,rmdripsprinklerssystems,DSS04,RMDRIP,
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/rsystemsinternational/RSI01,computerssoftwaremediumsmall,rsystemsinternational,RSI01,RSYSTEMS,532735
https://www.moneycontrol.com/india/stockpricequote/textilesdenim/rbdenims/RD03,textilesdenim,rbdenims,RD03,,538119
https://www.moneycontrol.com/india/stockpricequote/engineering/rjshah/RJS,engineering,rjshah,RJS,,509845
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/raajmedisafeindia/MSI01,hospitalsmedicalservices,raajmedisafeindia,MSI01,,524502
https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/raasirefractories/RR,cementproductsbuildingmaterials,raasirefractories,RR,,502271
https://www.moneycontrol.com/india/stockpricequote/trading/raceecochain/AI08,trading,raceecochain,AI08,,537785
https://www.moneycontrol.com/india/stockpricequote/infrastructure/rachanainfrastructure/RI28,infrastructure,rachanainfrastructure,RI28,RILINFRA,
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/raclgeartech/RAC,autoancillaries,raclgeartech,RAC,,520073
