URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/printingstationery/schandcompanylimited/CCL,printingstationery,schandcompanylimited,CCL,SCHAND,540497
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/sepower/SEP03,powergenerationdistribution,sepower,SEP03,SEPOWER,534598
https://www.moneycontrol.com/india/stockpricequote/chemicals/shkelkarcompany/KC17,chemicals,shkelkarcompany,KC17,SHK,539450
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/sicapitalfinancialservices/SIC02,financeleasinghirepurchase,sicapitalfinancialservices,SIC02,,530907
https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/skinternationalexport/IE06,textilesreadymadeapparels,skinternationalexport,IE06,,542728
https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/skumarsnationwide/SKN,textilessyntheticsilk,skumarsnationwide,SKN,SKUMARSYNF,514304
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/skumarscom/SK01,computerssoftwaremediumsmall,skumarscom,SK01,,532316
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/spapparels/A,textilesgeneral,spapparels,A,SPAL,540048
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/stservices/STS,miscellaneous,stservices,STS,,538876
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/svglobalmill/SVG02,miscellaneous,svglobalmill,SVG02,,535621
https://www.moneycontrol.com/india/stockpricequote/smgold/smgold/SG13,smgold,smgold,SG13,,542034
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ssinfrastructuredevelopmentconsultantsltd/SID01,miscellaneous,ssinfrastructuredevelopmentconsultantsltd,SID01,SSINFRA,
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/svtradingagencies/SVT,miscellaneous,svtradingagencies,SVT,,503622
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/saamyabiotechindia/SBI15,pharmaceuticals,saamyabiotechindia,SBI15,,532905
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/sabeventsgovernancenowmedia/SAB02,mediaentertainment,sabeventsgovernancenowmedia,SAB02,SABEVENTS,540081
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/sabindustries/SAB01,constructioncontractingcivil,sabindustries,SAB01,,539112
https://www.moneycontrol.com/india/stockpricequote/packagingpackagingmaterials/sabarflexindia/SFI06,packagingpackagingmaterials,sabarflexindia,SFI06,SABAR,
https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/saberoorganicsgujarat/SOG,pesticidesagrochemicals,saberoorganicsgujarat,SOG,SABERORGAN,524446
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/saboobrothers/SB01,miscellaneous,saboobrothers,SB01,,530267
https://www.moneycontrol.com/india/stockpricequote/chemicals/saboosodiumchloro/SSC,chemicals,saboosodiumchloro,SSC,,530461
https://www.moneycontrol.com/india/stockpricequote/chemicals/saboosodiumchlorore/SSC08,chemicals,saboosodiumchlorore,SSC08,,750718
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/sabrimalaindustries/SLA,miscellaneous,sabrimalaindustries,SLA,,540132
https://www.moneycontrol.com/india/stockpricequote/aluminium/sachetametals/SM12,aluminium,sachetametals,SM12,,531869
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/sadbhavengineering/SE19,infrastructuregeneral,sadbhavengineering,SE19,SADBHAV,532710
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/sadbhavinfrastructureprojects/SIP,infrastructuregeneral,sadbhavinfrastructureprojects,SIP,SADBHIN,539346
https://www.moneycontrol.com/india/stockpricequote/dyespigments/sadhananitrochem/SN,dyespigments,sadhananitrochem,SN,,506642
