URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/tspirutualworld/TSW,computerssoftwaremediumsmall,tspirutualworld,TSW,,532444
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/taalenterprises/TAA01,transportlogistics,taalenterprises,TAA01,,539956
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/taazainternational/AE16,miscellaneous,taazainternational,AE16,,537392
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/theanupengineering/ANUP54246,miscellaneous,theanupengineering,ANUP54246,ANUP,542460
https://www.moneycontrol.com/india/stockpricequote/trading/taiindustries/TI03,trading,taiindustries,TI03,,519483
https://www.moneycontrol.com/india/stockpricequote/plastics/tainwalachemicalsplasticsindia/TCP,plastics,tainwalachemicalsplasticsindia,TCP,TAINWALCHM,507785
https://www.moneycontrol.com/india/stockpricequote/hotels/tajgvkhotelsresorts/TGV,hotels,tajgvkhotelsresorts,TGV,TAJGVK,532390
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/takesolutions/TS09,pharmaceuticals,takesolutions,TS09,TAKE,532890
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/talbrosautomotivecomponents/TAC,autoancillaries,talbrosautomotivecomponents,TAC,TALBROAUTO,505160
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/talbrosengineering/TE15,autoancillaries,talbrosengineering,TE15,,538987
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/talwalkarsbettervaluefitness/TBV,miscellaneous,talwalkarsbettervaluefitness,TBV,TALWALKARS,533200
https://www.moneycontrol.com/india/stockpricequote/personalcare/talwalkarshealthclubs/TALWG54154,personalcare,talwalkarshealthclubs,TALWG54154,TALWGYM,541545
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/tambolicapital/TC19,financeinvestments,tambolicapital,TC19,,533170
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/tamilnadujaibharathmills/TJB,textilesspinningcottonblended,tamilnadujaibharathmills,TJB,,521038
https://www.moneycontrol.com/india/stockpricequote/paper/tamilnadunewsprintpapers/TNN,paper,tamilnadunewsprintpapers,TNN,TNPL,531426
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/tamilnadusteeltubes/TST,steeltubespipes,tamilnadusteeltubes,TST,,513540
https://www.moneycontrol.com/india/stockpricequote/cablestelephone/tamilnadutelecommunications/TT01,cablestelephone,tamilnadutelecommunications,TT01,TNTELE,523419
https://www.moneycontrol.com/india/stockpricequote/detergents/tamilnadupetroproducts/TP13,detergents,tamilnadupetroproducts,TP13,TNPETRO,500777
https://www.moneycontrol.com/india/stockpricequote/trading/tiglobal/TIG,trading,tiglobal,TIG,,522294
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tanejaaerospaceaviation/TAA,miscellaneous,tanejaaerospaceaviation,TAA,TANEJAERO,522229
https://www.moneycontrol.com/india/stockpricequote/chemicals/tanfacindustries/TI02,chemicals,tanfacindustries,TI02,TANFACIND,506854
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/tanlaplatforms/TS11,computerssoftwaremediumsmall,tanlaplatforms,TS11,TANLA,532790
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/tantiaconstructions/TC15,constructioncontractingcivil,tantiaconstructions,TC15,TANTIACONS,532738
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/tanvifoods/TF06,foodprocessing,tanvifoods,TF06,,540332
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/tapariatools/TT02,castingsforgings,tapariatools,TT02,,505685
https://www.moneycontrol.com/india/stockpricequote/consumerfood/tapifruitprocessing/TFP,consumerfood,tapifruitprocessing,TFP,TAPIFRUIT,
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tarachandlogisticsolutionsltd/TCL01,miscellaneous,tarachandlogisticsolutionsltd,TCL01,TARACHAND,
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/tarajewels/TJ01,diamondcuttingjewellerypreciousmetals,tarajewels,TJ01,TARAJEWELS,534756
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/taraifoods/TF01,foodprocessing,taraifoods,TF01,,519285
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tarangprojectsconsultant/TPC02,miscellaneous,tarangprojectsconsultant,TPC02,,538287
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/tarapurtransformers/TT04,powertransmissionequipment,tarapurtransformers,TT04,TARAPUR,533203
https://www.moneycontrol.com/india/stockpricequote/tarc/tarc/ARG,tarc,tarc,ARG,TARC,543249
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/tariniinternational/TI12,powertransmissionequipment,tariniinternational,TI12,,538496
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/tarmat/RT06,constructioncontractingcivil,tarmat,RT06,TARMAT,532869
https://www.moneycontrol.com/india/stockpricequote/plasticproductsothers/tarsonsproducts/TP01,plasticproductsothers,tarsonsproducts,TP01,TARSONS,543399
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/tashiindia/TIL03,financeinvestments,tashiindia,TIL03,,512271
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/tastybiteeatables/TBE,foodprocessing,tastybiteeatables,TBE,TASTYBITE,519091
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/tastydairyspecialitieslimited/TDS,foodprocessing,tastydairyspecialitieslimited,TDS,,540955
https://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,chemicals,tatachemicals,TC,TATACHEM,500770
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tatacoffee/TC14,plantationsteacoffee,tatacoffee,TC14,TATACOFFEE,532301
https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/tatacommunications/TC17,telecommunicationsservice,tatacommunications,TC17,TATACOMM,500483
