URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/uhzaveri/UHZ,diamondcuttingjewellerypreciousmetals,uhzaveri,UHZ,,541338
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/uyfincorp/GS04,financeleasinghirepurchase,uyfincorp,GS04,,530579
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/ubengineering/UBE,engineeringheavy,ubengineering,UBE,UBENGG,509992
https://www.moneycontrol.com/india/stockpricequote/trading/unitedbreweriesholdings/UBH,trading,unitedbreweriesholdings,UBH,UBHOLDINGS,507458
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS,autoancillaries,ucalfuelsystems,UFS,UCALFUEL,500464
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/ucobank/UCO,bankspublicsector,ucobank,UCO,UCOBANK,532505
https://www.moneycontrol.com/india/stockpricequote/cementmajor/udaipurcementworks/JKU,cementmajor,udaipurcementworks,JKU,JKUDYOG,530131
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/udayjewelleryindustries/UJI,diamondcuttingjewellerypreciousmetals,udayjewelleryindustries,UJI,,539518
https://www.moneycontrol.com/india/stockpricequote/packaging/uflex/U01,packaging,uflex,U01,UFLEX,500148
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/ufomoviezindia/UMI03,mediaentertainment,ufomoviezindia,UMI03,UFO,539141
https://www.moneycontrol.com/india/stockpricequote/hotels/ughotelsresorts/UGH,hotels,ughotelsresorts,UGH,,526463
https://www.moneycontrol.com/india/stockpricequote/sugar/ugarsugarworks/USW,sugar,ugarsugarworks,USW,UGARSUGAR,530363
https://www.moneycontrol.com/india/stockpricequote/financegeneral/ugrocapital/CS08,financegeneral,ugrocapital,CS08,UGROCAP,511742
https://www.moneycontrol.com/india/stockpricequote/financegeneral/ujjivanfinancialservices/UFS01,financegeneral,ujjivanfinancialservices,UFS01,UJJIVAN,539874
https://www.moneycontrol.com/india/stockpricequote/ultrawiringco/ultrawiringconnectivitysystems/UWC,ultrawiringco,ultrawiringconnectivitysystems,UWC,UWCSL,
https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/ultracabindia/UI20,cablespowerothers,ultracabindia,UI20,,538706
https://www.moneycontrol.com/india/stockpricequote/dyespigments/ultramarinepigments/UP02,dyespigments,ultramarinepigments,UP02,ULTRMARINE,506685
https://www.moneycontrol.com/india/stockpricequote/cementmajor/ultratechcement/UTC01,cementmajor,ultratechcement,UTC01,ULTRACEMCO,532538
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/umangdairies/UD01,foodprocessing,umangdairies,UD01,UMANGDAIRY,500231
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/umiyatubes/UT03,steeltubespipes,umiyatubes,UT03,,539798
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/uniabexalloyproducts/UAA,castingsforgings,uniabexalloyproducts,UAA,,504605
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/unichemlaboratories/UL02,pharmaceuticals,unichemlaboratories,UL02,UNICHEMLAB,506690
https://www.moneycontrol.com/india/stockpricequote/printingstationery/unickfixaformprinters/UNICK54150,printingstationery,unickfixaformprinters,UNICK54150,,541503
https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/uniinfotelecomservicesltd/UTS,telecommunicationsservice,uniinfotelecomservicesltd,UTS,UNIINFO,
