URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vbindustries/VBI,miscellaneous,vbindustries,VBI,,539123
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/vrfilmsstudios/FS04,mediaentertainment,vrfilmsstudios,FS04,,542654
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vrwoodarts/VRW01,miscellaneous,vrwoodarts,VRW01,,523888
https://www.moneycontrol.com/india/stockpricequote/electricequipment/vguardindustries/VI02,electricequipment,vguardindustries,VI02,VGUARD,532953
https://www.moneycontrol.com/india/stockpricequote/cables/vmarcindia/VI23,cables,vmarcindia,VI23,VMARCIND,
https://www.moneycontrol.com/india/stockpricequote/retail/vmartretail/VR03,retail,vmartretail,VR03,VMART,534976
https://www.moneycontrol.com/india/stockpricequote/retail/v2retail/VR02,retail,v2retail,VR02,V2RETAIL,532867
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/vatechwabag/VTW,infrastructuregeneral,vatechwabag,VTW,WABAG,533269
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/vaaradventures/AC25,financeinvestments,vaaradventures,AC25,,532320
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/vadilalenterprises/VE,foodprocessing,vadilalenterprises,VE,,519152
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/vadilalindustries/VI01,foodprocessing,vadilalindustries,VI01,VADILALIND,519156
https://www.moneycontrol.com/india/stockpricequote/chemicals/vadivarhespecialitychemicals/VSC04,chemicals,vadivarhespecialitychemicals,VSC04,VSCL,
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/vaghanitechnobuild/VTB,foodprocessing,vaghanitechnobuild,VTB,,531676
https://www.moneycontrol.com/india/stockpricequote/retail/vaibhavglobal/VG02,retail,vaibhavglobal,VG02,VAIBHAVGBL,532156
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/vaidyasaneayurvedlaboratories/VSA,pharmaceuticalsdrugs,vaidyasaneayurvedlaboratories,VSA,MADHAVBAUG,
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/vaishalipharma/VP01,pharmaceuticals,vaishalipharma,VP01,VAISHALI,
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/vaishnavigold/MM08,diamondcuttingjewellerypreciousmetals,vaishnavigold,MM08,,590111
https://www.moneycontrol.com/india/stockpricequote/cementmini/vaishnocementcompany/VCC,cementmini,vaishnocementcompany,VCC,,526941
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/vakrangee/VS,computerssoftwaremediumsmall,vakrangee,VS,VAKRANGEE,511431
https://www.moneycontrol.com/india/stockpricequote/trading/vaksonsautomobiles/VA,trading,vaksonsautomobiles,VA,,539402
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/valechaengineering/VE06,constructioncontractingcivil,valechaengineering,VE06,VALECHAENG,532389
https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/valiantcommunications/VC01,telecommunicationsequipment,valiantcommunications,VC01,,526775
https://www.moneycontrol.com/india/stockpricequote/chemicals/valiantorganics/VO03,chemicals,valiantorganics,VO03,VALIANTORG,540145
https://www.moneycontrol.com/india/stockpricequote/packaging/vallabhpolyplastinternational/VPP,packaging,vallabhpolyplastinternational,VPP,,530403
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/vallabhsteels/VS13,steeltubespipes,vallabhsteels,VS13,,513397
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/valleymagnesitecompany/VMC,financeinvestments,valleymagnesitecompany,VMC,,539543
https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/valsonindustries/VIL02,textilesprocessing,valsonindustries,VIL02,,530459
https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/valueindustries/VI20,consumergoodswhitegoods,valueindustries,VI20,VALUEIND,500945
