URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/waasolar/WS03,powergenerationdistribution,waasolar,WS03,,541445
https://www.moneycontrol.com/india/stockpricequote/waareerenewabl/waareerenewabletechnologies/SA04,waareerenewabl,waareerenewabletechnologies,SA04,,534618
https://www.moneycontrol.com/india/stockpricequote/trading/wadalacommodities/WC02,trading,wadalacommodities,WC02,GFL,519035
https://www.moneycontrol.com/india/stockpricequote/wagendinfra/wagendinfraventure/AH02,wagendinfra,wagendinfraventure,AH02,,503675
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/walchandpeoplefirst/WP02,financeinvestments,walchandpeoplefirst,WP02,,501370
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/walchandnagarindustries/WI01,engineeringheavy,walchandnagarindustries,WI01,WALCHANNAG,507410
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/wallstreetfinance/WSF,financeleasinghirepurchase,wallstreetfinance,WSF,,511147
https://www.moneycontrol.com/india/stockpricequote/financegeneral/wallfortfinancialservices/WFS02,financegeneral,wallfortfinancialservices,WFS02,,532053
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/walparnutritions/WN01,pharmaceuticalsdrugs,walparnutritions,WN01,WALPAR,
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wanbury/W12,pharmaceuticals,wanbury,W12,WANBURY,524212
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/wardenconstructionfinance/WCF,constructioncontractingcivil,wardenconstructionfinance,WCF,,512269
https://www.moneycontrol.com/india/stockpricequote/retailing/wardwizardinnovationsmobilityre/WIM,retailing,wardwizardinnovationsmobilityre,WIM,,750696
https://www.moneycontrol.com/india/stockpricequote/wardwizardinno/wardwizardinnovationsmobility/MDC02,wardwizardinno,wardwizardinnovationsmobility,MDC02,,538970
https://www.moneycontrol.com/india/stockpricequote/wardwizfbl/wardwizardfoodsbeverages/VP11,wardwizfbl,wardwizardfoodsbeverages,VP11,,539132
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/warrentea/WT,plantationsteacoffee,warrentea,WT,WARRENTEA,508494
https://www.moneycontrol.com/india/stockpricequote/aquaculture/waterbase/W04,aquaculture,waterbase,W04,WATERBASE,523660
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/wewinlimited/SBS01,computerssoftwaremediumsmall,wewinlimited,SBS01,WEWIN,543535
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/wealthfirstportfoliomanagers/WFP,financeinvestments,wealthfirstportfoliomanagers,WFP,WEALTH,
https://www.moneycontrol.com/india/stockpricequote/electricequipment/websolenergysystem/WSL,electricequipment,websolenergysystem,WSL,WEBELSOLAR,517498
https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/weizmann/W02,textilesprocessing,weizmann,W02,WEIZMANIND,523011
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/welcaststeels/WS,steelmediumsmall,welcaststeels,WS,,504988
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/welcuredrugspharmaceuticals/WDP,pharmaceuticals,welcuredrugspharmaceuticals,WDP,,524661
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/wellnessnoni/RGN,financeinvestments,wellnessnoni,RGN,,531211
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/welspuncorp/WGS,steeltubespipes,welspuncorp,WGS,WELCORP,532144
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/welspunenterprises/WE01,miscellaneous,welspunenterprises,WE01,WELENTRP,538538
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/welspunenterprises/MSK,constructioncontractingcivil,welspunenterprises,MSK,WELENT,532553
https://www.moneycontrol.com/india/stockpricequote/textilesweaving/welspunindia/WI03,textilesweaving,welspunindia,WI03,WELSPUNIND,514162
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/welspuninvestmentscommercials/WIC01,financeinvestments,welspuninvestmentscommercials,WIC01,WELINV,533252
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/welspunspecialtysolutions/RMG,steeltubespipes,welspunspecialtysolutions,RMG,REMIMETAL,500365
https://www.moneycontrol.com/india/stockpricequote/leatherproducts/weltermaninternational/WI04,leatherproducts,weltermaninternational,WI04,,526431
https://www.moneycontrol.com/india/stockpricequote/abrasives/wendtindia/WI05,abrasives,wendtindia,WI05,WENDT,505412
https://www.moneycontrol.com/india/stockpricequote/software/wepsolutionsre/WSR,software,wepsolutionsre,WSR,,750657
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/wepsolutions/DS08,computerssoftwaremediumsmall,wepsolutions,DS08,,532373
https://www.moneycontrol.com/india/stockpricequote/paper/westcoastpapermills/WCP,paper,westcoastpapermills,WCP,WSTCSTPAPR,500444
https://www.moneycontrol.com/india/stockpricequote/westleisure/westleisureresorts/WLR,westleisure,westleisureresorts,WLR,,538382
https://www.moneycontrol.com/india/stockpricequote/shipping/westernindiashipyard/WIS01,shipping,westernindiashipyard,WIS01,,531217
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/westernministil/WM,steelmediumsmall,westernministil,WM,,504998
https://www.moneycontrol.com/india/stockpricequote/westlifefood/westlifefoodworld/DIC,westlifefood,westlifefoodworld,DIC,WESTLIFE,505533
https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/westonelectroniks/WE,consumergoodselectronic,westonelectroniks,WE,,504274
https://www.moneycontrol.com/india/stockpricequote/trading/whbradycompany/WHB,trading,whbradycompany,WHB,,501391
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/wheelsindia/WI11,autoancillaries,wheelsindia,WI11,WHEELS,590073
https://www.moneycontrol.com/india/stockpricequote/software/wherrelzitsolutions/WIS,software,wherrelzitsolutions,WIS,,543436
https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/whirlpoolindia/WI,consumergoodswhitegoods,whirlpoolindia,WI,WHIRLPOOL,500238
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/whiteorganicretail/WOR,miscellaneous,whiteorganicretail,WOR,,542667
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/whiteorganicagro/WDI01,diamondcuttingjewellerypreciousmetals,whiteorganicagro,WDI01,,513713
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/williamsonfinancialservices/WFS,financeleasinghirepurchase,williamsonfinancialservices,WFS,,519214
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/williamsonmagorcompany/WMC,financeinvestments,williamsonmagorcompany,WMC,WILLAMAGOR,519224
https://www.moneycontrol.com/india/stockpricequote/plastics/wimplast/WP,plastics,wimplast,WP,WIMPLAST,526586
https://www.moneycontrol.com/india/stockpricequote/biotechnologymedicalresearch/windlasbiotech/WB01,biotechnologymedicalresearch,windlasbiotech,WB01,WINDLAS,543329
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/windsormachines/WM01,engineeringheavy,windsormachines,WM01,WINDMACHIN,522029
https://www.moneycontrol.com/india/stockpricequote/winproind/winproindustries/CG02,winproind,winproindustries,CG02,WINPRO,531337
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/winrocommercialindia/WCI02,financeinvestments,winrocommercialindia,WCI02,,512022
https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/winsomebreweries/WB,breweriesdistilleries,winsomebreweries,WB,,526471
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/winsomediamondsjewellery/SDJ01,diamondcuttingjewellerypreciousmetals,winsomediamondsjewellery,SDJ01,WINSOMEDJ,507892
https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/winsometextileindustries/WTI,textilesspinningsyntheticblended,winsometextileindustries,WTI,,514470
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/winsomeyarns/WY,textilesspinningcottonblended,winsomeyarns,WY,WINSOME,514348
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wintac/W06,pharmaceuticals,wintac,W06,,524758
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/winycommercialfiscalservices/WCF01,financeinvestments,winycommercialfiscalservices,WCF01,,538873
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,computerssoftware,wipro,W,WIPRO,507685
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/wiresfabrikssa/WFS01,textilesgeneral,wiresfabrikssa,WFS01,,507817
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/wisecglobal/WG,computerssoftwaremediumsmall,wisecglobal,WG,WESTINDSEC,511642
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wockhardt/W05,pharmaceuticals,wockhardt,W05,WOCKPHARMA,532300
https://www.moneycontrol.com/india/stockpricequote/hospitalhealthcareservices/wockhardtre/WR,hospitalhealthcareservices,wockhardtre,WR,WOCKH-RE,750700
https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/womensnextloungeries/WNL,textilesreadymadeapparels,womensnextloungeries,WNL,,538128
https://www.moneycontrol.com/india/stockpricequote/electronicgoods/wonderfibromats/WF,electronicgoods,wonderfibromats,WF,WFL,543449
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/wonderlaholidays/WH01,miscellaneous,wonderlaholidays,WH01,WONDERLA,538268
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/woodsvilla/CPC01,financeinvestments,woodsvilla,CPC01,,526959
https://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/woolworthindia/WI10,textileswoollenworsted,woolworthindia,WI10,WOOLWORTH,514144
https://www.moneycontrol.com/india/stockpricequote/leatherproducts/worldwidealuminium/WLE,leatherproducts,worldwidealuminium,WLE,,526525
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/worthinvestmenttrading/WIT,financeinvestments,worthinvestmenttrading,WIT,,538451
https://www.moneycontrol.com/india/stockpricequote/packaging/worthperipherals/WP03,packaging,worthperipherals,WP03,WORTH,
https://www.moneycontrol.com/india/stockpricequote/pumps/wpil/WPI,pumps,wpil,WPI,,505872
https://www.moneycontrol.com/india/stockpricequote/electricequipment/wsindustries/WSI,electricequipment,wsindustries,WSI,WSI,504220
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wyeth/W11,pharmaceuticals,wyeth,W11,WYETH,500095
