URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/yaanenterprise/yaanenterprises/CT10,yaanenterprise,yaanenterprises,CT10,,538521
https://www.moneycontrol.com/india/stockpricequote/yaaridigital/yaaridigitalintegratedservices/IWS,yaaridigital,yaaridigitalintegratedservices,IWS,YAARI,533520
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/yaminiinvestments/YIL,financeinvestments,yaminiinvestments,YIL,,511012
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/shriganeshspinners/SGS,textilesspinningcottonblended,shriganeshspinners,SGS,,531693
https://www.moneycontrol.com/india/stockpricequote/trading/yarnsyndicate/YS,trading,yarnsyndicate,YS,,514378
https://www.moneycontrol.com/india/stockpricequote/chemicals/yashchemex/YC01,chemicals,yashchemex,YC01,,539939
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/yashinnoventures/RP10,miscellaneous,yashinnoventures,RP10,,523650
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/yashmanagementfinancialservices/YMF,financeinvestments,yashmanagementfinancialservices,YMF,,511601
https://www.moneycontrol.com/india/stockpricequote/paper/yashpakka/YP01,paper,yashpakka,YP01,,516030
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/yashtradingfinance/YTF,financeinvestments,yashtradingfinance,YTF,,512345
https://www.moneycontrol.com/india/stockpricequote/chemicals/yashoindustriesltd/YIL01,chemicals,yashoindustriesltd,YIL01,,541167
https://www.moneycontrol.com/india/stockpricequote/packaging/yashrajcontaineurs/YC,packaging,yashrajcontaineurs,YC,,530063
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/yesbank/YB,banksprivatesector,yesbank,YB,YESBANK,532648
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/yogi/PI04,financeinvestments,yogi,PI04,,511702
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/yogisungwonindia/YSW,financeinvestments,yogisungwonindia,YSW,,522209
https://www.moneycontrol.com/india/stockpricequote/yorkexports/yorkexports/YE,yorkexports,yorkexports,YE,,530675
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/yugdecor/YD,miscellaneous,yugdecor,YD,,540550
https://www.moneycontrol.com/india/stockpricequote/pumps/yukenindia/YI,pumps,yukenindia,YI,YUKEN,522108
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/yuranusinfrastructure/YI03,infrastructuregeneral,yuranusinfrastructure,YI03,,536846
https://www.moneycontrol.com/india/stockpricequote/engineering/yuvraajhygieneproducts/IAS,engineering,yuvraajhygieneproducts,IAS,,531663
