URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/zandurealty/ZPW,constructioncontractingrealestate,zandurealty,ZPW,ZANDUREALT,506720
https://www.moneycontrol.com/india/stockpricequote/aquaculture/zealaqua/ZA,aquaculture,zealaqua,ZA,,539963
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/zeeentertainmententerprises/ZEE,mediaentertainment,zeeentertainmententerprises,ZEE,ZEEL,505537
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/zeelearn/ZL01,computerssoftwaretraining,zeelearn,ZL01,ZEELEARN,533287
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/zeemediacorporation/ZN,mediaentertainment,zeemediacorporation,ZN,ZEEMEDIA,532794
https://www.moneycontrol.com/india/stockpricequote/media/zeeentertainmentncps/ZEN,media,zeeentertainmentncps,ZEN,,717503
https://www.moneycontrol.com/india/stockpricequote/zentech/zentechnologies/ZT01,zentech,zentechnologies,ZT01,ZENTEC,533339
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/zenithcapitals/ZC01,financeinvestments,zenithcapitals,ZC01,,508900
https://www.moneycontrol.com/india/stockpricequote/computershardware/zenithcomputers/ZC,computershardware,zenithcomputers,ZC,ZENITHCOMP,517164
https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/zenithfibres/ZF,textilesmanmade,zenithfibres,ZF,,514266
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zenithhealthcare/ZH,pharmaceuticals,zenithhealthcare,ZH,,530665
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/zenithinfotech/ZI,computerssoftwaremediumsmall,zenithinfotech,ZI,ZENITHINFO,532298
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/zenithsteelpipesindustries/ZBI,steeltubespipes,zenithsteelpipesindustries,ZBI,ZENITHSTL,531845
https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/zenithexports/ZE,textilessyntheticsilk,zenithexports,ZE,ZENITHEXPO,512553
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/zenlabsethica/NT03,financeinvestments,zenlabsethica,NT03,,530697
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zenotechlaboratories/ZL,pharmaceuticals,zenotechlaboratories,ZL,,532039
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/zensartechnologies/ZT02,computerssoftware,zensartechnologies,ZT02,ZENSARTECH,504067
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/zfsteeringgearindia/ZFS,autoancillaries,zfsteeringgearindia,ZFS,ZFSTEERING,505163
https://www.moneycontrol.com/india/stockpricequote/zfcvindia/zfcommercialvehiclecontrolsystemsindia/WAB,zfcvindia,zfcommercialvehiclecontrolsystemsindia,WAB,ZFCVINDIA,533023
https://www.moneycontrol.com/india/stockpricequote/electricals/zicomelectronicsecuritysystems/ZSS,electricals,zicomelectronicsecuritysystems,ZSS,ZICOM,531404
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zimlaboratories/ZIMLA54140,pharmaceuticals,zimlaboratories,ZIMLA54140,ZIMLAB,541400
https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/zodiacclothingcompany/ZCC,textilesreadymadeapparels,zodiacclothingcompany,ZCC,ZODIACLOTH,521163
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/zodiacenergy/ZE01,powergenerationdistribution,zodiacenergy,ZE01,ZODIAC,543416
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/zodiacjrdmkj/ZJR,diamondcuttingjewellerypreciousmetals,zodiacjrdmkj,ZJR,ZODJRDMKJ,512587
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/zodiacventures/GIL03,financeinvestments,zodiacventures,GIL03,,503641
https://www.moneycontrol.com/india/stockpricequote/onlineservices/zomato/Z,onlineservices,zomato,Z,ZOMATO,543320
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zotahealthcare/ZHC,pharmaceuticals,zotahealthcare,ZHC,ZOTA,
https://www.moneycontrol.com/india/stockpricequote/fertilisers/zuariagrochemicals/ZAC,fertilisers,zuariagrochemicals,ZAC,ZUARI,534742
https://www.moneycontrol.com/india/stockpricequote/fertilisers/zuariindustries/ZI01,fertilisers,zuariindustries,ZI01,ZUARIIND,500780
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zydengentec/ZG01,pharmaceuticals,zydengentec,ZG01,,530091
https://www.moneycontrol.com/india/stockpricequote/zyduslife/zyduslifesciences/CHC,zyduslife,zyduslifesciences,CHC,ZYDUSLIFE,532321
https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/zyduswellness/ZW01,vanaspatioils,zyduswellness,ZW01,ZYDUSWELL,531335
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/zylogsystems/ZS,computerssoftwaremediumsmall,zylogsystems,ZS,ZYLOG,532883
