URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/miningminerals/20microns/2M,miningminerals,20microns,2M,20MICRONS,533022
https://www.moneycontrol.com/india/stockpricequote/financegeneral/21stcenturymanagement/21C,financegeneral,21stcenturymanagement,21C,21STCENMGM,526921
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/3iinfotech/I11,computerssoftware,3iinfotech,I11,3IINFOLTD,532628
https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,diversified,3mindia,MI42,3MINDIA,523395
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/5paisacapital/C98,miscellaneous,5paisacapital,C98,5PAISA,540776
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/63moonstechnologies/FT02,computerssoftware,63moonstechnologies,FT02,63MOONS,526881
https://www.moneycontrol.com/india/stockpricequote/7nrretail/7nrretail/7RL,7nrretail,7nrretail,7RL,,540615
https://www.moneycontrol.com/india/stockpricequote/retailing/7nrretailre/7RR,retailing,7nrretailre,7RR,,750729
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/7seastechnologies/ST22,computerssoftware,7seastechnologies,ST22,,540874
https://www.moneycontrol.com/india/stockpricequote/8bilncd2022/britannia828082022ncd/BNC,8bilncd2022,britannia828082022ncd,BNC,,936908
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/ntpc84925mar2025/N82,powergenerationdistribution,ntpc84925mar2025,N82,,935383
https://www.moneycontrol.com/india/stockpricequote/financeothers/sreiequipmentfinancencd9502027/SEF01,financeothers,sreiequipmentfinancencd9502027,SEF01,,936062
https://www.moneycontrol.com/india/stockpricequote/paper/3plandholdings/PI36,paper,3plandholdings,PI36,3PLAND,516092
https://www.moneycontrol.com/india/stockpricequote/sgbaug27/250goldbonds2027sriii/SGB13,sgbaug27,250goldbonds2027sriii,SGB13,SGBAUG27,
https://www.moneycontrol.com/india/stockpricequote/sgbdec25/250goldbonds2025srx/SGBDE623,sgbdec25,250goldbonds2025srx,SGBDE623,SGBDEC25,
https://www.moneycontrol.com/india/stockpricequote/sgbdec2512/250goldbonds2025srxii/SGBDE795,sgbdec2512,250goldbonds2025srxii,SGBDE795,SGBDEC2512,
https://www.moneycontrol.com/india/stockpricequote/sgbdec2513/250goldbonds2025srxiii/SGBDE862,sgbdec2513,250goldbonds2025srxiii,SGBDE862,SGBDEC2513,
https://www.moneycontrol.com/india/stockpricequote/sgbdec25xi/250goldbonds2025srxi/SGBDE729,sgbdec25xi,250goldbonds2025srxi,SGBDE729,SGBDEC25XI,
https://www.moneycontrol.com/india/stockpricequote/sgbdec26/250goldbonds2026sriv/SGBDE7654,sgbdec26,250goldbonds2026sriv,SGBDE7654,SGBDEC26,
https://www.moneycontrol.com/india/stockpricequote/sgbfeb27/250goldbonds2027srvi/SGBFE8766,sgbfeb27,250goldbonds2027srvi,SGBFE8766,SGBFEB27,
https://www.moneycontrol.com/india/stockpricequote/sgbjan26/250goldbonds2026srxiv/SGBJA945,sgbjan26,250goldbonds2026srxiv,SGBJA945,SGBJAN26,
https://www.moneycontrol.com/india/stockpricequote/sgbjan27/250goldbonds2027srv/SGBJA8308,sgbjan27,250goldbonds2027srv,SGBJA8308,SGBJAN27,
https://www.moneycontrol.com/india/stockpricequote/sgbjul27/250goldbonds2027srii/SGB12,sgbjul27,250goldbonds2027srii,SGB12,SGBJUL27,
https://www.moneycontrol.com/india/stockpricequote/sgbjun27/250goldbonds2027sri/SGB15,sgbjun27,250goldbonds2027sri,SGB15,SGBJUN27,
https://www.moneycontrol.com/india/stockpricequote/sgbmay26/250goldbonds2026sri/SGB10,sgbmay26,250goldbonds2026sri,SGB10,SGBMAY26,800287
https://www.moneycontrol.com/india/stockpricequote/sgbnov25/250goldbonds2025srvii/SGBNO458,sgbnov25,250goldbonds2025srvii,SGBNO458,SGBNOV25,
https://www.moneycontrol.com/india/stockpricequote/sgbnov258/250goldbonds2025srviii/SGBNO497,sgbnov258,250goldbonds2025srviii,SGBNO497,SGBNOV258,
https://www.moneycontrol.com/india/stockpricequote/sgbnov25ix/250goldbonds2025srix/SGBNO540,sgbnov25ix,250goldbonds2025srix,SGBNO540,SGBNOV25IX,
https://www.moneycontrol.com/india/stockpricequote/sgbnov25vi/250goldbonds2025srvi/SGBNO398,sgbnov25vi,250goldbonds2025srvi,SGBNO398,SGBNOV25VI,
https://www.moneycontrol.com/india/stockpricequote/sgbnov26/250goldbonds2026sriii/SGBNO6355,sgbnov26,250goldbonds2026sriii,SGBNO6355,SGBNOV26,
https://www.moneycontrol.com/india/stockpricequote/sgboct25/250goldbonds2025sriii/SGBOC250,sgboct25,250goldbonds2025sriii,SGBOC250,SGBOCT25,
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/250goldbonds2025sriv/SGB11,financeinvestments,250goldbonds2025sriv,SGB11,SGBOCT25IV,
https://www.moneycontrol.com/india/stockpricequote/sgboct25v/250goldbonds2025srv/SGBOC355,sgboct25v,250goldbonds2025srv,SGBOC355,SGBOCT25V,
https://www.moneycontrol.com/india/stockpricequote/sgboct26/250goldbonds2026srii/SGBOC5960,sgboct26,250goldbonds2026srii,SGBOC5960,SGBOCT26,
