URL,companysector,companyname,companycode
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amfebcon/F03,miscellaneous,amfebcon,F03
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amjumbobags/JB03,miscellaneous,amjumbobags,JB03
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abinfrabuild/I07,infrastructuregeneral,abinfrabuild,I07
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprises/AFE01,miscellaneous,afenterprises,AFE01
https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/ainfrastructure/AI74,cementproductsbuildingmaterials,ainfrastructure,AI74
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/akscredits/AKS,financeleasinghirepurchase,akscredits,AKS
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akspintex/AKS01,miscellaneous,akspintex,AKS01
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aptyarns/APT01,textilesspinningcottonblended,aptyarns,APT01
https://www.moneycontrol.com/india/stockpricequote/chemicals/a1acid/AA14,chemicals,a1acid,AA14
https://www.moneycontrol.com/india/stockpricequote/financegeneral/akcapitalservices/AKC01,financegeneral,akcapitalservices,AKC01
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02,powertransmissionequipment,a2zinfraengineering,AME02
https://www.moneycontrol.com/india/stockpricequote/aaplus/aaplustradelink/APT03,aaplus,aaplustradelink,APT03
https://www.moneycontrol.com/india/stockpricequote/aaa/aaatechnologies/ATL,aaa,aaatechnologies,ATL
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/aachalalloys/AA,steelmediumsmall,aachalalloys,AA
https://www.moneycontrol.com/india/stockpricequote/financegeneral/aadhaarventuresindia/PI37,financegeneral,aadhaarventuresindia,PI37
https://www.moneycontrol.com/india/stockpricequote/plastics/aadiindustries/AI63,plastics,aadiindustries,AI63
https://www.moneycontrol.com/india/stockpricequote/aafsgnfgbdfbef/aafsgnfgbdfbefsdvsdvva/AP18,aafsgnfgbdfbef,aafsgnfgbdfbefsdvsdvva,AP18
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aagamcapital/PC18,financeleasinghirepurchase,aagamcapital,PC18
https://www.moneycontrol.com/india/stockpricequote/engineering/aakarengineeringmanufacturingcompany/AEM,engineering,aakarengineeringmanufacturingcompany,AEM
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aakashexplorationservices/AES01,engineeringheavy,aakashexplorationservices,AES01
https://www.moneycontrol.com/india/stockpricequote/machinetools/aamcoltools/AT01,machinetools,aamcoltools,AT01
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aanandalakshmispinningmills/ALS,textilesspinningcottonblended,aanandalakshmispinningmills,ALS
https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36,steelspongeiron,aanchalispat,AI36
https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/aankitgranites/AGL,ceramicsgranite,aankitgranites,AGL
https://www.moneycontrol.com/india/stockpricequote/aapadpdp/aapadpdp/DML04,aapadpdp,aapadpdp,DML04
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aarcommercialcompany/AAR,textilesgeneral,aarcommercialcompany,AAR
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aareydrugspharmaceuticals/ADP,pharmaceuticals,aareydrugspharmaceuticals,ADP
https://www.moneycontrol.com/india/stockpricequote/financegeneral/aarnavfashions/KS18,financegeneral,aarnavfashions,KS18
https://www.moneycontrol.com/india/stockpricequote/aaronindustrie/aaronindustries/AI79,aaronindustrie,aaronindustries,AI79
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aartechsolonics/AS27,miscellaneous,aartechsolonics,AS27
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD,pharmaceuticals,aartidrugs,AD
https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,chemicals,aartiindustries,AI45
https://www.moneycontrol.com/india/stockpricequote/chemicals/aartisurfactantslimited/ASL08,chemicals,aartisurfactantslimited,ASL08
https://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE,textilesdenim,aarveedenimexports,ADE
https://www.moneycontrol.com/india/stockpricequote/diversified/aarviencon/AE19,diversified,aarviencon,AE19
https://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/aaryaglobalsharessecurities/KIF02,textileswoollenworsted,aaryaglobalsharessecurities,KIF02
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aasheeshsecurities/AS12,financeinvestments,aasheeshsecurities,AS12
https://www.moneycontrol.com/india/stockpricequote/hospitalhealthcareservices/aashkahospitals/AH04,hospitalhealthcareservices,aashkahospitals,AH04
https://www.moneycontrol.com/india/stockpricequote/aastafin/aastamangalamfinance/UF01,aastafin,aastamangalamfinance,UF01
https://www.moneycontrol.com/india/stockpricequote/trading/aaswatradingexports/ATE02,trading,aaswatradingexports,ATE02
https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17,financegeneral,aavasfinanciers,AF17
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aayushfoodherbs/AFH01,pharmaceuticals,aayushfoodherbs,AFH01
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9,financeinvestments,adityabirlacapital,ABC9
https://www.moneycontrol.com/india/stockpricequote/abcorp/abcorp/ABC05,abcorp,abcorp,ABC05
https://www.moneycontrol.com/india/stockpricequote/textiles/abcotspinindia/ACI01,textiles,abcotspinindia,ACI01
https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailpp/ABF01,retailing,adityabirlafashionretailpp,ABF01
https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailre/ABF,retailing,adityabirlafashionretailre,ABF
https://www.moneycontrol.com/india/stockpricequote/financegeneral/adityabirlamoney/ABM01,financegeneral,adityabirlamoney,ABM01
https://www.moneycontrol.com/india/stockpricequote/diversified/adityabirlanuvo/ABN01,diversified,adityabirlanuvo,ABN01
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abacuscomputers/AC,computerssoftwaremediumsmall,abacuscomputers,AC
https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04,oildrillingandexploration,abanoffshore,AO04
https://www.moneycontrol.com/india/stockpricequote/trading/abansenterprises/MST03,trading,abansenterprises,MST03
https://www.moneycontrol.com/india/stockpricequote/abateasind/abateasindustries/TI32,abateasind,abateasindustries,TI32
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB,infrastructuregeneral,abbindia,ABB
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,pharmaceuticals,abbottindia,AI51
https://www.moneycontrol.com/india/stockpricequote/bearings/abcbearings/ABC02,bearings,abcbearings,ABC02
https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/abcgasinternational/BE05,metalsnonferrous,abcgasinternational,BE05
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC,transportlogistics,abcindia,ABC
https://www.moneycontrol.com/india/stockpricequote/plastics/abcoplastics/AP17,plastics,abcoplastics,AP17
https://www.moneycontrol.com/india/stockpricequote/computershardware/abeeprinterribbons/APR01,computershardware,abeeprinterribbons,APR01
https://www.moneycontrol.com/india/stockpricequote/abesc/abesc/BI19,abesc,abesc,BI19
https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailpp1/ABF02,retailing,adityabirlafashionretailpp1,ABF02
https://www.moneycontrol.com/india/stockpricequote/shipping/abgshipyard/ABG01,shipping,abgshipyard,ABG01
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhijittradingcompany/ATC01,miscellaneous,abhijittradingcompany,ATC01
https://www.moneycontrol.com/india/stockpricequote/abhinavcapital/abhinavcapitalservices/ACS04,abhinavcapital,abhinavcapitalservices,ACS04
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhinavleasingfinance/ALF03,financeleasinghirepurchase,abhinavleasingfinance,ALF03
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22,textilesspinningcottonblended,abhishekcorporation,AC22
https://www.moneycontrol.com/india/stockpricequote/abhishekfinle/abhishekfinlease/AF32,abhishekfinle,abhishekfinlease,AF32
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abhishekinfraventures/AI73,infrastructuregeneral,abhishekinfraventures,AI73
