Company Name,Industry,Symbol,Series,ISIN Code
Dish TV India Ltd.,Media Entertainment & Publication,DISHTV,EQ,INE836F01026
Hathway Cable & Datacom Ltd.,Media Entertainment & Publication,HATHWAY,EQ,INE982F01036
Inox Leisure Ltd.,Media Entertainment & Publication,INOXLEISUR,EQ,INE312H01016
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,EQ,INE418L01021
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013
PVR Ltd.,Media Entertainment & Publication,PVR,EQ,INE191H01014
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,EQ,INE886H01027
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
