Company Name,Industry,Symbol,Series,ISIN Code,,
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,,Aavas Financiers Ltd.
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,,Aditya Birla Capital Ltd.
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,,Bajaj Finance Ltd.
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,,Bajaj Finserv Ltd.
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,,Bajaj Holdings & Investment Ltd.
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,,Cholamandalam Investment and Finance Company Ltd.
Canara Bank,Financial Services,CANBK,EQ,INE476A01014,,Dhani Services Ltd.
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,,General Insurance Corporation of India
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,,HDFC Asset Management Company Ltd.
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021,,HDFC Life Insurance Company Ltd.
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012,,Housing Development Finance Corporation Ltd.
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,,ICICI Lombard General Insurance Company Ltd.
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,,ICICI Prudential Life Insurance Company Ltd.
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016,,IDFC Ltd.
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN,EQ,INE148I01020,,Indiabulls Housing Finance Ltd.
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,,Indian Energy Exchange Ltd.
L&T Finance Holdings Ltd.,Financial Services,L&TFH,EQ,INE498L01015,,L&T Finance Holdings Ltd.
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,,LIC Housing Finance Ltd.
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,,Mahindra & Mahindra Financial Services Ltd.
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,,Manappuram Finance Ltd.
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,,Max Financial Services Ltd.
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035,,Multi Commodity Exchange of India Ltd.
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013,,Muthoot Finance Ltd.
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,,Piramal Enterprises Ltd.
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,,Power Finance Corporation Ltd.
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,,REC Ltd.
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,,SBI Cards and Payment Services Ltd.
Shriram Transport Finance Co. Ltd.,Financial Services,SRTRANSFIN,EQ,INE721A01013,,SBI Life Insurance Company Ltd.
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,,Shriram Transport Finance Co. Ltd.
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,,Sundaram Finance Ltd.
