symbol,companyname,companycode,Revenue Sep 2022,EBITDA Sep 2022,Profit Sep 2022,Margin Sep 2022,Revenue Jun 2022,EBITDA Jun 2022,Profit Jun 2022,Margin Jun 2022,Revenue Mar 2022,EBITDA Mar 2022,Profit Mar 2022,Margin Mar 2022,Revenue Dec 2021,EBITDA Dec 2021,Profit Dec 2021,Margin Dec 2021,Revenue Sep 2021,EBITDA Sep 2021,Profit Sep 2021,Margin Sep 2021,Revenue Jun 2021,EBITDA Jun 2021,Profit Jun 2021,Margin Jun 2021,Revenue Mar 2021,EBITDA Mar 2021,Profit Mar 2021,Margin Mar 2021,Revenue Dec 2020,EBITDA Dec 2020,Profit Dec 2020,Margin Dec 2020,Revenue Sep 2020,EBITDA Sep 2020,Profit Sep 2020,Margin Sep 2020,Revenue Jun 2020,EBITDA Jun 2020,Profit Jun 2020,Margin Jun 2020,Revenue Mar 2020,EBITDA Mar 2020,Profit Mar 2020,Margin Mar 2020,Revenue Dec 2019,EBITDA Dec 2019,Profit Dec 2019,Margin Dec 2019,Revenue Sep 2019,EBITDA Sep 2019,Profit Sep 2019,Margin Sep 2019,Revenue Jun 2019,EBITDA Jun 2019,Profit Jun 2019,Margin Jun 2019,Revenue Mar 2019,EBITDA Mar 2019,Profit Mar 2019,Margin Mar 2019,Revenue Dec 2018,EBITDA Dec 2018,Profit Dec 2018,Margin Dec 2018,Revenue Sep 2018,EBITDA Sep 2018,Profit Sep 2018,Margin Sep 2018,Revenue Jun 2018,EBITDA Jun 2018,Profit Jun 2018,Margin Jun 2018,Revenue Mar 2012,EBITDA Mar 2012,Profit Mar 2012,Margin Mar 2012,Revenue Mar 2018,EBITDA Mar 2018,Profit Mar 2018,Margin Mar 2018,Revenue Dec 2017,EBITDA Dec 2017,Profit Dec 2017,Margin Dec 2017,Revenue Sep 2015,EBITDA Sep 2015,Profit Sep 2015,Margin Sep 2015,Revenue Jun 2015,EBITDA Jun 2015,Profit Jun 2015,Margin Jun 2015,Revenue Sep 2017,EBITDA Sep 2017,Profit Sep 2017,Margin Sep 2017,Revenue Jun 2017,EBITDA Jun 2017,Profit Jun 2017,Margin Jun 2017,Revenue Mar 2017,EBITDA Mar 2017,Profit Mar 2017,Margin Mar 2017,Revenue Dec 2016,EBITDA Dec 2016,Profit Dec 2016,Margin Dec 2016,Revenue Sep 2016,EBITDA Sep 2016,Profit Sep 2016,Margin Sep 2016,Revenue Jun 2016,EBITDA Jun 2016,Profit Jun 2016,Margin Jun 2016,Revenue Mar 2016,EBITDA Mar 2016,Profit Mar 2016,Margin Mar 2016,Revenue Dec 2015,EBITDA Dec 2015,Profit Dec 2015,Margin Dec 2015,Revenue Mar 2015,EBITDA Mar 2015,Profit Mar 2015,Margin Mar 2015,Revenue Dec 2014,EBITDA Dec 2014,Profit Dec 2014,Margin Dec 2014,Revenue Sep 2014,EBITDA Sep 2014,Profit Sep 2014,Margin Sep 2014,Revenue Jun 2014,EBITDA Jun 2014,Profit Jun 2014,Margin Jun 2014,Revenue Mar 2014,EBITDA Mar 2014,Profit Mar 2014,Margin Mar 2014,Revenue Dec 2013,EBITDA Dec 2013,Profit Dec 2013,Margin Dec 2013,Revenue Sep 2013,EBITDA Sep 2013,Profit Sep 2013,Margin Sep 2013,Revenue Jun 2013,EBITDA Jun 2013,Profit Jun 2013,Margin Jun 2013,Revenue Mar 2013,EBITDA Mar 2013,Profit Mar 2013,Margin Mar 2013,Revenue Dec 2012,EBITDA Dec 2012,Profit Dec 2012,Margin Dec 2012,Revenue Sep 2012,EBITDA Sep 2012,Profit Sep 2012,Margin Sep 2012,Revenue Jun 2012,EBITDA Jun 2012,Profit Jun 2012,Margin Jun 2012,Revenue Dec 2011,EBITDA Dec 2011,Profit Dec 2011,Margin Dec 2011,Revenue Sep 2011,EBITDA Sep 2011,Profit Sep 2011,Margin Sep 2011,Revenue Jun 2011,EBITDA Jun 2011,Profit Jun 2011,Margin Jun 2011,Revenue Mar 2011,EBITDA Mar 2011,Profit Mar 2011,Margin Mar 2011,Revenue Dec 2010,EBITDA Dec 2010,Profit Dec 2010,Margin Dec 2010,Revenue Sep 2010,EBITDA Sep 2010,Profit Sep 2010,Margin Sep 2010,Revenue Jun 2010,EBITDA Jun 2010,Profit Jun 2010,Margin Jun 2010,Revenue Mar 2010,EBITDA Mar 2010,Profit Mar 2010,Margin Mar 2010,Revenue Dec 2009,EBITDA Dec 2009,Profit Dec 2009,Margin Dec 2009,Revenue Sep 2009,EBITDA Sep 2009,Profit Sep 2009,Margin Sep 2009,Revenue Mar 2009,EBITDA Mar 2009,Profit Mar 2009,Margin Mar 2009,Revenue Dec 2008,EBITDA Dec 2008,Profit Dec 2008,Margin Dec 2008,Revenue Sep 2008,EBITDA Sep 2008,Profit Sep 2008,Margin Sep 2008,Revenue Jun 2008,EBITDA Jun 2008,Profit Jun 2008,Margin Jun 2008,Revenue Mar 2008,EBITDA Mar 2008,Profit Mar 2008,Margin Mar 2008,Revenue Dec 2007,EBITDA Dec 2007,Profit Dec 2007,Margin Dec 2007,Revenue Sep 2007,EBITDA Sep 2007,Profit Sep 2007,Margin Sep 2007,Revenue Jun 2007,EBITDA Jun 2007,Profit Jun 2007,Margin Jun 2007,Revenue Dec 2006,EBITDA Dec 2006,Profit Dec 2006,Margin Dec 2006,Revenue Jun 2009,EBITDA Jun 2009,Profit Jun 2009,Margin Jun 2009,Revenue Jun 2005,EBITDA Jun 2005,Profit Jun 2005,Margin Jun 2005,Revenue Mar 2007,EBITDA Mar 2007,Profit Mar 2007,Margin Mar 2007,Revenue Sep 2006,EBITDA Sep 2006,Profit Sep 2006,Margin Sep 2006,Revenue Jun 2006,EBITDA Jun 2006,Profit Jun 2006,Margin Jun 2006,Revenue Mar 2006,EBITDA Mar 2006,Profit Mar 2006,Margin Mar 2006,Revenue Dec 2005,EBITDA Dec 2005,Profit Dec 2005,Margin Dec 2005,Revenue Sep 2005,EBITDA Sep 2005,Profit Sep 2005,Margin Sep 2005
AXISBANK,axisbank,AB16,20782.8,7572.74,5635.61,36.44,19193.33,5882.82,4401.780000000001,30.65,18208.519999999997,5902.6900000000005,4443.67,32.42,17653.35,5301.389999999999,3983.0,30.03,16682.64,4541.52,3405.7200000000003,27.22,16301.550000000001,3183.8599999999997,2356.91,19.53,15840.48,3957.2,2941.4100000000003,24.98,15756.99,1784.4099999999999,1317.9099999999999,11.32,16299.76,2550.0200000000004,1836.6599999999999,15.64,16799.19,1458.4499999999998,1099.52,8.68,16503.100000000002,-1757.58,-1262.4299999999998,-10.65,15965.099999999999,2448.9500000000003,1875.72,15.34,15712.66,2562.69,-21.580000000000002,16.31,15534.82,2025.98,1261.4,13.04,15094.470000000001,2564.1400000000003,1671.3000000000002,16.99,14412.2,2620.68,1767.82,18.18,13535.76,1306.0799999999995,877.61,9.65,13001.22,1101.1500000000005,721.86,8.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKBARODA,bankofbaroda,BOB,22343.710000000003,4417.82,3392.47,19.77,19984.39,2871.49,1941.7299999999998,14.37,19097.170000000002,2010.0500000000002,2052.59,10.53,18721.62,3292.29,2488.1600000000003,17.59,17540.89,3095.1399999999994,2185.28,17.65,18025.78,1610.8200000000006,1206.95,8.94,17408.3,2893.0299999999997,-720.17,16.62,18914.709999999995,1791.42,1214.92,9.47,18837.25,2733.58,1785.9199999999998,14.51,19523.65,-1044.8600000000006,-660.37,-5.35,19104.18,-1733.62,464.28000000000003,-9.07,19990.53,-1977.71,-1199.4699999999998,-9.89,20076.68,1300.3000000000002,869.71,6.48,19723.31,1177.12,846.1899999999999,5.97,14191.42,-1339.3499999999995,-805.09,-9.44,13708.059999999998,993.1399999999999,680.15,7.24,12737.249999999998,865.0099999999998,624.5799999999999,6.79,12269.520000000002,1005.8200000000002,666.6600000000001,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,canarabank,CB06,20482.35,3350.89,2729.58,16.36,18536.89,2961.19,2193.12,15.97,18226.879999999997,2838.55,2061.19,15.57,17982.5,3695.8900000000003,1712.1200000000001,20.55,17336.329999999998,2018.9100000000003,1194.4299999999998,11.65,17055.36,1946.56,1190.69,11.41,16576.260000000002,1641.2699999999995,1223.53,9.9,17451.649999999998,1104.87,766.13,6.33,17934.13,648.5,479.56,3.62,18250.559999999998,486.9100000000003,487.34000000000003,2.67,12249.16,-3262.9500000000003,-3206.59,-26.64,12493.619999999999,611.8599999999999,423.85,4.9,12500.37,549.7900000000004,462.04,4.4,12515.6,587.79,399.69,4.7,12733.32,-2473.94,-455.39,-19.43,11459.08,426.01,402.3,3.72,11015.93,-447.90999999999985,393.49,-4.07,11688.39,384.42999999999984,355.65,3.29,30815.64,4066.21,3306.12,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRALBK,centralbankindia,CBO01,6184.35,632.75,344.3,10.23,5555.14,318.81000000000006,275.93,5.74,5815.590000000001,761.19,344.58000000000004,13.09,6082.7,353.37,284.94,5.81,5807.860000000001,359.1300000000001,202.64999999999998,6.18,5501.57,623.63,250.77,11.34,4899.92,-2444.21,-1442.13,-49.88,5808.879999999999,454.23,169.20000000000002,7.82,6079.3099999999995,360.90999999999985,130.23000000000002,5.94,6041.419999999999,320.07000000000005,147.82,5.3,5954.72,-1663.96,-1679.72,-27.94,6057.58,454.44000000000005,165.92,7.5,5918.54,230.82999999999993,138.81,3.9,5744.750000000001,69.03999999999996,122.91999999999999,1.2,5504.04,-3205.13,-2482.49,-58.23,5813.0199999999995,-1093.71,-680.15,-18.81,5711.94,-1468.67,-934.04,-25.71,5719.420000000001,-2380.22,-1514.69,-41.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERALBNK,federalbank,FB,4258.93,996.6300000000001,744.98,23.4,3843.09,863.3999999999999,645.26,22.47,3686.2999999999997,777.8199999999999,598.91,21.1,3603.98,724.81,544.35,20.11,3566.27,656.59,492.57,18.41,3524.98,487.05999999999995,360.6,13.82,3515.86,672.75,526.91,19.13,3604.23,562.8600000000001,422.08000000000004,15.62,3621.8800000000006,419.38,317.44,11.58,3572.1099999999997,553.5699999999999,413.14,15.5,3544.48,399.4,333.40999999999997,11.27,3413.9500000000003,597.8100000000001,454.42,17.51,3336.7499999999995,477.73999999999995,426.63,14.32,3295.21,585.02,376.02,17.75,3106.6500000000005,590.8499999999999,423.36,19.02,3002.72,527.26,341.16999999999996,17.56,2813.01,426.01,280.61,15.14,2713.0599999999995,415.97999999999996,272.94,15.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANB,indianbank,IB04,10727.67,1590.23,1288.04,14.82,10165.86,1355.5900000000001,1310.8500000000001,13.33,9834.5,835.0199999999998,1024.66,8.49,9927.359999999999,813.9299999999998,732.63,8.2,9476.1,737.46,1126.61,7.78,9623.68,876.46,1260.3,9.11,8898.82,761.1200000000001,1725.5800000000002,8.55,10026.989999999998,799.8499999999999,535.47,7.98,10059.480000000001,730.4000000000001,458.34999999999997,7.26,10122.78,633.96,431.17,6.26,5489.03,-185.1500000000001,-267.2,-3.37,5467.03,390.35000000000014,291.33,7.14,5307.65,592.59,442.81,11.16,5137.58,580.5099999999999,395.09000000000003,11.3,4967.18,-393.92999999999984,-189.11,-7.93,4823.929999999999,223.3699999999999,172.11999999999998,4.63,4700.1,185.70000000000005,171.85,3.95,4692.17,268.69000000000005,226.53,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,kotakmahindrabank,KMB,9993.830000000002,4747.38,3608.18,47.5,9164.28,3685.8999999999996,2755.39,40.22,8838.13,5087.3099999999995,3891.82,57.56,8626.359999999999,4410.72,3402.74,51.13,8225.63,3930.8800000000006,2988.7400000000002,47.79,8042.82,2519.39,1806.09,31.32,7951.7699999999995,3363.54,2589.32,42.3,8280.41,3455.0,2601.6699999999996,41.72,8337.36,3914.4699999999993,2946.62,46.95,8421.69,2435.33,1852.5900000000001,28.92,8434.130000000001,2674.46,1905.1799999999998,31.71,8331.98,2889.47,2348.72,34.68,8418.75,2944.71,2407.25,34.98,8314.19,2913.16,1932.2099999999998,35.04,7975.69,2990.5899999999997,2038.27,37.5,7744.580000000001,2719.3,1844.01,35.11,7285.46,2549.91,1747.37,35.0,6903.370000000001,2315.92,1574.48,33.55,,,,,6732.370000000001,2570.13,1789.27,38.18,6390.71,2414.0,1628.21,37.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,punjabnationalbank,PNB05,20587.910000000003,626.4399999999996,495.79,3.04,19143.76,562.0600000000004,271.26,2.94,19089.929999999997,469.66000000000076,347.92,2.46,19577.410000000003,1734.9699999999998,1244.99,8.86,18335.489999999998,888.9300000000003,1126.9799999999998,4.85,19229.309999999998,1496.96,1183.7,7.78,19046.27,939.3999999999996,714.93,4.93,20598.75,1076.4499999999998,780.63,5.23,21304.309999999998,939.2200000000003,608.3199999999999,4.41,20832.23,829.3600000000006,590.69,3.98,14205.99,-843.1099999999997,-794.61,-5.93,13834.949999999999,-383.87000000000035,-377.29,-2.77,13550.56,561.3499999999999,571.77,4.14,13326.97,1492.65,1085.06,11.2,13073.68,-7159.999999999999,-4606.21,-54.77,13254.329999999998,360.55999999999995,451.5,2.72,12522.9,-6957.18,-4532.700000000001,-55.56,13296.23,-1608.1399999999994,-862.61,-12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2ZINFRA,a2zinfraengineering,AME02,96.54,1.3,-2.62,1.35,78.65,5.76,1.11,7.32,98.84,-5.73,-11.92,-5.8,80.69,5.42,1.9,6.72,100.97,10.21,-154.77,10.11,72.83,6.55,-0.89,8.99,138.82,-17.57,-30.24,-12.66,83.4,-5.61,-21.89,-6.73,120.28,3.82,-13.64,3.18,72.41,6.05,-11.2,8.36,137.04,-32.18,-290.12,-23.48,143.21,8.24,-10.95,5.75,231.6,1.29,-47.05,0.56,188.0,8.16,71.33,4.34,269.1,26.78,327.8,9.95,246.05,15.29,-0.86,6.21,188.1,9.6,19.68,5.1,165.46,-1.73,-49.64,-1.05,,,,,,,,,,,,,362.55,17.47,-32.0,4.82,174.09,-7.71,-56.09,-4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTIDRUGS,aartidrugs,AD,687.72,61.66,38.74,8.97,621.96,54.86,34.78,8.82,694.27,76.41,55.32,11.01,634.8,84.06,58.28,13.24,579.62,61.34,42.58,10.58,579.95,68.89,48.81,11.88,501.75,69.62,51.65,13.88,530.25,95.12,68.03,17.94,578.11,104.17,75.27,18.02,544.67,122.85,85.45,22.55,449.64,59.81,58.86,13.3,473.51,55.38,27.78,11.7,477.5,56.41,32.31,11.81,405.43,42.97,22.45,10.6,459.14,50.09,27.44,10.91,380.11,41.31,20.89,10.87,347.41,36.46,18.05,10.49,374.29,43.12,23.37,11.52,,,,,330.69,47.15,23.99,14.26,335.41,44.08,23.33,13.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTIIND,aartiindustries,AI45,1685.01,194.14,124.48,11.52,1972.02,283.18,189.07,14.36,1755.64,262.05,193.75,14.93,2375.98,894.54,772.54,37.65,1551.58,239.23,176.05,15.42,1316.76,245.27,165.08,18.63,1209.35,194.67,139.34,16.1,1186.78,226.72,169.18,19.1,1172.64,199.31,143.5,17.0,937.33,130.22,83.2,13.89,1076.15,170.07,110.35,15.8,1218.48,207.54,142.71,17.03,1076.82,213.98,151.78,19.87,1135.49,209.37,141.92,18.44,1279.15,205.2,127.13,16.04,1276.03,213.49,139.69,16.73,1326.47,222.32,138.58,16.76,1132.57,160.21,93.21,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTISURF,aartisurfactantslimited,ASL08,151.77,5.12,0.32,3.37,158.13,8.62,3.71,5.45,151.4,2.17,2.37,1.43,135.15,5.26,-2.23,3.89,139.82,4.1,0.83,2.93,149.15,8.24,4.52,5.52,126.17,8.5,5.69,6.74,106.66,8.44,4.78,7.91,111.89,9.1,6.59,8.13,121.05,7.31,4.57,6.04,89.13,5.95,3.33,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARVEEDEN,aarveedenimexports,ADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.93,8.3,7.88,7.04,110.31,4.89,-8.19,4.43,166.97,-3.01,-16.64,-1.8,167.12,-12.73,-24.97,-7.62,179.93,14.16,0.4,7.87,175.72,12.94,0.32,7.36,176.57,11.65,-0.2,6.6,215.67,12.27,0.57,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARVI,aarviencon,AE19,112.65,5.48,4.09,4.86,106.64,4.67,4.32,4.38,90.99,3.01,2.66,3.31,73.69,4.0,3.82,5.43,65.39,3.51,3.37,5.37,58.49,2.36,2.21,4.03,56.99,2.75,3.03,4.83,49.79,2.37,2.65,4.76,46.58,2.44,1.93,5.24,48.43,3.32,2.85,6.86,68.66,4.08,4.06,5.94,50.79,1.66,1.2,3.27,51.33,2.73,2.17,5.32,47.27,0.08,-0.26,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
