SYMBOL,SECTOR
AMJUMBO,miscellaneous
ABINFRA,infrastructuregeneral
A2ZINFRA,powertransmissionequipment
AAATECH,aaa
AAKASH,engineeringheavy
AARON,aaronindustrie
AARTIDRUGS,pharmaceuticals
AARTIIND,chemicals
AARTISURF,chemicals
AARVEEDEN,textilesdenim
AARVI,diversified
AAVAS,financegeneral
ABCAPITAL,financeinvestments
ABCOTS,textiles
ABFRLPP1,retailing
ABFRL-RE,retailing
BIRLAMONEY,financegeneral
ABIRLANUVO,diversified
ABAN,oildrillingandexploration
ABB,infrastructuregeneral
ABBOTINDIA,pharmaceuticals
ANTFRIBEAR,bearings
ABGSHIP,shipping
ABHISHEK,textilesspinningcottonblended
AILIMITED,miscellaneous
ABMINTLLTD,miscellaneous
ABSLAMC,financeinvestment
BSLNIFTY,absln50etf
HEALTHY,etf
SILVER,abslsilveretf
ABSLBANETF,abslnbanketf
ABSLNN50ET,abslnn50et
BSLSENETFG,abslspbsesetf
ACC,cementmajor
ACCELYA,computerssoftwaremediumsmall
ACCORD,telecommunicationsservice
ACCURACY,shipping
ACEINTEG,misccommercialservices
ACROPETAL,computerssoftware
ACE,engineeringheavy
ADANIENT,trading
ADANIGREEN,powergenerationdistribution
ADANIPORTS,infrastructuregeneral
ADANIPOWER,powergenerationdistribution
ATGL,adanitotalgas
ADANITRANS,powertransmissionequipment
AWL,consumerfood
KRONECOMM,telecommunicationsequipment
ADADH,medicalequipmentsuppliesaccessories
ADFFOODS,foodprocessing
ADHUNIK,steelspongeiron
ABCIL,chemicals
ABFRL,retail
ADITYASPIN,textilesspinningsyntheticblended
ADORWELD,electrodesgraphite
AMTL,powergenerationdistribution
ADVENZYMES,pharmaceuticals
ADVANIHOTR,hotels
ADVANTA,miscellaneous
AEGISCHEM,transportlogistics
AETHER,specialitychemicals
AFFLE,affleindia
ARVINDFASN,miscellaneous
AFTEK,computerssoftwaremediumsmall
AGARIND,transportlogistics
AGI,agigreenpac
AGNI,renewables
AGRITECH,fertilisers
AGRODUTCH,foodprocessing
AGROPHOS,diversified
ATFL,edibleoilssolventextraction
AGSTRA,onlineservices
SCAPDVR,miscellaneous
AHIMSA,plastics
AHLADA,ahladaengineer
AHLUCONT,constructioncontractingcivil
AICHAMP,miscellaneous
AIAENG,castingsforgings
AIMCOPEST,pesticidesagrochemicals
AIRAN,airan
AIROLAM,miscellaneous
AJANTPHARM,pharmaceuticals
AJMERA,constructioncontractingrealestate
AJOONI,diversified
AJRINFRA,constructioncontractingcivil
AKASH,miscellaneous
AKG,akgexim
AKSHOPTFBR,cablestelephone
AKSHAR,textilesgeneral
AKSHARCHEM,dyespigments
AKZOINDIA,paintsvarnishes
ALANKIT,miscellaneous
ALBERTDAVD,pharmaceuticals
ALCHEM,miscellaneous
ALEMBICLTD,pharmaceuticals
APLLTD,pharmaceuticals
ALFREDHERB,engineering
ALICON,castingsforgings
ALKALI,chemicals
ALKEM,pharmaceuticals
ALKYLAMINE,chemicals
ALBK,bankspublicsector
ALLCARGO,transportlogistics
ADSL,computerssoftwaremediumsmall
ALLSEC,computerssoftwaremediumsmall
ALMONDZ,financeinvestments
ALOKINDS,textilesweaving
ALPA,pharmaceuticals
ALPHAGEO,oildrillingandexploration
ALPINEHOU,constructioncontractinghousing
ALPSINDUS,textilesgeneral
AMARAJABAT,autoancillaries
AMARJOTHI,textilesspinningcottonblended
AMBASARABH,pharmaceuticals
AMBANIORG,ambaniorganics
AMBER,miscellaneous
AMBICAAGAR,ambicaagar
