SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
ALCHEM,alchemist,A12,Jun 2019 - Sep 2019,11-11-2019,0.85,1.8,0.65,1.1176470588235294
ANGIND,angindustries,ANG,Mar 2018 - Jun 2018,,2.6,2.75,1.45,-0.44230769230769235
ANGIND,angindustries,ANG,Mar 2017 - Jun 2017,27-07-2017,7.85,9.1,5.3,-0.3248407643312102
APTECHT,aptech,A11,Mar 2020 - Jun 2020,27-07-2020,107.6,138.0,106.85,0.28252788104089227
ARROWGREEN,arrowgreentech,ACP,Mar 2019 - Jun 2019,03-08-2019,56.3,70.75,44.55,0.2566607460035525
ATLASCYCLE,atlascycleindustries,ACI08,Jun 2019 - Sep 2019,29-10-2019,56.05,56.45,41.5,-0.2595896520963425
AUTOIND,autolineindustries,AI59,Mar 2020 - Jun 2020,30-07-2020,28.25,43.55,26.8,0.5415929203539822
AUTOIND,autolineindustries,AI59,Dec 2019 - Mar 2020,,19.9,43.55,18.1,1.1884422110552764
BRFL,bombayrayonfashions,BRF,Mar 2020 - Jun 2020,28-07-2020,8.1,15.25,8.1,0.8827160493827161
CASTEXTECH,castextechnologies,AI49,Sep 2019 - Dec 2019,14-02-2019,0.75,1.15,0.75,0.5333333333333332
CASTEXTECH,castextechnologies,AI49,Sep 2018 - Dec 2018,01-03-2018,4.8,4.8,2.15,-0.5520833333333334
CGPOWER,cgpowerindustrialsolutions,CG,Mar 2020 - Jun 2020,,13.3,33.2,13.3,1.4962406015037595
CHENNPETRO,chennaipetroleumcorporation,CPC02,Jun 2019 - Sep 2019,17-10-2019,161.95,165.2,109.45,-0.3241741278172275
CHROMATIC,chromaticindia,CI31,Mar 2020 - Jun 2020,31-07-2020,1.05,1.1,0.65,-0.38095238095238093
CCHHL,countryclubhospitalityholidays,CCI06,Mar 2020 - Jun 2020,31-07-2020,2.85,3.45,2.8,0.2105263157894737
CCHHL,countryclubhospitalityholidays,CCI06,Mar 2019 - Jun 2019,13-08-2019,3.85,4.3,3.15,-0.18181818181818185
COX&KINGS,coxkings,CK,Dec 2019 - Mar 2020,,1.8,1.95,1.2,-0.33333333333333337
COX&KINGS,coxkings,CK,Sep 2019 - Dec 2019,14-02-2019,154.0,167.85,96.25,-0.375
DIAPOWER,diamondpowerinfrastructure,DC05,Sep 2017 - Dec 2017,,16.7,16.7,2.55,-0.8473053892215568
DQE,dqentertainmentinternational,DEI01,Sep 2019 - Dec 2019,12-02-2019,6.55,9.85,5.35,0.5038167938931297
EROSMEDIA,erosinternationalmedia,EIM,Mar 2021 - Jun 2021,14-08-2021,20.75,21.8,16.8,-0.1903614457831325
FCONSUMER,futureconsumer,FVI,Mar 2020 - Jun 2020,10-07-2020,11.2,12.6,7.9,-0.29464285714285704
FEL,futureenterprises,PR03,Mar 2020 - Jun 2020,15-09-2020,15.05,15.05,8.6,-0.4285714285714286
FELDVR,futureenterprisesdvr,FELDV57000,Mar 2020 - Jun 2020,15-09-2020,16.2,16.2,9.75,-0.39814814814814814
GFLLIMITED,gfl,GF07,Mar 2020 - Jun 2020,30-07-2020,84.2,103.05,78.3,0.22387173396674576
GAL,gyscoalalloys,GA01,Sep 2019 - Dec 2019,13-02-2019,5.2,6.0,4.1,-0.21153846153846165
HCL-INSYS,hclinfosystems,HCL,Mar 2022 - Jun 2022,09-08-2022,17.3,18.3,15.75,-0.08959537572254339
HMT,hmt,HMT,Sep 2021 - Dec 2021,10-02-2021,26.0,37.9,22.05,0.4576923076923076
IMAGICAA,imagicaaworldentertainment,AE01,Mar 2020 - Jun 2020,29-07-2020,4.7,5.4,3.75,-0.20212765957446813
INDLMETER,imppowers,IMP02,Jun 2021 - Sep 2021,14-11-2021,11.95,25.9,11.95,1.1673640167364017
JPASSOCIAT,jaiprakashassociates,JA02,Jun 2019 - Sep 2019,09-11-2019,2.15,2.8,1.85,0.3023255813953488
JMTAUTOLTD,jmtauto,JMT02,Mar 2020 - Jun 2020,14-09-2020,3.15,3.15,2.25,-0.2857142857142857
KAUSHALYA,kaushalyainfrastructuredevelopmentcorporation,KID,Mar 2021 - Jun 2021,13-08-2021,2.8,3.3,2.2,-0.21428571428571416
KIRIINDUS,kiriindustries,KDC01,Jun 2022 - Sep 2022,09-11-2022,491.35,504.7,474.35,-0.03459855500152641
KOLTEPATIL,koltepatildevelopers,KD07,Jun 2020 - Sep 2020,06-11-2020,169.6,274.55,167.65,0.618808962264151
LYPSAGEMS,lypsagemsjewellery,LGJ,Jun 2021 - Sep 2021,13-11-2021,4.9,9.45,4.35,0.9285714285714283
MADHUCON,madhuconprojects,MP16,Jun 2019 - Sep 2019,14-11-2019,5.15,5.15,3.1,-0.3980582524271845
MAHLIFE,mahindralifespacedevelopers,MLD,Mar 2020 - Jun 2020,29-07-2020,203.7,282.35,203.7,0.38610702012763887
MANPASAND,manpasandbeverages,MB04,Sep 2019 - Dec 2019,12-02-2019,81.25,127.35,73.7,0.5673846153846153
MANUGRAPH,manugraphindustries,MI08,Mar 2020 - Jun 2020,11-08-2020,9.8,11.7,8.15,0.19387755102040802
MANUGRAPH,manugraphindustries,MI08,Jun 2019 - Sep 2019,,14.7,17.8,13.0,0.2108843537414967
MBECL,mcnallybharatengineering,MBE,Sep 2018 - Dec 2018,13-02-2018,64.0,66.25,50.85,-0.20546874999999998
MEP,mepinfrastructuredevelopers,MID,Jun 2022 - Sep 2022,14-11-2022,17.0,20.15,14.95,0.18529411764705875
MMTC,mmtc,MMT,Jun 2022 - Sep 2022,14-11-2022,37.55,41.95,35.35,0.11717709720372853
MMTC,mmtc,MMT,Mar 2021 - Jun 2021,,45.85,51.15,39.5,-0.138495092693566
