symbol,companyname,companycode,Revenue Sep 2022,EBITDA Sep 2022,Profit Sep 2022,Margin Sep 2022,Revenue Jun 2022,EBITDA Jun 2022,Profit Jun 2022,Margin Jun 2022,Revenue Mar 2022,EBITDA Mar 2022,Profit Mar 2022,Margin Mar 2022,Revenue Dec 2021,EBITDA Dec 2021,Profit Dec 2021,Margin Dec 2021,Revenue Sep 2021,EBITDA Sep 2021,Profit Sep 2021,Margin Sep 2021,Revenue Jun 2021,EBITDA Jun 2021,Profit Jun 2021,Margin Jun 2021,Revenue Mar 2021,EBITDA Mar 2021,Profit Mar 2021,Margin Mar 2021,Revenue Dec 2020,EBITDA Dec 2020,Profit Dec 2020,Margin Dec 2020,Revenue Sep 2020,EBITDA Sep 2020,Profit Sep 2020,Margin Sep 2020,Revenue Jun 2020,EBITDA Jun 2020,Profit Jun 2020,Margin Jun 2020,Revenue Mar 2020,EBITDA Mar 2020,Profit Mar 2020,Margin Mar 2020,Revenue Dec 2019,EBITDA Dec 2019,Profit Dec 2019,Margin Dec 2019,Revenue Sep 2019,EBITDA Sep 2019,Profit Sep 2019,Margin Sep 2019,Revenue Jun 2019,EBITDA Jun 2019,Profit Jun 2019,Margin Jun 2019,Revenue Mar 2019,EBITDA Mar 2019,Profit Mar 2019,Margin Mar 2019,Revenue Dec 2018,EBITDA Dec 2018,Profit Dec 2018,Margin Dec 2018,Revenue Sep 2018,EBITDA Sep 2018,Profit Sep 2018,Margin Sep 2018,Revenue Jun 2018,EBITDA Jun 2018,Profit Jun 2018,Margin Jun 2018,Revenue Sep 2015,EBITDA Sep 2015,Profit Sep 2015,Margin Sep 2015,Revenue Jun 2015,EBITDA Jun 2015,Profit Jun 2015,Margin Jun 2015,Revenue Mar 2018,EBITDA Mar 2018,Profit Mar 2018,Margin Mar 2018,Revenue Dec 2017,EBITDA Dec 2017,Profit Dec 2017,Margin Dec 2017,Revenue Sep 2017,EBITDA Sep 2017,Profit Sep 2017,Margin Sep 2017,Revenue Jun 2017,EBITDA Jun 2017,Profit Jun 2017,Margin Jun 2017,Revenue Mar 2017,EBITDA Mar 2017,Profit Mar 2017,Margin Mar 2017,Revenue Dec 2016,EBITDA Dec 2016,Profit Dec 2016,Margin Dec 2016,Revenue Sep 2016,EBITDA Sep 2016,Profit Sep 2016,Margin Sep 2016,Revenue Jun 2016,EBITDA Jun 2016,Profit Jun 2016,Margin Jun 2016,Revenue Mar 2016,EBITDA Mar 2016,Profit Mar 2016,Margin Mar 2016,Revenue Dec 2015,EBITDA Dec 2015,Profit Dec 2015,Margin Dec 2015,Revenue Mar 2015,EBITDA Mar 2015,Profit Mar 2015,Margin Mar 2015,Revenue Dec 2014,EBITDA Dec 2014,Profit Dec 2014,Margin Dec 2014,Revenue Sep 2014,EBITDA Sep 2014,Profit Sep 2014,Margin Sep 2014,Revenue Jun 2014,EBITDA Jun 2014,Profit Jun 2014,Margin Jun 2014,Revenue Mar 2014,EBITDA Mar 2014,Profit Mar 2014,Margin Mar 2014,Revenue Dec 2013,EBITDA Dec 2013,Profit Dec 2013,Margin Dec 2013,Revenue Sep 2013,EBITDA Sep 2013,Profit Sep 2013,Margin Sep 2013,Revenue Jun 2013,EBITDA Jun 2013,Profit Jun 2013,Margin Jun 2013,Revenue Mar 2013,EBITDA Mar 2013,Profit Mar 2013,Margin Mar 2013,Revenue Dec 2012,EBITDA Dec 2012,Profit Dec 2012,Margin Dec 2012,Revenue Sep 2012,EBITDA Sep 2012,Profit Sep 2012,Margin Sep 2012,Revenue Jun 2012,EBITDA Jun 2012,Profit Jun 2012,Margin Jun 2012,Revenue Dec 2011,EBITDA Dec 2011,Profit Dec 2011,Margin Dec 2011,Revenue Mar 2012,EBITDA Mar 2012,Profit Mar 2012,Margin Mar 2012,Revenue Sep 2011,EBITDA Sep 2011,Profit Sep 2011,Margin Sep 2011,Revenue Jun 2011,EBITDA Jun 2011,Profit Jun 2011,Margin Jun 2011,Revenue Mar 2011,EBITDA Mar 2011,Profit Mar 2011,Margin Mar 2011,Revenue Dec 2010,EBITDA Dec 2010,Profit Dec 2010,Margin Dec 2010,Revenue Sep 2010,EBITDA Sep 2010,Profit Sep 2010,Margin Sep 2010,Revenue Jun 2010,EBITDA Jun 2010,Profit Jun 2010,Margin Jun 2010,Revenue Mar 2010,EBITDA Mar 2010,Profit Mar 2010,Margin Mar 2010,Revenue Dec 2009,EBITDA Dec 2009,Profit Dec 2009,Margin Dec 2009,Revenue Sep 2009,EBITDA Sep 2009,Profit Sep 2009,Margin Sep 2009,Revenue Mar 2009,EBITDA Mar 2009,Profit Mar 2009,Margin Mar 2009,Revenue Dec 2008,EBITDA Dec 2008,Profit Dec 2008,Margin Dec 2008,Revenue Sep 2008,EBITDA Sep 2008,Profit Sep 2008,Margin Sep 2008,Revenue Jun 2008,EBITDA Jun 2008,Profit Jun 2008,Margin Jun 2008,Revenue Mar 2008,EBITDA Mar 2008,Profit Mar 2008,Margin Mar 2008,Revenue Dec 2007,EBITDA Dec 2007,Profit Dec 2007,Margin Dec 2007,Revenue Sep 2007,EBITDA Sep 2007,Profit Sep 2007,Margin Sep 2007,Revenue Jun 2007,EBITDA Jun 2007,Profit Jun 2007,Margin Jun 2007,Revenue Dec 2006,EBITDA Dec 2006,Profit Dec 2006,Margin Dec 2006,Revenue Jun 2009,EBITDA Jun 2009,Profit Jun 2009,Margin Jun 2009,Revenue Jun 2005,EBITDA Jun 2005,Profit Jun 2005,Margin Jun 2005,Revenue Mar 2007,EBITDA Mar 2007,Profit Mar 2007,Margin Mar 2007,Revenue Sep 2006,EBITDA Sep 2006,Profit Sep 2006,Margin Sep 2006,Revenue Jun 2006,EBITDA Jun 2006,Profit Jun 2006,Margin Jun 2006,Revenue Mar 2006,EBITDA Mar 2006,Profit Mar 2006,Margin Mar 2006,Revenue Dec 2005,EBITDA Dec 2005,Profit Dec 2005,Margin Dec 2005,Revenue Sep 2005,EBITDA Sep 2005,Profit Sep 2005,Margin Sep 2005
A2ZINFRA,a2zinfraengineering,AME02,96.54,1.30,-2.62,1.35,78.65,5.76,1.11,7.32,98.84,-5.73,-11.92,-5.8,80.69,5.42,1.90,6.72,100.97,10.21,-154.77,10.11,72.83,6.55,-0.89,8.99,138.82,-17.57,-30.24,-12.66,83.40,-5.61,-21.89,-6.73,120.28,3.82,-13.64,3.18,72.41,6.05,-11.20,8.36,137.04,-32.18,-290.12,-23.48,143.21,8.24,-10.95,5.75,231.60,1.29,-47.05,0.56,188.00,8.16,71.33,4.34,269.10,26.78,327.80,9.95,246.05,15.29,-0.86,6.21,188.10,9.60,19.68,5.1,165.46,-1.73,-49.64,-1.05,362.55,17.47,-32.00,4.82,174.09,-7.71,-56.09,-4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTIDRUGS,aartidrugs,AD,687.72,61.66,38.74,8.97,621.96,54.86,34.78,8.82,694.27,76.41,55.32,11.01,634.80,84.06,58.28,13.24,579.62,61.34,42.58,10.58,579.95,68.89,48.81,11.88,501.75,69.62,51.65,13.88,530.25,95.12,68.03,17.94,578.11,104.17,75.27,18.02,544.67,122.85,85.45,22.55,449.64,59.81,58.86,13.3,473.51,55.38,27.78,11.7,477.50,56.41,32.31,11.81,405.43,42.97,22.45,10.6,459.14,50.09,27.44,10.91,380.11,41.31,20.89,10.87,347.41,36.46,18.05,10.49,374.29,43.12,23.37,11.52,,,,,,,,,330.69,47.15,23.99,14.26,335.41,44.08,23.33,13.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTIIND,aartiindustries,AI45,1685.01,194.14,124.48,11.52,1972.02,283.18,189.07,14.36,1755.64,262.05,193.75,14.93,2375.98,894.54,772.54,37.65,1551.58,239.23,176.05,15.42,1316.76,245.27,165.08,18.63,1209.35,194.67,139.34,16.1,1186.78,226.72,169.18,19.1,1172.64,199.31,143.50,17.0,937.33,130.22,83.20,13.89,1076.15,170.07,110.35,15.8,1218.48,207.54,142.71,17.03,1076.82,213.98,151.78,19.87,1135.49,209.37,141.92,18.44,1279.15,205.20,127.13,16.04,1276.03,213.49,139.69,16.73,1326.47,222.32,138.58,16.76,1132.57,160.21,93.21,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTISURF,aartisurfactantslimited,ASL08,151.77,5.12,0.32,3.37,158.13,8.62,3.71,5.45,151.40,2.17,2.37,1.43,135.15,5.26,-2.23,3.89,139.82,4.10,0.83,2.93,149.15,8.24,4.52,5.52,126.17,8.50,5.69,6.74,106.66,8.44,4.78,7.91,111.89,9.10,6.59,8.13,121.05,7.31,4.57,6.04,89.13,5.95,3.33,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARVEEDEN,aarveedenimexports,ADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.93,8.30,7.88,7.04,110.31,4.89,-8.19,4.43,166.97,-3.01,-16.64,-1.8,167.12,-12.73,-24.97,-7.62,179.93,14.16,0.40,7.87,175.72,12.94,0.32,7.36,176.57,11.65,-0.20,6.6,215.67,12.27,0.57,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARVI,aarviencon,AE19,112.65,5.48,4.09,4.86,106.64,4.67,4.32,4.38,90.99,3.01,2.66,3.31,73.69,4.00,3.82,5.43,65.39,3.51,3.37,5.37,58.49,2.36,2.21,4.03,56.99,2.75,3.03,4.83,49.79,2.37,2.65,4.76,46.58,2.44,1.93,5.24,48.43,3.32,2.85,6.86,68.66,4.08,4.06,5.94,50.79,1.66,1.20,3.27,51.33,2.73,2.17,5.32,47.27,0.08,-0.26,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAVAS,aavasfinanciers,AF17,394.85,278.57,106.64,70.55,352.86,249.11,89.05,70.6,365.09,269.48,115.47,73.81,342.58,240.11,88.76,70.09,324.85,234.01,91.90,72.04,271.93,186.59,59.05,68.62,289.45,209.93,87.45,72.53,309.98,227.19,85.46,73.29,270.43,198.78,66.04,73.51,233.51,174.90,49.97,74.9,234.42,163.50,59.73,69.75,239.37,175.36,67.92,73.26,231.24,174.36,76.04,75.4,197.52,144.79,45.36,73.3,204.30,149.15,54.33,73.01,194.79,144.27,56.30,74.06,163.82,119.37,35.32,72.87,147.11,100.87,30.08,68.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,adityabirlacapital,ABC9,6825.01,1653.11,382.27,24.22,5590.28,1478.89,372.05,26.45,6616.85,1394.46,381.95,21.07,5705.53,1536.94,478.68,26.94,5593.22,1303.82,267.80,23.31,4298.99,1174.51,190.73,27.32,5586.83,1305.92,303.60,23.37,5025.98,1261.24,208.18,25.09,4589.12,1307.67,188.16,28.5,4034.55,1299.80,137.32,32.22,4844.87,1211.38,75.65,25.0,4325.72,1418.36,174.91,32.79,3975.94,1463.27,167.46,36.8,3645.75,1552.83,197.18,42.59,4729.82,1456.36,188.29,30.79,3780.16,1378.75,138.72,36.47,3590.46,1242.87,117.18,34.62,3062.72,1195.78,150.05,39.04,,,,,,,,,4202.97,1228.71,248.82,29.23,3325.02,417.75,262.86,12.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRLAMONEY,adityabirlamoney,ABM01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.11,10.98,2.36,25.47,42.14,8.50,2.02,20.17,26.94,2.94,1.71,10.91,25.33,2.91,1.26,11.49,43.47,7.52,3.21,17.3,42.81,6.14,2.85,14.34,36.11,4.60,2.27,12.74,34.05,2.69,1.73,7.9,27.31,4.64,2.95,16.99,25.17,4.71,3.00,18.71,27.86,3.82,2.61,13.71,23.02,0.35,-1.28,1.52,22.46,2.77,-0.06,12.33,22.71,1.77,0.42,7.79,27.58,1.86,0.96,6.74,26.73,1.30,0.77,4.86,26.67,2.15,2.15,8.06,25.43,2.28,2.02,8.97,18.17,-0.48,-1.03,-2.64,16.58,-1.58,-1.69,-9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIRLANUVO,adityabirlanuvo,ABN01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271.25,670.65,116.91,20.5,3091.32,686.01,485.83,22.19,,,,,,,,,,,,,,,,,4287.12,292.68,187.05,6.83,3262.58,900.62,199.04,27.6,3417.03,1001.94,250.88,29.32,3041.30,927.45,232.41,30.5,3660.48,312.59,143.08,8.54,2954.96,737.11,141.02,24.94,6957.36,1062.60,342.95,15.27,6539.35,1032.12,392.32,15.78,6493.76,1134.67,477.78,17.47,6126.56,867.77,278.05,14.16,7049.92,833.47,182.90,11.82,6467.55,899.38,375.94,13.91,6424.36,819.17,307.37,12.75,5680.14,786.19,355.60,13.84,6906.92,707.43,199.10,10.24,6234.74,774.39,375.09,12.42,5921.39,702.93,342.11,11.87,5253.58,619.87,307.08,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
