symbol,companyname,companycode,Revenue Sep 2022,EBITDA Sep 2022,Profit Sep 2022,Margin Sep 2022,Revenue Jun 2022,EBITDA Jun 2022,Profit Jun 2022,Margin Jun 2022,Revenue Mar 2022,EBITDA Mar 2022,Profit Mar 2022,Margin Mar 2022,Revenue Dec 2021,EBITDA Dec 2021,Profit Dec 2021,Margin Dec 2021,Revenue Sep 2021,EBITDA Sep 2021,Profit Sep 2021,Margin Sep 2021,Revenue Jun 2021,EBITDA Jun 2021,Profit Jun 2021,Margin Jun 2021,Revenue Mar 2021,EBITDA Mar 2021,Profit Mar 2021,Margin Mar 2021,Revenue Dec 2020,EBITDA Dec 2020,Profit Dec 2020,Margin Dec 2020,Revenue Sep 2020,EBITDA Sep 2020,Profit Sep 2020,Margin Sep 2020,Revenue Jun 2020,EBITDA Jun 2020,Profit Jun 2020,Margin Jun 2020,Revenue Mar 2020,EBITDA Mar 2020,Profit Mar 2020,Margin Mar 2020,Revenue Dec 2019,EBITDA Dec 2019,Profit Dec 2019,Margin Dec 2019,Revenue Sep 2019,EBITDA Sep 2019,Profit Sep 2019,Margin Sep 2019,Revenue Jun 2019,EBITDA Jun 2019,Profit Jun 2019,Margin Jun 2019,Revenue Mar 2019,EBITDA Mar 2019,Profit Mar 2019,Margin Mar 2019,Revenue Dec 2018,EBITDA Dec 2018,Profit Dec 2018,Margin Dec 2018,Revenue Sep 2018,EBITDA Sep 2018,Profit Sep 2018,Margin Sep 2018,Revenue Jun 2018,EBITDA Jun 2018,Profit Jun 2018,Margin Jun 2018,Revenue Sep 2015,EBITDA Sep 2015,Profit Sep 2015,Margin Sep 2015,Revenue Jun 2015,EBITDA Jun 2015,Profit Jun 2015,Margin Jun 2015,Revenue Mar 2018,EBITDA Mar 2018,Profit Mar 2018,Margin Mar 2018,Revenue Dec 2017,EBITDA Dec 2017,Profit Dec 2017,Margin Dec 2017,Revenue Sep 2017,EBITDA Sep 2017,Profit Sep 2017,Margin Sep 2017,Revenue Jun 2017,EBITDA Jun 2017,Profit Jun 2017,Margin Jun 2017,Revenue Mar 2017,EBITDA Mar 2017,Profit Mar 2017,Margin Mar 2017,Revenue Dec 2016,EBITDA Dec 2016,Profit Dec 2016,Margin Dec 2016,Revenue Sep 2016,EBITDA Sep 2016,Profit Sep 2016,Margin Sep 2016,Revenue Jun 2016,EBITDA Jun 2016,Profit Jun 2016,Margin Jun 2016,Revenue Mar 2016,EBITDA Mar 2016,Profit Mar 2016,Margin Mar 2016,Revenue Dec 2015,EBITDA Dec 2015,Profit Dec 2015,Margin Dec 2015,Revenue Mar 2015,EBITDA Mar 2015,Profit Mar 2015,Margin Mar 2015,Revenue Dec 2014,EBITDA Dec 2014,Profit Dec 2014,Margin Dec 2014,Revenue Sep 2014,EBITDA Sep 2014,Profit Sep 2014,Margin Sep 2014,Revenue Jun 2014,EBITDA Jun 2014,Profit Jun 2014,Margin Jun 2014,Revenue Mar 2014,EBITDA Mar 2014,Profit Mar 2014,Margin Mar 2014,Revenue Dec 2013,EBITDA Dec 2013,Profit Dec 2013,Margin Dec 2013,Revenue Sep 2013,EBITDA Sep 2013,Profit Sep 2013,Margin Sep 2013,Revenue Jun 2013,EBITDA Jun 2013,Profit Jun 2013,Margin Jun 2013,Revenue Mar 2013,EBITDA Mar 2013,Profit Mar 2013,Margin Mar 2013,Revenue Dec 2012,EBITDA Dec 2012,Profit Dec 2012,Margin Dec 2012,Revenue Sep 2012,EBITDA Sep 2012,Profit Sep 2012,Margin Sep 2012,Revenue Jun 2012,EBITDA Jun 2012,Profit Jun 2012,Margin Jun 2012,Revenue Dec 2011,EBITDA Dec 2011,Profit Dec 2011,Margin Dec 2011,Revenue Mar 2012,EBITDA Mar 2012,Profit Mar 2012,Margin Mar 2012,Revenue Sep 2011,EBITDA Sep 2011,Profit Sep 2011,Margin Sep 2011,Revenue Jun 2011,EBITDA Jun 2011,Profit Jun 2011,Margin Jun 2011,Revenue Mar 2011,EBITDA Mar 2011,Profit Mar 2011,Margin Mar 2011,Revenue Dec 2010,EBITDA Dec 2010,Profit Dec 2010,Margin Dec 2010,Revenue Sep 2010,EBITDA Sep 2010,Profit Sep 2010,Margin Sep 2010,Revenue Jun 2010,EBITDA Jun 2010,Profit Jun 2010,Margin Jun 2010,Revenue Mar 2010,EBITDA Mar 2010,Profit Mar 2010,Margin Mar 2010,Revenue Dec 2009,EBITDA Dec 2009,Profit Dec 2009,Margin Dec 2009,Revenue Sep 2009,EBITDA Sep 2009,Profit Sep 2009,Margin Sep 2009,Revenue Mar 2009,EBITDA Mar 2009,Profit Mar 2009,Margin Mar 2009,Revenue Dec 2008,EBITDA Dec 2008,Profit Dec 2008,Margin Dec 2008,Revenue Sep 2008,EBITDA Sep 2008,Profit Sep 2008,Margin Sep 2008,Revenue Jun 2008,EBITDA Jun 2008,Profit Jun 2008,Margin Jun 2008,Revenue Mar 2008,EBITDA Mar 2008,Profit Mar 2008,Margin Mar 2008,Revenue Dec 2007,EBITDA Dec 2007,Profit Dec 2007,Margin Dec 2007,Revenue Sep 2007,EBITDA Sep 2007,Profit Sep 2007,Margin Sep 2007,Revenue Jun 2007,EBITDA Jun 2007,Profit Jun 2007,Margin Jun 2007,Revenue Dec 2006,EBITDA Dec 2006,Profit Dec 2006,Margin Dec 2006,Revenue Jun 2009,EBITDA Jun 2009,Profit Jun 2009,Margin Jun 2009,Revenue Jun 2005,EBITDA Jun 2005,Profit Jun 2005,Margin Jun 2005,Revenue Mar 2007,EBITDA Mar 2007,Profit Mar 2007,Margin Mar 2007,Revenue Sep 2006,EBITDA Sep 2006,Profit Sep 2006,Margin Sep 2006,Revenue Jun 2006,EBITDA Jun 2006,Profit Jun 2006,Margin Jun 2006,Revenue Mar 2006,EBITDA Mar 2006,Profit Mar 2006,Margin Mar 2006,Revenue Dec 2005,EBITDA Dec 2005,Profit Dec 2005,Margin Dec 2005,Revenue Sep 2005,EBITDA Sep 2005,Profit Sep 2005,Margin Sep 2005
A2ZINFRA,a2zinfraengineering,AME02,96.54,0.09,-2.62,0.09,78.65,-22.49,1.11,-28.6,98.84,-8.61,-11.92,-8.71,80.69,3.41,1.90,4.23,100.97,3.20,-154.77,3.17,72.83,0.85,-0.89,1.17,138.82,-28.04,-30.24,-20.2,83.40,-10.56,-21.89,-12.66,120.28,-1.43,-13.64,-1.19,72.41,1.15,-11.20,1.59,137.04,-37.58,-290.12,-27.42,143.21,0.26,-10.95,0.18,231.60,-6.00,-47.05,-2.59,188.00,0.63,71.33,0.34,269.10,20.24,327.80,7.52,246.05,11.49,-0.86,4.67,188.10,3.54,19.68,1.88,165.46,-4.65,-49.64,-2.81,362.55,11.95,-32.00,3.3,174.09,-16.86,-56.09,-9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTIDRUGS,aartidrugs,AD,687.72,61.61,38.74,8.96,621.96,54.60,34.78,8.78,694.27,73.45,55.32,10.58,634.80,77.40,58.28,12.19,579.62,61.26,42.58,10.57,579.95,67.27,48.81,11.6,501.75,68.65,51.65,13.68,530.25,93.12,68.03,17.56,578.11,103.88,75.27,17.97,544.67,121.59,85.45,22.32,449.64,58.83,58.86,13.08,473.51,55.13,27.78,11.64,477.50,56.22,32.31,11.77,405.43,42.91,22.45,10.58,459.14,45.10,27.44,9.82,380.11,41.14,20.89,10.82,347.41,36.36,18.05,10.47,374.29,42.20,23.37,11.27,,,,,,,,,330.69,46.38,23.99,14.03,335.41,43.95,23.33,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTIIND,aartiindustries,AI45,1685.01,194.12,124.48,11.52,1972.02,282.80,189.07,14.34,1755.64,261.88,193.75,14.92,2375.98,894.48,772.54,37.65,1551.58,238.71,176.05,15.38,1316.76,245.22,165.08,18.62,1209.35,194.66,139.34,16.1,1186.78,226.29,169.18,19.07,1172.64,199.27,143.50,16.99,937.33,130.00,83.20,13.87,1076.15,169.65,110.35,15.76,1218.48,207.17,142.71,17.0,1076.82,208.40,151.78,19.35,1135.49,206.90,141.92,18.22,1279.15,208.32,127.13,16.29,1276.03,209.46,139.69,16.41,1326.47,221.58,138.58,16.7,1132.57,159.76,93.21,14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTISURF,aartisurfactantslimited,ASL08,151.77,5.03,0.32,3.31,158.13,8.52,3.71,5.39,151.40,1.93,2.37,1.27,135.15,5.24,-2.23,3.88,139.82,4.10,0.83,2.93,149.15,8.21,4.52,5.5,126.17,8.49,5.69,6.73,106.66,8.43,4.78,7.9,111.89,9.09,6.59,8.12,121.05,7.28,4.57,6.01,89.13,5.79,3.33,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARVEEDEN,aarveedenimexports,ADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.93,7.97,7.88,6.76,110.31,3.64,-8.19,3.3,166.97,-3.41,-16.64,-2.04,167.12,-13.11,-24.97,-7.84,179.93,13.74,0.40,7.64,175.72,12.69,0.32,7.22,176.57,10.73,-0.20,6.08,215.67,11.09,0.57,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARVI,aarviencon,AE19,112.65,5.11,4.09,4.54,106.64,4.34,4.32,4.07,90.99,2.73,2.66,3.0,73.69,3.65,3.82,4.95,65.39,3.14,3.37,4.8,58.49,2.19,2.21,3.74,56.99,2.16,3.03,3.79,49.79,1.38,2.65,2.77,46.58,2.32,1.93,4.98,48.43,2.71,2.85,5.6,68.66,3.96,4.06,5.77,50.79,1.49,1.20,2.93,51.33,2.52,2.17,4.91,47.27,-0.02,-0.26,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAVAS,aavasfinanciers,AF17,394.85,278.24,106.64,70.47,352.86,249.02,89.05,70.57,365.09,269.26,115.47,73.75,342.58,239.82,88.76,70.0,324.85,233.41,91.90,71.85,271.93,186.50,59.05,68.58,289.45,208.05,87.45,71.88,309.98,227.09,85.46,73.26,270.43,198.75,66.04,73.49,233.51,174.75,49.97,74.84,234.42,162.85,59.73,69.47,239.37,175.33,67.92,73.25,231.24,174.32,76.04,75.38,197.52,144.71,45.36,73.26,204.30,148.20,54.33,72.54,194.79,144.25,56.30,74.05,163.82,119.20,35.32,72.76,147.11,100.85,30.08,68.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,adityabirlacapital,ABC9,6825.01,1645.02,382.27,24.1,5590.28,1470.13,372.05,26.3,6616.85,1391.16,381.95,21.02,5705.53,1527.94,478.68,26.78,5593.22,1292.87,267.80,23.11,4298.99,1171.56,190.73,27.25,5586.83,1300.79,303.60,23.28,5025.98,1255.25,208.18,24.98,4589.12,1300.66,188.16,28.34,4034.55,1291.94,137.32,32.02,4844.87,1208.61,75.65,24.95,4325.72,1415.03,174.91,32.71,3975.94,1458.37,167.46,36.68,3645.75,1545.71,197.18,42.4,4729.82,1455.38,188.29,30.77,3780.16,1376.89,138.72,36.42,3590.46,1238.07,117.18,34.48,3062.72,1193.85,150.05,38.98,,,,,,,,,4202.97,1176.06,248.82,27.98,3325.02,350.30,262.86,10.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRLAMONEY,adityabirlamoney,ABM01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.11,10.01,2.36,23.22,42.14,7.58,2.02,17.99,26.94,1.04,1.71,3.86,25.33,0.69,1.26,2.72,43.47,6.44,3.21,14.81,42.81,5.24,2.85,12.24,36.11,0.93,2.27,2.58,34.05,0.15,1.73,0.44,27.31,2.45,2.95,8.97,25.17,3.03,3.00,12.04,27.86,1.43,2.61,5.13,23.02,-1.43,-1.28,-6.21,22.46,0.77,-0.06,3.43,22.71,-0.11,0.42,-0.48,27.58,-0.19,0.96,-0.69,26.73,-0.49,0.77,-1.83,26.67,0.39,2.15,1.46,25.43,0.50,2.02,1.97,18.17,-1.87,-1.03,-10.29,16.58,-2.67,-1.69,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIRLANUVO,adityabirlanuvo,ABN01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271.25,577.59,116.91,17.66,3091.32,608.63,485.83,19.69,,,,,,,,,,,,,,,,,4287.12,206.30,187.05,4.81,3262.58,784.64,199.04,24.05,3417.03,862.33,250.88,25.24,3041.30,803.13,232.41,26.41,3660.48,200.78,143.08,5.49,2954.96,647.58,141.02,21.92,6957.36,930.73,342.95,13.38,6539.35,939.36,392.32,14.36,6493.76,1027.67,477.78,15.83,6126.56,793.17,278.05,12.95,7049.92,737.30,182.90,10.46,6467.55,816.85,375.94,12.63,6424.36,745.97,307.37,11.61,5680.14,691.31,355.60,12.17,6906.92,597.96,199.10,8.66,6234.74,683.28,375.09,10.96,5921.39,610.43,342.11,10.31,5253.58,549.66,307.08,10.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
