category,SYMBOL,Quarter,Change
0,A2ZINFRA,Dec 2019 - Mar 2020,-0.4230769230769231
0,A2ZINFRA,Mar 2019 - Jun 2019,-0.4486803519061583
0,AARTIDRUGS,Mar 2022 - Jun 2022,0.1958025280228952
0,AARTIDRUGS,Jun 2021 - Sep 2021,-0.2048976314733039
0,AARTIDRUGS,Jun 2018 - Sep 2018,0.140791677686679
0,AARTIIND,Dec 2021 - Mar 2022,-0.1974773157842257
0,AARTIIND,Mar 2020 - Jun 2020,-0.1555868499004516
0,AARTIIND,Dec 2019 - Mar 2020,-0.3099070735794444
0,AARTISURF,Jun 2022 - Sep 2022,-0.1056150560267442
0,AARTISURF,Jun 2021 - Sep 2021,-0.1892062158756824
0,AARVEEDEN,Mar 2019 - Jun 2019,-0.400437636761488
0,AARVI,Jun 2020 - Sep 2020,0.4666666666666667
0,AARVI,Mar 2020 - Jun 2020,0.508361204013378
0,AAVAS,Mar 2021 - Jun 2021,0.1322150387325994
0,ABAN,Dec 2021 - Mar 2022,0.2523020257826888
0,ABAN,Sep 2021 - Dec 2021,-0.2087033747779751
0,ABAN,Dec 2018 - Mar 2019,-0.2392156862745098
0,ABAN,Sep 2018 - Dec 2018,-0.3078313253012048
0,ABAN,Dec 2017 - Mar 2018,-0.1764396529056009
0,ABMINTLLTD,Jun 2022 - Sep 2022,-0.1012820512820513
0,ABMINTLLTD,Dec 2021 - Mar 2022,-0.1537698412698412
0,ABSLAMC,Mar 2022 - Jun 2022,0.1807774862866683
0,ABSLAMC,Dec 2021 - Mar 2022,-0.2595094863489125
0,ACC,Jun 2021 - Sep 2021,0.1467840820421357
0,ACC,Jun 2019 - Sep 2019,-0.0528687293481526
0,ACC,Jun 2018 - Sep 2018,-0.126518152886926
0,ACCELYA,Jun 2021 - Sep 2021,-0.2945693911135491
0,ACCELYA,Jun 2020 - Sep 2020,-0.1563360523717982
0,ACCELYA,Mar 2020 - Jun 2020,0.14091361575047
0,ACCELYA,Sep 2019 - Dec 2019,-0.2191686231183538
0,ACCURACY,Jun 2022 - Sep 2022,0.2373076039512979
0,ACE,Mar 2021 - Jun 2021,-0.2460763417942259
0,ACE,Mar 2020 - Jun 2020,0.3206521739130435
0,ADANIENT,Mar 2020 - Jun 2020,0.3440900562851782
