SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,margin,ebitda,revenue,profit,Change
A2ZINFRA,a2zinfraengineering,AME02,Jun 2022 - Sep 2022,12-11-2022,11.2,11.35,10.35,-4.4222222222222225,-3.4307692307692306,0.18531178785995442,1.4236641221374047,-0.07589285714285711
A2ZINFRA,a2zinfraengineering,AME02,Mar 2022 - Jun 2022,09-08-2022,13.6,13.6,10.05,1.7923497267759563,1.9947916666666667,-0.2567069294342021,11.738738738738737,-0.2610294117647058
A2ZINFRA,a2zinfraengineering,AME02,Dec 2021 - Mar 2022,18-05-2022,12.25,14.1,9.85,2.1586206896551725,1.9458987783595112,0.1836301092675031,1.1593959731543624,-0.1959183673469388
A2ZINFRA,a2zinfraengineering,AME02,Sep 2021 - Dec 2021,13-02-2021,4.45,5.1,3.65,-0.5044642857142857,-0.8837638376383765,-0.25133225926384933,82.45789473684212,-0.17977528089887646
A2ZINFRA,a2zinfraengineering,AME02,Jun 2021 - Sep 2021,12-11-2021,6.65,13.65,5.25,0.11078140454995047,0.35847208619000986,0.27869664256709914,0.9942495315629645,1.0526315789473684
A2ZINFRA,a2zinfraengineering,AME02,Mar 2021 - Jun 2021,21-07-2021,5.5,5.75,4.05,2.408231368186874,3.6824427480916033,-0.9060826582452286,-32.977528089887635,-0.26363636363636367
A2ZINFRA,a2zinfraengineering,AME02,Jun 2020 - Sep 2020,10-11-2020,3.8,5.8,3.65,-1.6289308176100628,-0.5837696335078534,0.3979880279348188,0.17888563049853382,0.5263157894736842
A2ZINFRA,a2zinfraengineering,AME02,Mar 2020 - Jun 2020,30-07-2020,4.1,5.5,3.55,3.808612440191388,6.319008264462809,-0.8925562767573539,-24.903571428571432,0.3414634146341465
A2ZINFRA,a2zinfraengineering,AME02,Dec 2019 - Mar 2020,,5.5,5.6,4.0,1.2448892674616694,1.2560596643878186,-0.0450233508464683,0.9622569971046464,-0.2727272727272727
A2ZINFRA,a2zinfraengineering,AME02,Sep 2019 - Dec 2019,13-02-2019,11.6,19.2,11.6,0.9026086956521738,0.8434466019417476,-0.6172055024090495,-3.2968036529680362,0.6551724137931034
A2ZINFRA,a2zinfraengineering,AME02,Jun 2019 - Sep 2019,14-11-2019,9.8,9.8,5.95,-6.749999999999999,-5.325581395348837,0.18825561312607944,2.516046758767269,-0.3928571428571429
A2ZINFRA,a2zinfraengineering,AME02,Mar 2019 - Jun 2019,13-08-2019,9.9,11.0,8.5,-1.292626728110599,-2.281862745098039,-0.43138297872340436,-3.5955418477498955,-0.14141414141414144
A2ZINFRA,a2zinfraengineering,AME02,Dec 2018 - Mar 2019,23-05-2019,17.05,18.0,9.4,0.37587939698492456,0.42905153099327864,0.08565589000371612,1.0026235509456987,-0.44868035190615835
A2ZINFRA,a2zinfraengineering,AME02,Sep 2018 - Dec 2018,13-02-2018,36.25,36.25,22.55,0.17874396135265705,0.3721386527141923,0.23552123552123558,23.883720930232556,-0.3779310344827586
A2ZINFRA,a2zinfraengineering,AME02,Jun 2018 - Sep 2018,13-11-2018,13.5,14.25,9.45,1.2058823529411764,1.1802083333333333,0.12036150983519397,3.5223577235772354,-0.30000000000000004
AARTIDRUGS,aartidrugs,AD,Jun 2022 - Sep 2022,20-10-2022,460.95,479.3,442.3,0.01672240802675589,0.11028219266947774,0.09562031059151979,0.10221992772328345,-0.0404599197309903
AARTIDRUGS,aartidrugs,AD,Mar 2022 - Jun 2022,27-07-2022,419.3,501.4,405.7,-0.2482993197278911,-0.39281808239154203,-0.11626149591613599,-0.5905692926969522,0.19580252802289522
AARTIDRUGS,aartidrugs,AD,Dec 2021 - Mar 2022,,403.85,474.65,397.6,-0.20254314259763856,-0.1001177856301532,0.08565831736932321,-0.053506869125090395,0.17531261607032303
AARTIDRUGS,aartidrugs,AD,Sep 2021 - Dec 2021,31-01-2022,503.45,526.0,420.8,0.20090634441087615,0.27028313109683555,0.086925015752993,0.2693891557995882,-0.16416724600258215
AARTIDRUGS,aartidrugs,AD,Jun 2021 - Sep 2021,27-10-2021,622.75,622.75,495.15,-0.12287334593572785,-0.12308444734268009,-0.0005693385321418186,-0.1463128229215595,-0.20489763147330392
AARTIDRUGS,aartidrugs,AD,Mar 2021 - Jun 2021,27-07-2021,720.55,720.55,586.55,-0.16835016835016833,-0.010596603280592306,0.13483921027674806,-0.05818479819709068,-0.1859690514190549
AARTIDRUGS,aartidrugs,AD,Jun 2020 - Sep 2020,23-10-2020,750.3,791.05,628.25,-0.251387347391787,-0.1793222616876259,0.057843662970715005,-0.13524644612727524,-0.16266826602692253
AARTIDRUGS,aartidrugs,AD,Mar 2020 - Jun 2020,25-07-2020,1586.55,3447.05,747.85,0.4101995565410199,0.5131461131461131,0.17447261644665574,0.3111761263897016,1.1726702593678109
AARTIDRUGS,aartidrugs,AD,Dec 2019 - Mar 2020,,1270.55,3447.05,1259.1,0.12030075187969935,0.07406788162514628,-0.053086913975624955,0.528032619775739,1.713037660855535
AARTIDRUGS,aartidrugs,AD,Sep 2019 - Dec 2019,11-02-2019,588.95,673.2,579.95,-0.009401709401709505,-0.01859877211989877,-0.008426432387911574,-0.16306695464362855,0.14305119280074707
AARTIDRUGS,aartidrugs,AD,Jun 2019 - Sep 2019,23-10-2019,491.35,628.8,491.35,0.10245554614733283,0.23825562843467468,0.15093193717277487,0.30516867842773143,0.2797394932329295
AARTIDRUGS,aartidrugs,AD,Mar 2019 - Jun 2019,26-07-2019,487.0,491.35,437.9,-0.029245283018867974,-0.1656969979055156,-0.13247662975112837,-0.22227171492204909,-0.10082135523613968
AARTIDRUGS,aartidrugs,AD,Dec 2018 - Mar 2019,,530.7,530.7,437.9,0.003666361136572037,0.17528448792174087,0.17212614888704963,0.23870262390670555,-0.1748633879781422
AARTIDRUGS,aartidrugs,AD,Sep 2018 - Dec 2018,13-02-2018,624.75,656.35,504.0,0.034958601655933674,0.11740498668603247,0.08602772881534289,0.1359502154140737,-0.19327731092436976
AARTIDRUGS,aartidrugs,AD,Jun 2018 - Sep 2018,02-11-2018,569.8,619.75,546.5,-0.098188751191611,-0.18266593527153036,-0.07737255692121699,-0.2947368421052632,0.08766233766233775
AARTIDRUGS,aartidrugs,AD,Mar 2018 - Jun 2018,13-08-2018,567.15,647.0,544.8,-0.23784722222222224,-0.09346011131725421,0.11648721579523905,-0.026529738981600232,0.14079167768667905
AARTIDRUGS,aartidrugs,AD,Dec 2017 - Mar 2018,16-05-2018,566.8,625.45,513.35,0.07854137447405324,0.06511134676564158,-0.01427318636789751,0.02751146310962902,0.10347565278757956
AARTIIND,aartiindustries,AI45,Dec 2021 - Mar 2022,27-05-2022,765.9,832.25,684.65,-1.5217682518419289,-2.413623354321694,-0.35334123168758963,-2.9873032258064516,-0.10608434521478
AARTIIND,aartiindustries,AI45,Sep 2021 - Dec 2021,,987.65,987.65,740.7,0.5904382470119521,0.7325664587385695,0.34697261761462644,0.7721153597224739,-0.25003796891611396
AARTIIND,aartiindustries,AI45,Jun 2021 - Sep 2021,30-10-2021,964.1,1106.8,909.8,-0.2081712062256809,-0.025247669606654772,0.15134250248134157,0.06231184322635614,0.14801369152577526
AARTIIND,aartiindustries,AI45,Mar 2021 - Jun 2021,,938.0,1156.55,901.0,0.13580246913580235,0.20630325763444377,0.08157143291108485,0.15592440029076815,0.23299573560767586
AARTIIND,aartiindustries,AI45,Jun 2020 - Sep 2020,,1083.8,1337.2,1083.8,0.1829411764705882,0.34664592845316344,0.20066687133306046,0.4202090592334495,0.23380697545672643
AARTIIND,aartiindustries,AI45,Mar 2020 - Jun 2020,12-08-2020,1014.15,1176.1,970.8,-0.1375089992800576,-0.30602058055598214,-0.14810152240939695,-0.32632211538461525,0.1596903811073312
AARTIIND,aartiindustries,AI45,Dec 2019 - Mar 2020,25-05-2020,1029.65,1176.1,869.45,-0.07784810126582281,-0.2203210442758864,-0.1322585141476559,-0.29324875396465805,-0.15558684990045163
AARTIIND,aartiindustries,AI45,Sep 2019 - Dec 2019,03-02-2019,1632.35,1721.3,1308.65,-0.1667645331767469,-0.031030162860171524,0.11625960212724055,-0.06355546212598971,-0.19830306000551343
AARTIIND,aartiindustries,AI45,Jun 2019 - Sep 2019,13-11-2019,814.45,1016.45,764.25,0.07196779063915448,0.021544069539209204,-0.05448450065934889,0.0649624456450126,0.2480201362882927
AARTIIND,aartiindustries,AI45,Mar 2019 - Jun 2019,13-08-2019,1724.55,1737.35,748.9,0.13015184381778752,0.019916893537756202,-0.12651806708997884,0.1042136414881623,-0.5657417877127366
AARTIIND,aartiindustries,AI45,Dec 2018 - Mar 2019,,1778.05,1801.25,813.3,-0.04301745635910233,-0.040399610136452345,0.0024391197279444304,-0.09879650751199562,-0.5425887910913642
AARTIIND,aartiindustries,AI45,Sep 2018 - Dec 2018,03-02-2018,1090.45,1343.45,1053.25,-0.0017931858936043716,-0.041360251065623604,-0.039528851202557974,0.00794616651156121,0.23201430602045026
