,Category,Sector,Total Count,Increase Count,Decrease Count,Increase Percentage,Decrease Percentage,Average Change
0,0,niftyautolist,42,17,25,40.48,59.52,-6.01
1,1,niftyautolist,3,1,2,33.33,66.67,-12.39
2,2,niftyautolist,0,0,0,0.0,0.0,0.0
3,3,niftyautolist,3,0,3,0.0,100.0,-30.2
4,4,niftyautolist,7,2,5,28.57,71.43,-4.92
5,5,niftyautolist,0,0,0,0.0,0.0,0.0
6,6,niftyautolist,5,2,3,40.0,60.0,-3.07
7,7,niftyautolist,7,3,4,42.86,57.14,2.63
8,8,niftyautolist,5,2,3,40.0,60.0,-12.27
9,9,niftyautolist,2,2,0,100.0,0.0,23.16
10,10,niftyautolist,1,1,0,100.0,0.0,45.1
11,11,niftyautolist,7,3,4,42.86,57.14,-4.18
12,12,niftyautolist,5,0,5,0.0,100.0,-12.94
13,13,niftyautolist,0,0,0,0.0,0.0,0.0
14,14,niftyautolist,10,4,6,40.0,60.0,-1.04
15,15,niftyautolist,40,22,18,55.0,45.0,4.78
16,0,niftybanklist,0,0,0,0.0,0.0,0.0
17,1,niftybanklist,0,0,0,0.0,0.0,0.0
18,2,niftybanklist,0,0,0,0.0,0.0,0.0
19,3,niftybanklist,0,0,0,0.0,0.0,0.0
20,4,niftybanklist,0,0,0,0.0,0.0,0.0
21,5,niftybanklist,0,0,0,0.0,0.0,0.0
22,6,niftybanklist,0,0,0,0.0,0.0,0.0
23,7,niftybanklist,0,0,0,0.0,0.0,0.0
24,8,niftybanklist,0,0,0,0.0,0.0,0.0
25,9,niftybanklist,0,0,0,0.0,0.0,0.0
26,10,niftybanklist,0,0,0,0.0,0.0,0.0
27,11,niftybanklist,0,0,0,0.0,0.0,0.0
28,12,niftybanklist,0,0,0,0.0,0.0,0.0
29,13,niftybanklist,0,0,0,0.0,0.0,0.0
30,14,niftybanklist,0,0,0,0.0,0.0,0.0
31,15,niftybanklist,0,0,0,0.0,0.0,0.0
32,0,niftyconsumerdurableslist,58,38,20,65.52,34.48,5.81
33,1,niftyconsumerdurableslist,3,1,2,33.33,66.67,-8.59
34,2,niftyconsumerdurableslist,0,0,0,0.0,0.0,0.0
35,3,niftyconsumerdurableslist,2,1,1,50.0,50.0,-0.41
36,4,niftyconsumerdurableslist,12,3,9,25.0,75.0,-11.36
37,5,niftyconsumerdurableslist,0,0,0,0.0,0.0,0.0
38,6,niftyconsumerdurableslist,1,1,0,100.0,0.0,15.23
39,7,niftyconsumerdurableslist,3,3,0,100.0,0.0,18.57
40,8,niftyconsumerdurableslist,1,0,1,0.0,100.0,-7.11
41,9,niftyconsumerdurableslist,2,2,0,100.0,0.0,10.37
42,10,niftyconsumerdurableslist,0,0,0,0.0,0.0,0.0
43,11,niftyconsumerdurableslist,4,3,1,75.0,25.0,4.31
44,12,niftyconsumerdurableslist,4,2,2,50.0,50.0,1.21
45,13,niftyconsumerdurableslist,0,0,0,0.0,0.0,0.0
46,14,niftyconsumerdurableslist,7,4,3,57.14,42.86,11.13
47,15,niftyconsumerdurableslist,59,37,22,62.71,37.29,6.54
48,0,niftyfinancelist,3,1,2,33.33,66.67,-15.05
49,1,niftyfinancelist,11,4,7,36.36,63.64,-8.98
50,2,niftyfinancelist,0,0,0,0.0,0.0,0.0
51,3,niftyfinancelist,1,0,1,0.0,100.0,-26.51
52,4,niftyfinancelist,4,3,1,75.0,25.0,15.02
53,5,niftyfinancelist,0,0,0,0.0,0.0,0.0
54,6,niftyfinancelist,4,2,2,50.0,50.0,-4.71
55,7,niftyfinancelist,2,0,2,0.0,100.0,-26.73
56,8,niftyfinancelist,2,2,0,100.0,0.0,77.33
57,9,niftyfinancelist,3,2,1,66.67,33.33,-3.68
58,10,niftyfinancelist,0,0,0,0.0,0.0,0.0
59,11,niftyfinancelist,10,8,2,80.0,20.0,16.75
60,12,niftyfinancelist,1,0,1,0.0,100.0,-8.27
61,13,niftyfinancelist,0,0,0,0.0,0.0,0.0
62,14,niftyfinancelist,16,10,6,62.5,37.5,8.17
63,15,niftyfinancelist,18,6,12,33.33,66.67,-7.91
64,0,niftyfinancialservices25-50list,8,2,6,25.0,75.0,-19.23
65,1,niftyfinancialservices25-50list,8,3,5,37.5,62.5,-9.66
66,2,niftyfinancialservices25-50list,0,0,0,0.0,0.0,0.0
67,3,niftyfinancialservices25-50list,1,0,1,0.0,100.0,-26.51
68,4,niftyfinancialservices25-50list,7,4,3,57.14,42.86,6.55
69,5,niftyfinancialservices25-50list,0,0,0,0.0,0.0,0.0
70,6,niftyfinancialservices25-50list,3,1,2,33.33,66.67,-13.4
71,7,niftyfinancialservices25-50list,1,0,1,0.0,100.0,-21.51
72,8,niftyfinancialservices25-50list,2,2,0,100.0,0.0,37.78
73,9,niftyfinancialservices25-50list,3,2,1,66.67,33.33,22.01
74,10,niftyfinancialservices25-50list,0,0,0,0.0,0.0,0.0
75,11,niftyfinancialservices25-50list,10,6,4,60.0,40.0,7.57
76,12,niftyfinancialservices25-50list,1,0,1,0.0,100.0,-8.27
77,13,niftyfinancialservices25-50list,0,0,0,0.0,0.0,0.0
78,14,niftyfinancialservices25-50list,12,8,4,66.67,33.33,9.72
79,15,niftyfinancialservices25-50list,22,11,11,50.0,50.0,1.84
80,0,niftyfinancialservicesexbank_list,32,10,22,31.25,68.75,-13.94
81,1,niftyfinancialservicesexbank_list,18,7,11,38.89,61.11,-2.96
82,2,niftyfinancialservicesexbank_list,0,0,0,0.0,0.0,0.0
83,3,niftyfinancialservicesexbank_list,7,4,3,57.14,42.86,2.58
84,4,niftyfinancialservicesexbank_list,18,10,8,55.56,44.44,3.29
85,5,niftyfinancialservicesexbank_list,0,0,0,0.0,0.0,0.0
86,6,niftyfinancialservicesexbank_list,9,5,4,55.56,44.44,-4.52
87,7,niftyfinancialservicesexbank_list,10,1,9,10.0,90.0,-17.23
88,8,niftyfinancialservicesexbank_list,8,6,2,75.0,25.0,23.22
89,9,niftyfinancialservicesexbank_list,7,3,4,42.86,57.14,0.35
90,10,niftyfinancialservicesexbank_list,0,0,0,0.0,0.0,0.0
91,11,niftyfinancialservicesexbank_list,24,11,13,45.83,54.17,-0.12
92,12,niftyfinancialservicesexbank_list,6,1,5,16.67,83.33,-25.13
93,13,niftyfinancialservicesexbank_list,0,0,0,0.0,0.0,0.0
