Scrip_Name,Revenue_YOY,Revenue_Q1,Revenue_Q2,EBITDA_YOY,EBITDA_Q1,EBITDA_Q2,Profit_YOY,Profit_Q1,Profit_Q2,Margin_YOY,Margin_Q1,Margin_Q2,ROCE,P/E Ratio,Before_Q1 (01-07-2022),After_Q1 (19-08-2022),Before_Q2 (07-10-2022),After_Q2 (18-11-2022)
20MICRONS,517,154.15,159.21,66,19.88,18.42,31,10.89,9.86,13%,12.90%,11.57%,19.10%,8.12,68.3,102.25,100.4,93.05
21STCENMGM,-13,-3.92,-1.31,-15,-4.46,-1.8,-15,-4.45,-1.75,,,,33.40%,,24.75,27.5,23.5,22.2
3IINFOLTD,212,62.58,68.62,-4,24.78,13.28,8,25.54,6.77,-2%,39.60%,19.35%,3.41%,13.5,41.25,45.7,44.05,41.95
3MINDIA,3078,890,925,382,111,115,266,80,100,12%,12%,12%,15.20%,77.5,21905.55,22856.45,24464.95,24316.05
3PLAND,2.15,0.43,1.15,1.78,0.34,1.03,1.27,0.24,0.75,82.79%,79.07%,89.57%,2.88%,21,14.2,17.15,17,17.05
5PAISA,298,84,80,48,18,20,15,8,11,16%,21%,25%,8.37%,40.2,296.4,281.5,344.85,314.55
63MOONS,144,36.76,40.18,-65,-19.4,-10.3,-61,-8.71,1.6,-45%,-52.77%,-25.63%,0.40%,66,163.85,189.75,175.25,148.65
A2ZINFRA,136,19.23,20.66,-150,-24.73,-4.18,-172,-1.81,-4.8,-110%,-128.60%,-20.23%,24.80%,,10.05,12.85,11.35,10.35
AAKASH,76.88,19.47,26.52,15.33,3.19,3.61,6.12,1.22,1.29,19.94%,16.38%,13.61%,15.40%,15.1,15.4,12.8,15.25,8.5
AAREYDRUGS,493,117.34,76.26,11,-0.59,4.27,7,0.8,2.12,2%,-0.50%,5.60%,10.10%,22.7,33.25,35.3,38.5,36.75
AARON,37.74,12.01,14.1,5.86,2.15,2.31,3.71,1.23,1.28,15.53%,17.90%,16.38%,22.80%,31.9,114.7,132.3,165.35,159.4
AARTIDRUGS,2251,551,625,321,55,70,195,26,37,14%,10%,11%,20.70%,25,397.6,446.6,496,463.85
AARTIIND,6865,1605,1686,1891,282,268,1289,137,126,28%,18%,16%,22.00%,19.5,703.25,815,773.75,653.4
AARTISURF,576,158.13,151.77,32,11.5,8.77,6,3.71,0.32,6%,7.27%,5.78%,6.87%,130,635.35,752.25,776.65,714.3
AARVEEDEN,421,108,55,-10,1,-11,-41,-10,-17,-2%,1%,-20%,5.99%,,19.5,22.9,26.35,24.95
AARVI,275,94.86,99.75,14,4.36,5.16,12,4.14,4.79,5%,4.60%,5.17%,16.80%,14.9,89.85,113.55,152.95,156.3
AAVAS,1304,353,395,477,121,144,357,89,107,37%,34%,37%,9.51%,37.4,1940.7,2255.7,2092.7,1895.8
ABAN,82,21,22,-5,-4,-10,-106,-28,50,-6%,-17%,-46%,64.10%,,43.9,47.35,52.3,47.3
ABB,6934,2053,2120,554,199,211,520,140,198,8%,10%,10%,15.80%,105,2275.45,2888.35,3296.1,3092.65
ABBOTINDIA,4919,1304,1379,1088,270,343,799,206,266,22%,21%,25%,38.40%,47.6,19100.4,18820.8,19056,19741.25
ABCAPITAL,455,8,93,419,0,84,345,2,64,92%,3%,91%,4.30%,81.1,90.1,111.45,115.3,125
ABFRL,7824,2774,2953,1116,475,443,-81,124,80,14%,17%,15%,3.45%,65.2,242.55,284,340.2,305.5
ABMINTLLTD,126.99,22.49,17.38,1.96,-1.2,-6.68,1.39,-1.12,-6.51,1.54%,-5.34%,-38.43%,12.80%,,84.5,76.55,77.45,66.9
ABSLAMC,1376,299,306,919,180,181,660,102,190,67%,60%,59%,44.00%,19.5,404.95,446.85,449.8,427.4
ACC,16151,4468,3987,3000,425,15,1820,222,-91,19%,10%,0%,19.20%,53.8,2167.1,2350.85,2384.75,2460.7
ACCELYA,327,91,103,124,39,47,77,27,30,38%,43%,46%,38.10%,25.1,878.9,1044.4,1098.35,1525.75
ACCURACY,818,244.48,228.69,47,10.63,4.86,18,3.36,0.24,6%,4.35%,2.13%,18.80%,30.4,208.95,205.05,266.7,189.9
ACE,1630,499,491,152,43,45,106,29,36,9%,9%,9%,22.60%,30.2,208.5,235.5,289.6,324.2
ADANIENT,26806,20318,22137,1306,562,529,721,443,469,5%,3%,2%,20.80%,416,2232.2,3130.2,3277.6,4019.8
ADANIGREEN,10672,2167,2912,122,-141,-66,-58,132,-93,1%,-7%,-2%,4.67%,,1963.65,2411.35,2204.15,2085.4
ADANIPORTS,4206,1255,1221,2703,-387,-179,298,-384,-298,64%,-31%,-15%,7.16%,,677.9,871.8,816.9,888.9
ADANIPOWER,581,56,73,45,22,7,-182,-33,-52,8%,39%,9%,3.32%,,263.25,411.95,372.85,336.5
ADANITRANS,740,83,175,-2,-1,-5,-65,-17,32,0%,-2%,-3%,7.54%,,2400.65,3635.25,3278.6,3116.25
ADFFOODS,302,72,83,54,7,15,41,7,13,18%,10%,19%,18.50%,36,708.45,700.45,706.65,705.8
ADL,41.52,10.11,10.28,2.31,0.78,0.66,0.2,0.24,0.19,5.56%,7.72%,6.42%,3.19%,34.6,56.95,60.05,74.15,61.55
ADORWELD,661,157.88,184.87,61,16.29,15.14,45,10.46,9.98,9%,10.32%,8.19%,20.00%,26.1,647.1,777.3,894.35,839.8
