ScripCodes,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
20MICRONS,41.8,38,36.4,36.5,43.8,42,74.9,70,74,108.25,94.8,119.7,101.95
21STCENMGM,15.3,17.25,11.35,11.4,10.75,15.3,22.6,48.25,64,49.1,31.05,30.85,24.15
3MINDIA,23267,25200,19999,22500,23200,30848,31000,26000,27800,26943,22857.9,24850,25209
3PLAND,6.8,7.65,7.2,8.1,13.55,11.7,17.1,18.8,15.8,26.3,20.7,20.65,22.75
5PAISA,205.9,220.95,263.25,465,375,387.75,444.85,580,543.8,463.5,394.75,391.15,373.15
63MOONS,128.05,125.4,93.5,86.95,96.95,85.9,112.5,114.8,233.8,372.6,323.85,205,186.4
A2ZINFRA,11.2,8.5,6.3,5.8,5.3,6.2,6.4,6.55,9.5,14.1,16.15,14.75,12.8
AAKASH,87.8,77,31.5,56,73.9,131,200.85,301,281.15,286.2,30.4,16.3,15.55
AARON,50.8,51.85,43.6,58,67.95,66.95,106.55,136,124.6,151.55,129,207.8,168.15
AARTIDRUGS,624.9,811.95,1303.4,3719,1026.95,786,841.8,749.75,645.6,552.3,531.4,489.95,512.4
AARTIIND,892,1071,1192,1229,1287,1399.4,1863.65,987,1168,1118,990,924.4,807.9
AARVEEDEN,17.85,15.6,13.95,13.15,22.9,22.2,26.75,29.95,32.5,33.4,31.95,31,28
AARVI,50.05,30.5,29.9,46,54.65,62.5,78,78.4,103.9,115.9,127.25,178.7,175.5
AAVAS,1999,2101,1443.9,1565,1750,2674.75,2760.4,3074.35,2928.8,3340,2634.95,2411.4,2262.95
ABAN,33.95,29.45,33.3,34.95,31.7,42.5,52.5,51.35,74.7,59.75,72.3,64.2,54.9
ABB,1580,1411,1050,1017,1260,1635,1857,1943.9,2375,2468.1,2487.85,3446.3,3335
ABBOTINDIA,13470.05,16880,18679.75,17350,16699.9,15862.9,16910,21870,23934.45,19620,19150,20900.8,20350
ABCAPITAL,114.6,115.35,66.6,77.4,97.9,139.7,131.4,127.7,127.5,139.2,124.5,123.3,133.5
ABFRL,247.3,285.5,154.95,154.9,178.95,223.7,224.75,249.9,310,318.7,322,351.75,359.5
ABSLBANETF,330,328.79,254,270,353,420,389.9,384,415.21,44,43,47.99,49.99
ABSLNN50ET,297.4,340,290,329.9,327.04,417,407,459.4,520,51,49.8,47.9,46.69
ACC,1627.4,1579.6,1335.6,1454.9,1785,1925,2078,2509,2589,2392.9,2397,2785,2514.95
ACCELYA,1245.2,1130,970,1068.05,1066.95,999,1263.9,1539.7,1457.7,1144.8,1055,1197.1,1614.95
ACCURACY,33.05,26.9,37.1,42.6,39.75,69.3,96.3,151.7,218.85,264.9,303,269.45,275
ACE,90.8,93.95,60.35,74.55,141.4,175.9,247.7,291.75,276.75,248.8,253.6,319.8,347.5
ADANIENT,221.5,261,169.2,322.4,507,1093,1717.2,1628.45,1788.9,2042,2420.95,3885,4096
ADANIGREEN,166.45,243.75,486.75,749.8,1220,1340,1390,1219.9,1474.85,2125,3050,2572,2288.8
ADANIPORTS,428.85,394.6,360,378.35,492.95,767.8,901,786,829.9,795,924.65,987.85,916
ADANIPOWER,73.8,65.95,41.9,41.6,63.95,108.7,166.9,115,135.5,187.5,344.5,432.5,378
ADANITRANS,350.95,366.4,280.7,303,455.15,920,1644.95,1990,2045,2583.9,3000,4236.75,3420
ADFFOODS,330,324,325,459.65,652,945,1094.7,984.5,1000,917,848.75,826.3,795
ADORWELD,360,358.65,304,297,294,344.8,702.7,880.2,852.95,789.9,737.6,1037.8,930
ADROITINFO,10.2,6.9,7.95,10.6,10.8,13.1,12.25,14.75,16.55,16.35,16.15,20.8,21.7
ADSL,26.25,25.2,20.35,26.95,37.25,53.15,74.95,78.65,146.1,174.5,165.5,144.8,117.85
ADVANIHOTR,60,61,58.7,49.9,63.8,70,72,97.9,87.5,109.5,94.95,86.8,91.7
ADVENZYMES,206.6,187.35,192,339,384.7,417,503.7,435.95,421.5,354.9,328.6,310.5,300
AEGISCHEM,203.5,267.05,212,259,275.3,341,387.9,386,251,238.7,248,303.55,334.95
AFFLE,1739,2296.85,1630,3131,4072.45,6285.65,5860,5455,5889.9,1511,1336.6,1369,1300
AGARIND,130.3,123.9,88.1,123.95,111.7,169,340.85,385.15,474.2,692.2,730.95,713,746.2
AGRITECH,50.8,53.85,38.95,37.8,47.7,41,50.9,77.2,77.9,143.2,141,101.6,127.85
AGROPHOS,155.4,72.05,16.9,17.85,21,16.9,15.25,19.65,34.3,27.45,76.1,48.3,41.95
AHLADA,69,69.95,48.2,47.5,93.4,115.9,219,248,177.75,148,109.9,139.55,126.4
AHLEAST,198,222.4,159,185.55,188.95,181.6,204.85,223,208,248.7,279,379.8,359
AHLUCONT,347.6,370,232.9,334.45,274.95,324,427,430,540.45,478,563.6,484.65,457.3
AIAENG,1818,1989.95,1794,1977.25,2184.25,2234,2174,2222,1987.9,2000,2350,2723.9,2821.25
AIRAN,15.55,14.5,19.55,13.6,21.15,19.95,35.95,30.9,25.9,28.4,25.7,21.9,19.45
AIROLAM,32.95,29,21,25.2,30,36,35,69.9,88.7,90.1,83.95,125.15,129.5
AJANTPHARM,1088.65,1545,1580,1759.95,1724.3,1884.55,2175,2435,2365.8,2354,1890,1427.5,1363.6
AJMERA,141.9,155.6,98.75,101.3,151.4,147,300,422,370,495,404.8,301.8,296
AJOONI,11.05,11.85,8.3,36.5,35,34.7,75.7,64.45,72.05,85.85,72,48.6,43.1
AKASH,70.25,100,97.65,252,281,250,249.5,270.6,267.1,210,79.65,65.3,41.6
AKG,34.5,35,35.7,54.8,80,112.7,63.2,28.8,51.8,63,51.8,65,64.9
AKSHARCHEM,266,337.95,240,269.75,264.3,299,386,497.7,613.7,494.95,430,391.65,371.9
AKSHOPTFBR,8.25,9.7,7.35,8.7,8.55,9.5,9.1,13.85,13.5,15.85,13.9,14.3,13
AKZOINDIA,2270,2500,2222.2,2244.95,2490,2530,2469,2369.75,2300,2060,1933.75,2236.2,2400
ALANKIT,21.9,16.7,21.7,20.15,20.6,20.4,27.2,26.15,19.5,21.6,16.3,14.2,11.95
ALBERTDAVD,479,567.7,557.4,528.75,478,483.4,549.8,673.8,658.6,739,650.85,612.95,642.2
ALEMBICLTD,60.9,64.9,89.4,122.8,113.8,117.65,143.3,139.35,117.5,114.5,87.4,78.75,78.45
