ScripCodes,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
20MICRONS,31.35,19,23.2,25.35,26.05,28.2,33.05,48.45,53.6,59.5,60.35,67.15,87.25
21STCENMGM,12.65,10.8,10.05,9.85,9.45,10.4,11.7,20.75,44.1,25.4,20.75,23.3,21.65
3MINDIA,19551.05,15700,16745,18024.25,18151.05,18777,24186,22575.25,23760,19374.1,17273,21126.05,22291
3PLAND,5.4,3.55,3.4,6.05,5.8,7.65,8.1,12.3,12.1,14.15,13,13.7,16
5PAISA,149,90,103,202,264.35,235.65,252,417,356.2,293.6,267.6,264.85,303.35
63MOONS,98.25,39.55,45.45,65,66.4,68.9,69.4,87.2,90.55,187,140.65,149.05,140.55
A2ZINFRA,7.15,2.9,3.05,3.9,3.45,3.7,3.6,3.95,4.15,8.55,9.55,9.7,9.5
AAKASH,14.1,33.15,13.95,20.8,49.6,74,127,197.2,172.1,22.9,14.6,11.8,7.35
AARON,40,41,40.15,27.5,27.25,45.05,45.05,76.3,98.5,106,107,110.15,149
AARTIDRUGS,432.2,421,500,745.75,615.65,628,671.05,580,484,419,378,394.1,441
AARTIIND,741,668,768.05,891.4,966.45,1072.55,845.05,840.5,900,782.55,668.85,679,642.3
AARVEEDEN,10.65,6.5,7.2,9.5,9.3,17,17,16.75,21.3,23.1,18,17.4,22.35
AARVI,30.35,20.45,20.15,27,33.75,38.2,41.95,50.3,51.95,83.4,84.6,86.6,141.6
AAVAS,1431.25,849.05,940.8,1262,1385.25,1673.6,2124.15,2301.55,2261.55,2114.15,1815,1894.5,1850
ABAN,23.05,12.85,13.35,22.55,21.1,26.6,28.1,37,42.2,41,36,42.4,45.3
ABB,1200,801,722,846.6,848,1212,1298.55,1618.05,1800,1944.6,2000,2260.35,2945
ABBOTINDIA,10350,12186.55,15202,14811,15050,13959.8,14586.05,16650,17681.65,15514,16200,17325,18000
ABCAPITAL,75.5,37.35,41.05,53,59.85,78.85,112.5,98,96.35,96.85,85.6,88.35,108.1
ABFRL,193.3,149.55,97,111.8,125.6,148.5,163.1,189.35,234.45,250,221.3,235.5,300
ABSLBANETF,275.19,161.21,162.5,196.33,193.9,275.95,302.42,340.7,33.9,29,29,33.01,38
ABSLNN50ET,265.07,193,205.43,254.2,265.7,308.16,336.1,387,40.6,34,35.75,37,42.14
ACC,1401.15,895.15,936.95,1253,1396,1584.2,1782.25,1975,2087.8,1900,2023.55,2100.35,2205.3
ACCELYA,795,810,846.15,916.1,800,842.55,837.15,1159,942.35,875,831.5,852.6,1041.5
ACCURACY,22.8,13.7,12.35,33,25.6,34.3,47.55,70.4,128.05,182,186.9,196.15,175
ACE,68,33.85,31.35,54,66.85,125.1,139.45,192.05,199,198.35,175,206,271.45
