Scrip_Name,ROCE,P/E Ratio,Revenue Sep 2019,EBITDA Sep 2019,Profit Sep 2019,Margin Sep 2019,Revenue Dec 2019,EBITDA Dec 2019,Profit Dec 2019,Margin Dec 2019,Revenue Mar 2020,EBITDA Mar 2020,Profit Mar 2020,Margin Mar 2020,Revenue Jun 2020,EBITDA Jun 2020,Profit Jun 2020,Margin Jun 2020,Revenue Sep 2020,EBITDA Sep 2020,Profit Sep 2020,Margin Sep 2020,Revenue Dec 2020,EBITDA Dec 2020,Profit Dec 2020,Margin Dec 2020,Revenue Mar 2021,EBITDA Mar 2021,Profit Mar 2021,Margin Mar 2021,Revenue Jun 2021,EBITDA Jun 2021,Profit Jun 2021,Margin Jun 2021,Revenue Sep 2021,EBITDA Sep 2021,Profit Sep 2021,Margin Sep 2021,Revenue Dec 2021,EBITDA Dec 2021,Profit Dec 2021,Margin Dec 2021,Revenue Mar 2022,EBITDA Mar 2022,Profit Mar 2022,Margin Mar 2022,Revenue Jun 2022,EBITDA Jun 2022,Profit Jun 2022,Margin Jun 2022,Revenue Sep 2022,EBITDA Sep 2022,Profit Sep 2022,Margin Sep 2022
20MICRONS,19.1%,8.18,131.20,15.33,6.12,11.68%,117.77,14.74,5.60,12.52%,113.27,10.37,5.24,9.16%,54.55,-2.02,1.10,-3.70%,116.59,17.36,8.10,14.89%,134.48,20.26,5.31,15.07%,126.75,14.88,7.94,11.74%,100.00,13.27,6.11,13.27%,137.31,15.77,5.07,11.48%,135.40,18.70,9.92,13.81%,144.64,18.31,9.77,12.66%,154.15,19.88,10.89,12.90%,159.21,18.42,9.86,11.57%
21STCENMGM,33.4%,,0.75,0.20,0.21,26.67%,-4.40,-4.88,-4.87,,-2.93,-3.49,-3.52,,0.62,0.27,0.25,43.55%,-1.48,-1.97,-1.95,,1.20,0.66,0.68,55.00%,-2.15,-2.64,-2.64,,1.13,0.49,0.50,43.36%,-0.66,-1.14,-1.13,,-4.42,-4.97,-4.94,,-8.99,-9.56,-9.65,,-3.92,-4.46,-4.45,,-1.31,-1.80,-1.75,
3IINFOLTD,3.41%,13.6,80.98,41.17,28.16,50.84%,91.60,40.24,30.00,43.93%,54.45,52.48,71.76,96.38%,81.58,32.96,24.04,40.40%,49.57,18.20,24.04,36.72%,52.34,17.65,19.88,33.72%,52.22,-34.00,277.91,-65.11%,53.10,23.82,21.75,44.86%,58.07,-15.53,-12.42,-26.74%,46.86,-14.16,-21.77,-30.22%,54.01,9.18,20.87,17.00%,62.58,24.78,25.54,39.60%,68.62,13.28,6.77,19.35%
3MINDIA,15.2%,73.4,702,119,92,17%,694,93,68,13%,627,-11,-26,-2%,320,-46,-40,-14%,648,107,71,16%,684,81,53,12%,769,96,66,12%,689,44,28,6%,777,93,65,12%,764,99,68,13%,849,149,106,18%,890,111,80,12%,925,115,100,12%
3PLAND,2.88%,20.2,0.80,0.67,0.68,83.75%,0.28,0.19,2.87,67.86%,0.68,0.54,1.16,79.41%,0.35,0.29,0.21,82.86%,0.35,0.19,0.13,54.29%,0.35,0.23,0.17,65.71%,0.36,0.28,0.13,77.78%,0.37,0.29,0.20,78.38%,0.91,0.81,0.59,89.01%,0.43,0.35,0.24,81.40%,0.43,0.33,0.23,76.74%,0.43,0.34,0.24,79.07%,1.15,1.03,0.75,89.57%
5PAISA,8.37%,39.6,23,1,-3,4%,27,1,-2,5%,35,4,-2,11%,42,10,3,24%,52,14,4,26%,49,10,4,21%,49,13,6,26%,60,15,7,25%,68,8,2,11%,80,9,1,11%,88,13,5,15%,84,18,8,21%,80,20,11,25%
63MOONS,0.40%,66.8,36.46,-26.21,-7.54,-71.89%,35.48,-32.80,-11.48,-92.45%,34.22,-20.32,-97.73,-59.38%,32.32,-18.24,-4.93,-56.44%,38.18,-13.08,-1.32,-34.26%,37.93,-11.10,4.71,-29.26%,35.65,-15.00,-55.09,-42.08%,34.43,-18.83,-10.08,-54.69%,35.18,-15.94,-34.05,-45.31%,36.49,-14.98,-11.47,-41.05%,38.28,-15.34,-5.75,-40.07%,36.76,-19.40,-8.71,-52.77%,40.18,-10.30,1.60,-25.63%
A2ZINFRA,24.8%,,144.65,-3.74,-36.65,-2.59%,58.00,-1.13,-14.81,-1.95%,69.84,-33.66,-310.60,-48.20%,22.80,0.87,-10.27,3.82%,50.84,-4.75,-14.10,-9.34%,29.81,-17.49,-28.40,-58.67%,84.40,-27.23,-30.38,-32.26%,21.80,-1.10,-2.53,-5.05%,43.96,-0.68,-159.61,-1.55%,29.83,-0.88,-8.86,-2.95%,40.43,0.13,-1.24,0.32%,19.23,-24.73,-1.81,-128.60%,20.66,-4.18,-4.80,-20.23%
AAKASH,15.4%,14.3,15.57,3.91,1.36,25.11%,18.29,5.45,2.24,29.80%,18.33,2.91,0.63,15.88%,12.53,3.15,0.76,25.14%,16.21,2.93,0.81,18.08%,13.25,2.50,0.49,18.87%,17.78,4.17,2.08,23.45%,15.51,3.87,1.57,24.95%,18.04,3.52,1.36,19.51%,21.97,3.56,1.28,16.20%,21.37,4.36,1.91,20.40%,19.47,3.19,1.22,16.38%,26.52,3.61,1.29,13.61%
AAREYDRUGS,10.1%,23.0,63.56,1.11,1.30,1.75%,59.65,1.31,1.40,2.20%,110.68,-0.49,1.00,-0.44%,25.22,1.51,1.36,5.99%,49.82,0.32,1.85,0.64%,95.12,0.45,1.70,0.47%,178.25,2.36,1.41,1.32%,97.52,2.93,2.51,3.00%,134.65,3.42,2.84,2.54%,140.27,3.06,1.95,2.18%,120.25,1.87,-0.76,1.56%,117.34,-0.59,0.80,-0.50%,76.26,4.27,2.12,5.60%
